captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.23035.first,candidates.23035.last,candidates.23035.abbrv,candidates.23035.party,candidates.23035.candidateID,candidates.23035.polID,candidates.23035.ballotOrder,candidates.23035.polNum,candidates.23035.electWon,candidates.23038.first,candidates.23038.last,candidates.23038.party,candidates.23038.candidateID,candidates.23038.polID,candidates.23038.ballotOrder,candidates.23038.polNum,candidates.23038.electWon,candidates.23035.winnerDateTime,isCertified
1668131042,2022-11-10 19:44:02 -0600,d9b60f5b799db08e2f2bb7c20ed3cae30d1d9a5d,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,127698,95,67680,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668131083,2022-11-10 19:44:43 -0600,2c6d9b5ec68a1c2232d60c7e3cc383a2c948af40,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,127698,95,74313,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668134143,2022-11-10 20:35:43 -0600,fc704a4904e9d21469823a98fcd62b1031067fec,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,127698,99,74313,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668134184,2022-11-10 20:36:24 -0600,2752e6c76eff323a2fa6ae9012f6d6069069facb,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,127698,95,74313,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668134485,2022-11-10 20:41:25 -0600,3a548a160d559f943644f36b97f45c6393d72cce,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,127698,99,74313,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668135087,2022-11-10 20:51:27 -0600,6ea445120bcf13d9a139ec0a58f9dffa9bb111f6,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,125954,99,74313,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668135129,2022-11-10 20:52:09 -0600,63fb71cdc1a79107366e1b6cc04255b8fdcfa0df,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,127698,99,74313,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668135216,2022-11-10 20:53:36 -0600,f6f9517905a8696c2e3ae5837e4ecc24f7b0f28e,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,125954,99,74313,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668135257,2022-11-10 20:54:17 -0600,70afe4a5faeaacca346d5a2e083f842360edd25c,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,127698,99,74313,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668135300,2022-11-10 20:55:00 -0600,3ea61f6dd47b9112cbb8a6ce56ff36b9f2869bd0,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,125954,99,74313,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668214458,2022-11-11 18:54:18 -0600,53917e7b925c2279e9064574798bfbb2c31df5f9,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,125954,99,78338,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668221123,2022-11-11 20:45:23 -0600,23412420e03fd2c0b57aa9fce429ab21f81d6f66,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,122403,99,78338,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668471395,2022-11-14 18:16:35 -0600,e504f41ba89b820ce0d13f9ec4887528519ab78c,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,122403,99,93498,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668474768,2022-11-14 19:12:48 -0600,96cbae5f6d3893b86b3642dd84f628d09e55c85b,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,129858,99,93498,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668476767,2022-11-14 19:46:07 -0600,a9b3651ffd3dc7e71bf93e8bf1d5791d4fa44d4c,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,133569,99,93498,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668478867,2022-11-14 20:21:07 -0600,84d1e46bcdf4951cbc1be7d7ea2ae38dd1d66586,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,143843,99,93498,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668557650,2022-11-15 18:14:10 -0600,0c7e0c459e763f26598e50970c78c88c15beed10,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,143843,99,98204,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668564338,2022-11-15 20:05:38 -0600,9b473859ffbf1bd9de7805cab5da4ff9d0c1d3f3,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,140291,99,98204,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668642106,2022-11-16 17:41:46 -0600,90e9019011c719691829ebb62a704942dee06719,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,140291,99,104097,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668653818,2022-11-16 20:56:58 -0600,260aae9186af5a468e9c80aadf76c6a7927d3a47,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,138796,99,104097,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668729284,2022-11-17 17:54:44 -0600,b7f84466bffd6cd0bf42417edc0d40f9301f40f1,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,138796,99,111822,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668733297,2022-11-17 19:01:37 -0600,f655b4f6b3cd286527def5c1df0e3cded8c6eb79,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,134725,99,111822,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668816490,2022-11-18 18:08:10 -0600,67e08298cd62a0b21b6c8994cb13430227277f54,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,134725,99,121201,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668821642,2022-11-18 19:34:02 -0600,a88788321c95359f3bab9b01e6ceb33e5f4a2955,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,133188,99,121201,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1668908071,2022-11-19 19:34:31 -0600,8891e9873ab0a0a46fd5d6842f66b4dd8607d214,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,133188,99,131044,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1669040413,2022-11-21 08:20:13 -0600,62ece1833329369ff2f44570f9d803d3a611b6c3,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,133718,99,131044,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,
1669160028,2022-11-22 17:33:48 -0600,6097180b41b00612620c13e2b89e7c26074a76a4,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 37,37,133718,99,131656,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,False
1669694369,2022-11-28 21:59:29 -0600,d00748f546ca171d3e7ef9d7d51caf4e6dd2b640,CA-20221108_Eday80,5,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 37,37,132986,99,131656,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,False
1670250988,2022-12-05 08:36:28 -0600,e93dc046c41561752cdd37a46fd8c12771ad9486,CA-20221108_Eday80,5,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 37,37,132986,99,131858,344390,True,20221108CA5727,2022-11-08,CA,Sydney,Kamlager,Kamlagr,Dem,23035,70622,2,13232,0,Jan,Perry,Dem,23038,70624,1,13828,0,2022-11-10T20:05:22.415Z,False
