captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.27369.first,candidates.27369.last,candidates.27369.incumbent,candidates.27369.party,candidates.27369.candidateID,candidates.27369.ballotOrder,candidates.27369.polID,candidates.27369.polNum,candidates.27369.electWon,candidates.28415.first,candidates.28415.last,candidates.28415.party,candidates.28415.candidateID,candidates.28415.ballotOrder,candidates.28415.polID,candidates.28415.polNum,candidates.28415.electWon,candidates.28637.first,candidates.28637.last,candidates.28637.abbrv,candidates.28637.party,candidates.28637.candidateID,candidates.28637.ballotOrder,candidates.28637.polID,candidates.28637.polNum,candidates.28637.electWon,candidates.27369.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,WI-20221108_Eday80,50,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Tony,Evers,Dem,27369,48461,51129,True,True,True,2939561,99,0,3471728,True,20221108WI50016,2022-11-08,WI,27369,Tony,Evers,True,Dem,27369,1,48461,51129,0,Tim,Michels,GOP,28415,2,48717,53498,0,Joan,Ellis Beglinger,EllsBgl,Ind,28637,3,71653,53660,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,WI-20221108_Eday80,50,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Tony,Evers,Dem,27369,48461,51129,True,True,True,2800000,99,0,3519659,True,20221108WI50016,2022-11-08,WI,27369,Tony,Evers,True,Dem,27369,1,48461,51129,0,Tim,Michels,GOP,28415,2,48717,53498,0,Joan,Ellis Beglinger,EllsBgl,Ind,28637,3,71653,53660,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,G,Governor,Tony,Evers,Dem,27369,48461,51129,True,True,True,2800000,99,6176,3519659,True,20221108WI50016,2022-11-08,WI,27369,Tony,Evers,True,Dem,27369,1,48461,51129,0,Tim,Michels,GOP,28415,2,48717,53498,0,Joan,Ellis Beglinger,EllsBgl,Ind,28637,3,71653,53660,0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,G,Governor,Tony,Evers,Dem,27369,48461,51129,True,True,True,2800000,99,116906,3519659,True,20221108WI50016,2022-11-08,WI,27369,Tony,Evers,True,Dem,27369,1,48461,51129,0,Tim,Michels,GOP,28415,2,48717,53498,0,Joan,Ellis Beglinger,EllsBgl,Ind,28637,3,71653,53660,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,G,Governor,Tony,Evers,Dem,27369,48461,51129,True,True,True,2800000,99,151191,3519659,True,20221108WI50016,2022-11-08,WI,27369,Tony,Evers,True,Dem,27369,1,48461,51129,0,Tim,Michels,GOP,28415,2,48717,53498,0,Joan,Ellis Beglinger,EllsBgl,Ind,28637,3,71653,53660,0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,G,Governor,Tony,Evers,Dem,27369,48461,51129,True,True,True,2800000,99,116906,3519659,True,20221108WI50016,2022-11-08,WI,27369,Tony,Evers,True,Dem,27369,1,48461,51129,0,Tim,Michels,GOP,28415,2,48717,53498,0,Joan,Ellis Beglinger,EllsBgl,Ind,28637,3,71653,53660,0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,G,Governor,Tony,Evers,Dem,27369,48461,51129,True,True,True,2800000,99,710078,3519659,True,20221108WI50016,2022-11-08,WI,27369,Tony,Evers,True,Dem,27369,1,48461,51129,0,Tim,Michels,GOP,28415,2,48717,53498,0,Joan,Ellis Beglinger,EllsBgl,Ind,28637,3,71653,53660,0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,G,Governor,Tony,Evers,Dem,27369,48461,51129,True,True,True,2800000,99,915210,3519659,True,20221108WI50016,2022-11-08,WI,27369,Tony,Evers,True,Dem,27369,1,48461,51129,0,Tim,Michels,GOP,28415,2,48717,53498,0,Joan,Ellis Beglinger,EllsBgl,Ind,28637,3,71653,53660,0,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,G,Governor,Tony,Evers,Dem,27369,48461,51129,True,True,True,2800000,99,914224,3519659,True,20221108WI50016,2022-11-08,WI,27369,Tony,Evers,True,Dem,27369,1,48461,51129,0,Tim,Michels,GOP,28415,2,48717,53498,0,Joan,Ellis Beglinger,EllsBgl,Ind,28637,3,71653,53660,0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,G,Governor,Tony,Evers,Dem,27369,48461,51129,True,True,True,2800000,99,913312,3519659,True,20221108WI50016,2022-11-08,WI,27369,Tony,Evers,True,Dem,27369,1,48461,51129,0,Tim,Michels,GOP,28415,2,48717,53498,0,Joan,Ellis Beglinger,EllsBgl,Ind,28637,3,71653,53660,0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,G,Governor,Tony,Evers,Dem,27369,48461,51129,True,True,True,2800000,99,1151830,3519659,True,20221108WI50016,2022-11-08,WI,27369,Tony,Evers,True,Dem,27369,1,48461,51129,0,Tim,Michels,GOP,28415,2,48717,53498,0,Joan,Ellis Beglinger,EllsBgl,Ind,28637,3,71653,53660,0,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,G,Governor,Tony,Evers,Dem,27369,48461,51129,True,True,True,2800000,99,1364635,3519659,True,20221108WI50016,2022-11-08,WI,27369,Tony,Evers,True,Dem,27369,1,48461,51129,0,Tim,Michels,GOP,28415,2,48717,53498,0,Joan,Ellis Beglinger,EllsBgl,Ind,28637,3,71653,53660,0,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,G,Governor,Tony,Evers,Dem,27369,48461,51129,True,True,True,2800000,99,1502307,3519659,True,20221108WI50016,2022-11-08,WI,27369,Tony,Evers,True,Dem,27369,1,48461,51129,0,Tim,Michels,GOP,28415,2,48717,53498,0,Joan,Ellis Beglinger,EllsBgl,Ind,28637,3,71653,53660,0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,G,Governor,Tony,Evers,Dem,27369,48461,51129,True,True,True,2800000,99,1524209,3519659,True,20221108WI50016,2022-11-08,WI,27369,Tony,Evers,True,Dem,27369,1,48461,51129,0,Tim,Michels,GOP,28415,2,48717,53498,0,Joan,Ellis Beglinger,EllsBgl,Ind,28637,3,71653,53660,0,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,G,Governor,Tony,Evers,Dem,27369,48461,51129,True,True,True,2800000,99,1677426,3519659,True,20221108WI50016,2022-11-08,WI,27369,Tony,Evers,True,Dem,27369,1,48461,51129,0,Tim,Michels,GOP,28415,2,48717,53498,0,Joan,Ellis Beglinger,EllsBgl,Ind,28637,3,71653,53660,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,G,Governor,Tony,Evers,Dem,27369,48461,51129,True,True,True,2800000,99,1826301,3519659,True,20221108WI50016,2022-11-08,WI,27369,Tony,Evers,True,Dem,27369,1,48461,51129,0,Tim,Michels,GOP,28415,2,48717,53498,0,Joan,Ellis Beglinger,EllsBgl,Ind,28637,3,71653,53660,0,,
