captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.45620.first,candidates.45620.last,candidates.45620.abbrv,candidates.45620.party,candidates.45620.candidateID,candidates.45620.polID,candidates.45620.ballotOrder,candidates.45620.polNum,candidates.45620.electWon,candidates.45621.first,candidates.45621.last,candidates.45621.party,candidates.45621.candidateID,candidates.45621.polID,candidates.45621.ballotOrder,candidates.45621.polNum,candidates.45621.electWon,candidates.45954.first,candidates.45954.last,candidates.45954.party,candidates.45954.candidateID,candidates.45954.polID,candidates.45954.ballotOrder,candidates.45954.polNum,candidates.45954.electWon,candidates.45621.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NC-20221108_Eday62,34,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 11,11,310998,99,0,1366826,True,20221108NC34977,2022-11-08,NC,Jasmine,Beach-Ferrara,Bch-Frrr,Dem,45620,70285,3,38841,0,Chuck,Edwards,GOP,45621,70289,2,38063,0,David,Coatney,Lib,45954,71380,1,39049,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NC-20221108_Eday80,34,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 11,11,340614,99,0,1366826,True,20221108NC34977,2022-11-08,NC,Jasmine,Beach-Ferrara,Bch-Frrr,Dem,45620,70285,3,38841,0,Chuck,Edwards,GOP,45621,70289,2,38063,0,David,Coatney,Lib,45954,71380,1,39049,0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,340614,99,190171,1366826,True,20221108NC34977,2022-11-08,NC,Jasmine,Beach-Ferrara,Bch-Frrr,Dem,45620,70285,3,38841,0,Chuck,Edwards,GOP,45621,70289,2,38063,0,David,Coatney,Lib,45954,71380,1,39049,0,,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,340614,99,193093,1366826,True,20221108NC34977,2022-11-08,NC,Jasmine,Beach-Ferrara,Bch-Frrr,Dem,45620,70285,3,38841,0,Chuck,Edwards,GOP,45621,70289,2,38063,0,David,Coatney,Lib,45954,71380,1,39049,0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,340614,99,202178,1366826,True,20221108NC34977,2022-11-08,NC,Jasmine,Beach-Ferrara,Bch-Frrr,Dem,45620,70285,3,38841,0,Chuck,Edwards,GOP,45621,70289,2,38063,0,David,Coatney,Lib,45954,71380,1,39049,0,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,340614,99,203500,1366826,True,20221108NC34977,2022-11-08,NC,Jasmine,Beach-Ferrara,Bch-Frrr,Dem,45620,70285,3,38841,0,Chuck,Edwards,GOP,45621,70289,2,38063,0,David,Coatney,Lib,45954,71380,1,39049,0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,340614,99,237396,1366826,True,20221108NC34977,2022-11-08,NC,Jasmine,Beach-Ferrara,Bch-Frrr,Dem,45620,70285,3,38841,0,Chuck,Edwards,GOP,45621,70289,2,38063,0,David,Coatney,Lib,45954,71380,1,39049,0,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,340614,99,266547,1366826,True,20221108NC34977,2022-11-08,NC,Jasmine,Beach-Ferrara,Bch-Frrr,Dem,45620,70285,3,38841,0,Chuck,Edwards,GOP,45621,70289,2,38063,0,David,Coatney,Lib,45954,71380,1,39049,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,340614,99,273183,1366826,True,20221108NC34977,2022-11-08,NC,Jasmine,Beach-Ferrara,Bch-Frrr,Dem,45620,70285,3,38841,0,Chuck,Edwards,GOP,45621,70289,2,38063,0,David,Coatney,Lib,45954,71380,1,39049,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,340614,99,266547,1366826,True,20221108NC34977,2022-11-08,NC,Jasmine,Beach-Ferrara,Bch-Frrr,Dem,45620,70285,3,38841,0,Chuck,Edwards,GOP,45621,70289,2,38063,0,David,Coatney,Lib,45954,71380,1,39049,0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,340614,99,273183,1366826,True,20221108NC34977,2022-11-08,NC,Jasmine,Beach-Ferrara,Bch-Frrr,Dem,45620,70285,3,38841,0,Chuck,Edwards,GOP,45621,70289,2,38063,0,David,Coatney,Lib,45954,71380,1,39049,0,,
