captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.winner,candidates.0.calledAt,candidates.0.colorIndex,candidates.1.winner,candidates.1.calledAt,candidates.1.colorIndex,candidates.2.colorIndex
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108IA17076,live,0.0,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-07T20:40:56.709Z,0,1653,0.0,22855,0,0.0,23986,0,0.0,23714,0,0.0,1449623,99,0,2174435,0,0,,,,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108IA17076,live,0.0,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T19:32:48.299Z,0,1653,0.0,22855,0,0.0,23986,0,0.0,23714,0,0.0,1449623,99,0,2174435,0,0,,,,,,,
1667947429,2022-11-08 22:43:49 +0000,e6d5bcf1f6c68c6499934b6e270555c5d0bb1bbf,20221108IA17076,live,0.0,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T22:40:20.527Z,0,1653,0.0,22855,0,0.0,23986,0,0.0,23714,0,0.0,1449623,99,0,2174435,0,0,,,,,,,
1667947695,2022-11-08 22:48:15 +0000,d34bad58f4d41f9cfcdcd94796fa010d33630ef0,20221108IA17076,live,0.0,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T22:44:42.230Z,0,1653,0.0,22855,0,0.0,23986,0,0.0,23714,0,0.0,1449623,99,0,2174435,0,0,,,,,,,
1667947961,2022-11-08 22:52:41 +0000,61cf3818eb7b56b77db7de41bfdda7ab59f4de65,20221108IA17076,live,0.0,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T22:49:10.763Z,0,1653,0.0,22855,0,0.0,23986,0,0.0,23714,0,0.0,1449623,99,0,2174435,0,0,,,,,,,
1667948224,2022-11-08 22:57:04 +0000,5811cb367141367f8bc77ffdad931a3c41c67ea4,20221108IA17076,live,0.0,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T22:53:22.633Z,0,1653,0.0,22855,0,0.0,23986,0,0.0,23714,0,0.0,1449623,99,0,2174435,0,0,,,,,,,
1667948492,2022-11-08 23:01:32 +0000,4eb83dd49b993821ffa569282c4b4b23a1b3e76b,20221108IA17076,live,0.0,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T22:58:01.092Z,0,1653,0.0,22855,0,0.0,23986,0,0.0,23714,0,0.0,1449623,99,0,2174435,0,0,,,,,,,
1667948759,2022-11-08 23:05:59 +0000,43c80e6d0cebf746ac6afa484d33170d7957f81a,20221108IA17076,live,0.0,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T23:02:36.857Z,0,1653,0.0,22855,0,0.0,23986,0,0.0,23714,0,0.0,1449623,99,0,2174435,0,0,,,,,,,
1667949028,2022-11-08 23:10:28 +0000,1af998fab4b75e7c8b2a13fbf0b3df6b3aab5232,20221108IA17076,live,0.0,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T23:06:55.034Z,0,1653,0.0,22855,0,0.0,23986,0,0.0,23714,0,0.0,1449623,99,0,2174435,0,0,,,,,,,
1667949299,2022-11-08 23:14:59 +0000,b334f05b75bafb94958f7797e615fb57e746d9de,20221108IA17076,live,0.0,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T23:11:15.068Z,0,1653,0.0,22855,0,0.0,23986,0,0.0,23714,0,0.0,1449623,99,0,2174435,0,0,,,,,,,
1667949573,2022-11-08 23:19:33 +0000,2891155c76df951385c61df78f71bb7f4a65a56b,20221108IA17076,live,0.0,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T23:15:47.939Z,0,1653,0.0,22855,0,0.0,23986,0,0.0,23714,0,0.0,1449623,99,0,2174435,0,0,,,,,,,
1667949842,2022-11-08 23:24:02 +0000,e733c733b3b3c33f13905f9501db69cb94a55a64,20221108IA17076,live,0.0,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T23:18:21.732Z,0,1653,0.0,22855,0,0.0,23986,0,0.0,23714,0,0.0,1449623,99,0,2174435,0,0,,,,,,,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,20221108IA17076,live,0.0,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T00:53:27.616Z,0,1653,0.0,22855,0,0.0,23986,0,0.0,23714,0,0.0,1449623,99,0,2174435,0,0,,,,,,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108IA17076,live,0.0,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:00:08.260Z,0,1653,0.0,22855,0,0.0,23986,0,0.0,23714,0,0.0,1449623,99,0,2174435,0,0,X,2022-11-09T02:00:06.798Z,0.0,,,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,20221108IA17076,live,0.06,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:12:00.464Z,2,1653,0.12,23714,433,54.19,22855,345,43.18,23986,21,2.63,1449623,99,799,2174435,2,1,,,1.0,X,2022-11-09T02:00:06.798Z,0.0,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,20221108IA17076,live,0.27,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:16:29.086Z,3,1653,0.18,22855,2536,64.28,23714,1348,34.17,23986,61,1.55,1449623,99,3945,2174435,3,4,X,2022-11-09T02:00:06.798Z,0.0,,,1.0,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,20221108IA17076,live,0.79,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:20:44.085Z,8,1653,0.48,22855,6538,57.16,23714,4648,40.63,23986,253,2.21,1449623,99,11439,2174435,8,13,X,2022-11-09T02:00:06.798Z,0.0,,,1.0,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,20221108IA17076,live,1.49,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:27:27.730Z,16,1653,0.97,22855,11449,53.1,23714,9626,44.64,23986,487,2.26,1449623,99,21562,2174435,16,25,X,2022-11-09T02:00:06.798Z,0.0,,,1.0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,20221108IA17076,live,1.7,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:31:16.889Z,16,1653,0.97,22855,13192,53.68,23714,10849,44.15,23986,533,2.17,1449623,99,24574,2174435,16,28,X,2022-11-09T02:00:06.798Z,0.0,,,1.0,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,20221108IA17076,live,12.45,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:38:13.620Z,93,1653,5.63,23714,98847,54.79,22855,77368,42.88,23986,4212,2.33,1449623,99,180427,2174435,93,206,,,1.0,X,2022-11-09T02:00:06.798Z,0.0,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,20221108IA17076,live,12.52,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:38:23.835Z,94,1653,5.69,23714,99093,54.61,22855,78138,43.06,23986,4235,2.33,1449623,99,181466,2174435,94,207,,,1.0,X,2022-11-09T02:00:06.798Z,0.0,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,20221108IA17076,live,13.1,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:50:34.091Z,111,1653,6.72,23714,101554,53.49,22855,83881,44.18,23986,4434,2.34,1449623,99,189869,2174435,111,217,,,1.0,X,2022-11-09T02:00:06.798Z,0.0,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,20221108IA17076,live,13.39,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:54:33.948Z,113,1653,6.84,23714,102850,52.99,22855,86736,44.69,23986,4497,2.32,1449623,99,194083,2174435,113,221,,,1.0,X,2022-11-09T02:00:06.798Z,0.0,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,20221108IA17076,live,21.56,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:01:07.268Z,277,1653,16.76,23714,165638,53.0,22855,139399,44.6,23986,7491,2.4,1449623,99,312528,2174435,277,356,,,1.0,X,2022-11-09T02:00:06.798Z,0.0,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,20221108IA17076,live,22.02,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:02:32.656Z,285,1653,17.24,23714,167156,52.36,22855,144462,45.25,23986,7656,2.4,1449623,99,319274,2174435,285,364,,,1.0,X,2022-11-09T02:00:06.798Z,0.0,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,20221108IA17076,live,30.52,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:10:43.304Z,505,1653,30.55,22855,218770,49.44,23714,213099,48.16,23986,10611,2.4,1449623,99,442480,2174435,505,505,X,2022-11-09T02:00:06.798Z,0.0,,,1.0,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,20221108IA17076,live,32.71,IA,Iowa,16,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:14:35.637Z,566,1653,34.24,22855,240653,50.76,23714,221918,46.81,23986,11532,2.43,1449623,99,474103,2174435,566,541,X,2022-11-09T02:00:06.798Z,0.0,,,1.0,2.0
