captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.22855.first,candidates.22855.last,candidates.22855.incumbent,candidates.22855.party,candidates.22855.candidateID,candidates.22855.ballotOrder,candidates.22855.polID,candidates.22855.polNum,candidates.22855.electWon,candidates.23714.first,candidates.23714.last,candidates.23714.party,candidates.23714.candidateID,candidates.23714.ballotOrder,candidates.23714.polID,candidates.23714.polNum,candidates.23714.electWon,candidates.23986.first,candidates.23986.last,candidates.23986.party,candidates.23986.candidateID,candidates.23986.ballotOrder,candidates.23986.polID,candidates.23986.polNum,candidates.23986.electWon,candidates.22855.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,IA-20221108_Eday80,16,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Kim,Reynolds,GOP,22855,66095,18250,True,True,True,1449623,99,0,2174435,True,20221108IA17076,2022-11-08,IA,22855,Kim,Reynolds,True,GOP,22855,1,66095,18250,0,Deidre,DeJear,Dem,23714,2,70411,19038,0,Rick,Stewart,Lib,23986,3,64430,18826,0,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,IA-20221108_Eday80,16,General,G,Polls Closed/Waiting First Report,Called,G,Governor,Kim,Reynolds,GOP,22855,66095,18250,True,True,True,1449623,99,0,2174435,True,20221108IA17076,2022-11-08,IA,22855,Kim,Reynolds,True,GOP,22855,1,66095,18250,0,Deidre,DeJear,Dem,23714,2,70411,19038,0,Rick,Stewart,Lib,23986,3,64430,18826,0,2022-11-09T02:00:06.798Z
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,IA-20221108_Eday80,16,General,G,Active Tabulation,Called,G,Governor,Kim,Reynolds,GOP,22855,66095,18250,True,True,True,1449623,99,304,2174435,True,20221108IA17076,2022-11-08,IA,22855,Kim,Reynolds,True,GOP,22855,1,66095,18250,0,Deidre,DeJear,Dem,23714,2,70411,19038,0,Rick,Stewart,Lib,23986,3,64430,18826,0,2022-11-09T02:00:06.798Z
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,IA-20221108_Eday80,16,General,G,Active Tabulation,Called,G,Governor,Kim,Reynolds,GOP,22855,66095,18250,True,True,True,1449623,99,1453,2174435,True,20221108IA17076,2022-11-08,IA,22855,Kim,Reynolds,True,GOP,22855,1,66095,18250,0,Deidre,DeJear,Dem,23714,2,70411,19038,0,Rick,Stewart,Lib,23986,3,64430,18826,0,2022-11-09T02:00:06.798Z
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,IA-20221108_Eday80,16,General,G,Active Tabulation,Called,G,Governor,Kim,Reynolds,GOP,22855,66095,18250,True,True,True,1449623,99,304,2174435,True,20221108IA17076,2022-11-08,IA,22855,Kim,Reynolds,True,GOP,22855,1,66095,18250,0,Deidre,DeJear,Dem,23714,2,70411,19038,0,Rick,Stewart,Lib,23986,3,64430,18826,0,2022-11-09T02:00:06.798Z
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,IA-20221108_Eday80,16,General,G,Active Tabulation,Called,G,Governor,Kim,Reynolds,GOP,22855,66095,18250,True,True,True,1449623,99,1453,2174435,True,20221108IA17076,2022-11-08,IA,22855,Kim,Reynolds,True,GOP,22855,1,66095,18250,0,Deidre,DeJear,Dem,23714,2,70411,19038,0,Rick,Stewart,Lib,23986,3,64430,18826,0,2022-11-09T02:00:06.798Z
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,IA-20221108_Eday80,16,General,G,Active Tabulation,Called,G,Governor,Kim,Reynolds,GOP,22855,66095,18250,True,True,True,1449623,99,3945,2174435,True,20221108IA17076,2022-11-08,IA,22855,Kim,Reynolds,True,GOP,22855,1,66095,18250,0,Deidre,DeJear,Dem,23714,2,70411,19038,0,Rick,Stewart,Lib,23986,3,64430,18826,0,2022-11-09T02:00:06.798Z
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,IA-20221108_Eday80,16,General,G,Active Tabulation,Called,G,Governor,Kim,Reynolds,GOP,22855,66095,18250,True,True,True,1449623,99,24574,2174435,True,20221108IA17076,2022-11-08,IA,22855,Kim,Reynolds,True,GOP,22855,1,66095,18250,0,Deidre,DeJear,Dem,23714,2,70411,19038,0,Rick,Stewart,Lib,23986,3,64430,18826,0,2022-11-09T02:00:06.798Z
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,IA-20221108_Eday80,16,General,G,Active Tabulation,Called,G,Governor,Kim,Reynolds,GOP,22855,66095,18250,True,True,True,1449623,99,181466,2174435,True,20221108IA17076,2022-11-08,IA,22855,Kim,Reynolds,True,GOP,22855,1,66095,18250,0,Deidre,DeJear,Dem,23714,2,70411,19038,0,Rick,Stewart,Lib,23986,3,64430,18826,0,2022-11-09T02:00:06.798Z
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,IA-20221108_Eday80,16,General,G,Active Tabulation,Called,G,Governor,Kim,Reynolds,GOP,22855,66095,18250,True,True,True,1449623,99,192934,2174435,True,20221108IA17076,2022-11-08,IA,22855,Kim,Reynolds,True,GOP,22855,1,66095,18250,0,Deidre,DeJear,Dem,23714,2,70411,19038,0,Rick,Stewart,Lib,23986,3,64430,18826,0,2022-11-09T02:00:06.798Z
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,IA-20221108_Eday80,16,General,G,Active Tabulation,Called,G,Governor,Kim,Reynolds,GOP,22855,66095,18250,True,True,True,1449623,99,285192,2174435,True,20221108IA17076,2022-11-08,IA,22855,Kim,Reynolds,True,GOP,22855,1,66095,18250,0,Deidre,DeJear,Dem,23714,2,70411,19038,0,Rick,Stewart,Lib,23986,3,64430,18826,0,2022-11-09T02:00:06.798Z
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,IA-20221108_Eday80,16,General,G,Active Tabulation,Called,G,Governor,Kim,Reynolds,GOP,22855,66095,18250,True,True,True,1449623,99,466343,2174435,True,20221108IA17076,2022-11-08,IA,22855,Kim,Reynolds,True,GOP,22855,1,66095,18250,0,Deidre,DeJear,Dem,23714,2,70411,19038,0,Rick,Stewart,Lib,23986,3,64430,18826,0,2022-11-09T02:00:06.798Z
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,IA-20221108_Eday80,16,General,G,Active Tabulation,Called,G,Governor,Kim,Reynolds,GOP,22855,66095,18250,True,True,True,1449623,99,536683,2174435,True,20221108IA17076,2022-11-08,IA,22855,Kim,Reynolds,True,GOP,22855,1,66095,18250,0,Deidre,DeJear,Dem,23714,2,70411,19038,0,Rick,Stewart,Lib,23986,3,64430,18826,0,2022-11-09T02:00:06.798Z
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,IA-20221108_Eday80,16,General,G,Active Tabulation,Called,G,Governor,Kim,Reynolds,GOP,22855,66095,18250,True,True,True,1449623,99,728839,2174435,True,20221108IA17076,2022-11-08,IA,22855,Kim,Reynolds,True,GOP,22855,1,66095,18250,0,Deidre,DeJear,Dem,23714,2,70411,19038,0,Rick,Stewart,Lib,23986,3,64430,18826,0,2022-11-09T02:00:06.798Z
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,IA-20221108_Eday80,16,General,G,Active Tabulation,Called,G,Governor,Kim,Reynolds,GOP,22855,66095,18250,True,True,True,1449623,99,858777,2174435,True,20221108IA17076,2022-11-08,IA,22855,Kim,Reynolds,True,GOP,22855,1,66095,18250,0,Deidre,DeJear,Dem,23714,2,70411,19038,0,Rick,Stewart,Lib,23986,3,64430,18826,0,2022-11-09T02:00:06.798Z
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,IA-20221108_Eday80,16,General,G,Active Tabulation,Called,G,Governor,Kim,Reynolds,GOP,22855,66095,18250,True,True,True,1449623,99,847624,2174435,True,20221108IA17076,2022-11-08,IA,22855,Kim,Reynolds,True,GOP,22855,1,66095,18250,0,Deidre,DeJear,Dem,23714,2,70411,19038,0,Rick,Stewart,Lib,23986,3,64430,18826,0,2022-11-09T02:00:06.798Z
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,IA-20221108_Eday80,16,General,G,Active Tabulation,Called,G,Governor,Kim,Reynolds,GOP,22855,66095,18250,True,True,True,1449623,99,975677,2174435,True,20221108IA17076,2022-11-08,IA,22855,Kim,Reynolds,True,GOP,22855,1,66095,18250,0,Deidre,DeJear,Dem,23714,2,70411,19038,0,Rick,Stewart,Lib,23986,3,64430,18826,0,2022-11-09T02:00:06.798Z
