captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.35985.first,candidates.35985.last,candidates.35985.party,candidates.35985.candidateID,candidates.35985.ballotOrder,candidates.35985.polID,candidates.35985.polNum,candidates.35985.electWon,candidates.35991.first,candidates.35991.last,candidates.35991.party,candidates.35991.candidateID,candidates.35991.ballotOrder,candidates.35991.polID,candidates.35991.polNum,candidates.35991.electWon,candidates.35992.first,candidates.35992.last,candidates.35992.party,candidates.35992.candidateID,candidates.35992.ballotOrder,candidates.35992.polID,candidates.35992.polNum,candidates.35992.electWon,candidates.35991.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MT-20221108_Eday80,27,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Western,True,District 1,1,271987,99,0,449914,True,20221108MT28447,2022-11-08,MT,Monica,Tranel,Dem,35985,1,70314,30478,0,Ryan,Zinke,GOP,35991,2,63730,29296,0,John,Lamb,Lib,35992,3,70315,30501,0,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,MT-20221108_Eday80,27,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,Western,True,District 1,1,271987,99,0,449914,True,20221108MT28447,2022-11-08,MT,Monica,Tranel,Dem,35985,1,70314,30478,0,Ryan,Zinke,GOP,35991,2,63730,29296,0,John,Lamb,Lib,35992,3,70315,30501,0,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Western,True,District 1,1,271987,99,697,449914,True,20221108MT28447,2022-11-08,MT,Monica,Tranel,Dem,35985,1,70314,30478,0,Ryan,Zinke,GOP,35991,2,63730,29296,0,John,Lamb,Lib,35992,3,70315,30501,0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Western,True,District 1,1,271987,99,1788,449914,True,20221108MT28447,2022-11-08,MT,Monica,Tranel,Dem,35985,1,70314,30478,0,Ryan,Zinke,GOP,35991,2,63730,29296,0,John,Lamb,Lib,35992,3,70315,30501,0,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Western,True,District 1,1,271987,99,11684,449914,True,20221108MT28447,2022-11-08,MT,Monica,Tranel,Dem,35985,1,70314,30478,0,Ryan,Zinke,GOP,35991,2,63730,29296,0,John,Lamb,Lib,35992,3,70315,30501,0,,
1667969067,2022-11-08 22:44:27 -0600,73d0e74cb03400217dbc75a62135f42bc460c502,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Western,True,District 1,1,271987,99,27629,449914,True,20221108MT28447,2022-11-08,MT,Monica,Tranel,Dem,35985,1,70314,30478,0,Ryan,Zinke,GOP,35991,2,63730,29296,0,John,Lamb,Lib,35992,3,70315,30501,0,,
1667969855,2022-11-08 22:57:35 -0600,8c3f41d4804fda622cab89f365a05518b70e5a91,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Western,True,District 1,1,271987,99,65860,449914,True,20221108MT28447,2022-11-08,MT,Monica,Tranel,Dem,35985,1,70314,30478,0,Ryan,Zinke,GOP,35991,2,63730,29296,0,John,Lamb,Lib,35992,3,70315,30501,0,,
1667969897,2022-11-08 22:58:17 -0600,4cc79ac7abd56ff5901adb554fdccc45c88f1310,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Western,True,District 1,1,271987,99,27629,449914,True,20221108MT28447,2022-11-08,MT,Monica,Tranel,Dem,35985,1,70314,30478,0,Ryan,Zinke,GOP,35991,2,63730,29296,0,John,Lamb,Lib,35992,3,70315,30501,0,,
1667969942,2022-11-08 22:59:02 -0600,302c96144aa0d22b0603db04cac0928c1e8a79f9,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Western,True,District 1,1,271987,99,65860,449914,True,20221108MT28447,2022-11-08,MT,Monica,Tranel,Dem,35985,1,70314,30478,0,Ryan,Zinke,GOP,35991,2,63730,29296,0,John,Lamb,Lib,35992,3,70315,30501,0,,
1667970723,2022-11-08 23:12:03 -0600,c9be1e43f4fd7fd7004c00409f7a589f170f0784,MT-20221108_Eday80,27,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Western,True,District 1,1,271987,99,68068,449914,True,20221108MT28447,2022-11-08,MT,Monica,Tranel,Dem,35985,1,70314,30478,0,Ryan,Zinke,GOP,35991,2,63730,29296,0,John,Lamb,Lib,35992,3,70315,30501,0,,
