captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.38233.first,candidates.38233.last,candidates.38233.party,candidates.38233.incumbent,candidates.38233.candidateID,candidates.38233.polID,candidates.38233.ballotOrder,candidates.38233.polNum,candidates.38233.electWon,candidates.39974.first,candidates.39974.last,candidates.39974.party,candidates.39974.candidateID,candidates.39974.polID,candidates.39974.ballotOrder,candidates.39974.polNum,candidates.39974.electWon,candidates.40010.first,candidates.40010.last,candidates.40010.abbrv,candidates.40010.party,candidates.40010.candidateID,candidates.40010.polID,candidates.40010.ballotOrder,candidates.40010.polNum,candidates.40010.electWon,candidates.40011.first,candidates.40011.last,candidates.40011.party,candidates.40011.candidateID,candidates.40011.polID,candidates.40011.ballotOrder,candidates.40011.polNum,candidates.40011.electWon,candidates.38233.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NJ-20221108_Eday62,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 9,9,358560,99,0,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NJ-20221108_Eday80,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 9,9,192529,99,0,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,NJ-20221108_Eday80,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 9,9,192529,90,0,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,NJ-20221108_Eday80,31,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 9,9,192529,90,0,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,192529,90,14701,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,192529,90,1637,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,192529,90,14701,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,192529,90,24708,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,192529,90,28624,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,192529,90,32002,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,192529,90,35662,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,192529,90,38625,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,192529,90,43681,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,192529,90,60478,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,192529,90,71569,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
1667968227,2022-11-08 22:30:27 -0600,b78ec951061d2bf917e09f1eb01cb079af5e3a88,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 9,9,192529,90,123478,785911,True,20221108NJ31226,2022-11-08,NJ,38233,Bill,Pascrell,Dem,True,38233,378,1,31569,0,Billy,Prempeh,GOP,39974,69147,2,35356,0,Sean,Armstrong,Armstrng,Ind,40010,71529,3,35574,0,Lea,Sherman,Ind,40011,71530,4,35575,0,2022-11-09T02:30:18.457Z
