captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.39138.first,candidates.39138.last,candidates.39138.abbrv,candidates.39138.party,candidates.39138.incumbent,candidates.39138.candidateID,candidates.39138.polID,candidates.39138.ballotOrder,candidates.39138.polNum,candidates.39138.electWon,candidates.39947.first,candidates.39947.last,candidates.39947.abbrv,candidates.39947.party,candidates.39947.candidateID,candidates.39947.polID,candidates.39947.ballotOrder,candidates.39947.polNum,candidates.39947.electWon,candidates.39989.first,candidates.39989.last,candidates.39989.party,candidates.39989.candidateID,candidates.39989.polID,candidates.39989.ballotOrder,candidates.39989.polNum,candidates.39989.electWon,candidates.39990.first,candidates.39990.last,candidates.39990.party,candidates.39990.candidateID,candidates.39990.polID,candidates.39990.ballotOrder,candidates.39990.polNum,candidates.39990.electWon,candidates.39138.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NJ-20221108_Eday62,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,378387,99,0,1020405,True,20221108NJ31205,2022-11-08,NJ,39138,Jeff,Van Drew,VanDrw,GOP,True,39138,56642,2,33347,0,Tim,Alexander,Alexandr,Dem,39947,70440,1,35533,0,Michael,Gallo,Ind,39989,71518,3,35514,0,Anthony,Sanchez,Ind,39990,67769,4,35120,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NJ-20221108_Eday80,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,228132,99,0,1020405,True,20221108NJ31205,2022-11-08,NJ,39138,Jeff,Van Drew,VanDrw,GOP,True,39138,56642,2,33347,0,Tim,Alexander,Alexandr,Dem,39947,70440,1,35533,0,Michael,Gallo,Ind,39989,71518,3,35514,0,Anthony,Sanchez,Ind,39990,67769,4,35120,0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,NJ-20221108_Eday80,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,228132,90,0,1020405,True,20221108NJ31205,2022-11-08,NJ,39138,Jeff,Van Drew,VanDrw,GOP,True,39138,56642,2,33347,0,Tim,Alexander,Alexandr,Dem,39947,70440,1,35533,0,Michael,Gallo,Ind,39989,71518,3,35514,0,Anthony,Sanchez,Ind,39990,67769,4,35120,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,NJ-20221108_Eday80,31,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 2,2,228132,90,0,1020405,True,20221108NJ31205,2022-11-08,NJ,39138,Jeff,Van Drew,VanDrw,GOP,True,39138,56642,2,33347,0,Tim,Alexander,Alexandr,Dem,39947,70440,1,35533,0,Michael,Gallo,Ind,39989,71518,3,35514,0,Anthony,Sanchez,Ind,39990,67769,4,35120,0,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,228132,90,13875,1020405,True,20221108NJ31205,2022-11-08,NJ,39138,Jeff,Van Drew,VanDrw,GOP,True,39138,56642,2,33347,0,Tim,Alexander,Alexandr,Dem,39947,70440,1,35533,0,Michael,Gallo,Ind,39989,71518,3,35514,0,Anthony,Sanchez,Ind,39990,67769,4,35120,0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,228132,90,26011,1020405,True,20221108NJ31205,2022-11-08,NJ,39138,Jeff,Van Drew,VanDrw,GOP,True,39138,56642,2,33347,0,Tim,Alexander,Alexandr,Dem,39947,70440,1,35533,0,Michael,Gallo,Ind,39989,71518,3,35514,0,Anthony,Sanchez,Ind,39990,67769,4,35120,0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,228132,90,40637,1020405,True,20221108NJ31205,2022-11-08,NJ,39138,Jeff,Van Drew,VanDrw,GOP,True,39138,56642,2,33347,0,Tim,Alexander,Alexandr,Dem,39947,70440,1,35533,0,Michael,Gallo,Ind,39989,71518,3,35514,0,Anthony,Sanchez,Ind,39990,67769,4,35120,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,228132,90,53848,1020405,True,20221108NJ31205,2022-11-08,NJ,39138,Jeff,Van Drew,VanDrw,GOP,True,39138,56642,2,33347,0,Tim,Alexander,Alexandr,Dem,39947,70440,1,35533,0,Michael,Gallo,Ind,39989,71518,3,35514,0,Anthony,Sanchez,Ind,39990,67769,4,35120,0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,228132,90,68297,1020405,True,20221108NJ31205,2022-11-08,NJ,39138,Jeff,Van Drew,VanDrw,GOP,True,39138,56642,2,33347,0,Tim,Alexander,Alexandr,Dem,39947,70440,1,35533,0,Michael,Gallo,Ind,39989,71518,3,35514,0,Anthony,Sanchez,Ind,39990,67769,4,35120,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,228132,90,63545,1020405,True,20221108NJ31205,2022-11-08,NJ,39138,Jeff,Van Drew,VanDrw,GOP,True,39138,56642,2,33347,0,Tim,Alexander,Alexandr,Dem,39947,70440,1,35533,0,Michael,Gallo,Ind,39989,71518,3,35514,0,Anthony,Sanchez,Ind,39990,67769,4,35120,0,,
