captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.51911.first,candidates.51911.last,candidates.51911.abbrv,candidates.51911.party,candidates.51911.candidateID,candidates.51911.ballotOrder,candidates.51911.polID,candidates.51911.polNum,candidates.51911.electWon,candidates.51923.first,candidates.51923.last,candidates.51923.incumbent,candidates.51923.party,candidates.51923.candidateID,candidates.51923.ballotOrder,candidates.51923.polID,candidates.51923.polNum,candidates.51923.electWon,candidates.51923.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,VA-20221108_Eday80,47,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,370269,99,0,1398174,True,20221108VA47009,2022-11-08,VA,51923,Joshua,Throneburg,Thronbrg,Dem,51911,1,70900,49639,0,Robert,Good,True,GOP,51923,2,69523,49576,0,,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,VA-20221108_Eday80,47,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 5,5,370269,99,0,1398174,True,20221108VA47009,2022-11-08,VA,51923,Joshua,Throneburg,Thronbrg,Dem,51911,1,70900,49639,0,Robert,Good,True,GOP,51923,2,69523,49576,0,,
1667954061,2022-11-09 00:34:21 +0000,f42b15f4268586407ce223466d2394d526a81df4,VA-20221108_Eday80,47,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,370269,99,5017,1398174,True,20221108VA47009,2022-11-08,VA,51923,Joshua,Throneburg,Thronbrg,Dem,51911,1,70900,49639,0,Robert,Good,True,GOP,51923,2,69523,49576,0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,VA-20221108_Eday80,47,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,370269,99,26074,1398174,True,20221108VA47009,2022-11-08,VA,51923,Joshua,Throneburg,Thronbrg,Dem,51911,1,70900,49639,0,Robert,Good,True,GOP,51923,2,69523,49576,0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,VA-20221108_Eday80,47,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,370269,99,26772,1398174,True,20221108VA47009,2022-11-08,VA,51923,Joshua,Throneburg,Thronbrg,Dem,51911,1,70900,49639,0,Robert,Good,True,GOP,51923,2,69523,49576,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,VA-20221108_Eday80,47,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,370269,99,61246,1398174,True,20221108VA47009,2022-11-08,VA,51923,Joshua,Throneburg,Thronbrg,Dem,51911,1,70900,49639,0,Robert,Good,True,GOP,51923,2,69523,49576,0,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,VA-20221108_Eday80,47,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,370269,99,86241,1398174,True,20221108VA47009,2022-11-08,VA,51923,Joshua,Throneburg,Thronbrg,Dem,51911,1,70900,49639,0,Robert,Good,True,GOP,51923,2,69523,49576,0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,VA-20221108_Eday80,47,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,370269,99,71455,1398174,True,20221108VA47009,2022-11-08,VA,51923,Joshua,Throneburg,Thronbrg,Dem,51911,1,70900,49639,0,Robert,Good,True,GOP,51923,2,69523,49576,0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,VA-20221108_Eday80,47,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,370269,99,95303,1398174,True,20221108VA47009,2022-11-08,VA,51923,Joshua,Throneburg,Thronbrg,Dem,51911,1,70900,49639,0,Robert,Good,True,GOP,51923,2,69523,49576,0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,VA-20221108_Eday80,47,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,370269,99,174548,1398174,True,20221108VA47009,2022-11-08,VA,51923,Joshua,Throneburg,Thronbrg,Dem,51911,1,70900,49639,0,Robert,Good,True,GOP,51923,2,69523,49576,0,,
