captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.22921.first,candidates.22921.last,candidates.22921.party,candidates.22921.candidateID,candidates.22921.polID,candidates.22921.ballotOrder,candidates.22921.polNum,candidates.22921.electWon,candidates.22922.first,candidates.22922.last,candidates.22922.party,candidates.22922.candidateID,candidates.22922.polID,candidates.22922.ballotOrder,candidates.22922.polNum,candidates.22922.electWon,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CA-20221108_Eday62,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 13,13,155792,99,0,836656,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,CA-20221108_Eday80,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 13,13,186889,99,0,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667949842,2022-11-08 23:24:02 +0000,e733c733b3b3c33f13905f9501db69cb94a55a64,CA-20221108_Eday80,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 13,13,186889,90,0,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667967636,2022-11-08 22:20:36 -0600,1bed774242ed32fb5f86bc6fed50c68740cf5631,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,186889,90,10219,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667968494,2022-11-08 22:34:54 -0600,cfbd241bb06919184c9a5ad42a24eb60bc59879a,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,186889,90,51447,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667970156,2022-11-08 23:02:36 -0600,84ea53799ae0036a04ac85127e62d719394c963e,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,186889,90,51695,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667970199,2022-11-08 23:03:19 -0600,f4db6dd16c878356c43dd19f6d680eb5acf90d34,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,186889,90,51447,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667970241,2022-11-08 23:04:01 -0600,d53bae4b64596045c97e6eb2ac077f70fc0cec78,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,186889,90,51695,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667970944,2022-11-08 23:15:44 -0600,ade12abccb70834d17788a299f1a5de3ad7d230d,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,186889,90,52166,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667971785,2022-11-08 23:29:45 -0600,0263826aefa5e72057a0aaa213c232b6c0eefa0d,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,186889,90,57700,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667973338,2022-11-08 23:55:38 -0600,60e23f89b0832d690c2e9c2012f75df6b998f230,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,186889,90,58512,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667974225,2022-11-09 00:10:25 -0600,2985b4bedf5fc7a85a7f91a2caf4c7b14617e055,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,186889,90,59114,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667975941,2022-11-09 00:39:01 -0600,824726c09f3a54d568715997d5b46bff5c7f219d,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,186889,90,60302,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667976713,2022-11-09 00:51:53 -0600,e706274cafb1c1dca67fd185b843624ee37dec41,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,186889,90,60308,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667977490,2022-11-09 01:04:50 -0600,73af89bd198396be18bf17786481f7c1aff2cd2b,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,186889,90,61522,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667977976,2022-11-09 01:12:56 -0600,49c0f85ed6cbaaac8f357b536c767f0a23714980,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,186889,90,62895,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667981123,2022-11-09 02:05:23 -0600,cab57d2c03fab6367d8f4209c67e475f346b5a09,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,186889,90,64348,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667984402,2022-11-09 03:00:02 -0600,555c6c1c19b6031d93d1a0906788ce779bfb8929,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,186889,90,69200,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667984442,2022-11-09 03:00:42 -0600,b88c277a236e329327b5836883a7e075e996d2d1,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,186889,90,64348,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667984482,2022-11-09 03:01:22 -0600,5c66e8f8bf216c8c04bb7dfe44cfd67b3ea5a2ba,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,186889,90,69200,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667988882,2022-11-09 04:14:42 -0600,50e686bbeb599e4b3a701673cc58310482a21b94,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,164302,90,69200,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667988922,2022-11-09 04:15:22 -0600,f2fa14f9c9cdc4848abee151cdeb35c28ce0f80a,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,186889,90,69200,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667988962,2022-11-09 04:16:02 -0600,c9c4a60677ea04d6ab18d6eec6d6c3a7761f64fa,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,164302,90,69200,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
1667990883,2022-11-09 04:48:03 -0600,fa2f12e2cdddc0022271c47fa556e984744d2192,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,164302,90,69227,874505,True,20221108CA5703,2022-11-08,CA,Adam,Gray,Dem,22921,70545,2,11953,0,John,Duarte,GOP,22922,70543,1,13760,0,
