captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.13074.first,candidates.13074.last,candidates.13074.incumbent,candidates.13074.party,candidates.13074.candidateID,candidates.13074.ballotOrder,candidates.13074.polID,candidates.13074.polNum,candidates.13074.electWon,candidates.13894.first,candidates.13894.last,candidates.13894.party,candidates.13894.candidateID,candidates.13894.ballotOrder,candidates.13894.polID,candidates.13894.polNum,candidates.13894.electWon,candidates.14105.first,candidates.14105.last,candidates.14105.party,candidates.14105.candidateID,candidates.14105.ballotOrder,candidates.14105.polID,candidates.14105.polNum,candidates.14105.electWon,candidates.13074.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CO-20221108_Eday80,6,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 6,6,267641,99,0,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,CO-20221108_Eday80,6,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 6,6,267641,99,0,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,267641,99,0,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,267641,99,267,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,267641,99,2517,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,267641,99,31580,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,267641,99,171455,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,267641,99,174663,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,267641,99,176485,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1667967954,2022-11-08 22:25:54 -0600,ddd8cd55583cb4e51013ac431e84d23dc8167e7a,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,267641,99,176766,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1667969592,2022-11-08 22:53:12 -0600,1aa535c5b76797aa0c55f68109cd2149e6f7b08a,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,267813,99,176766,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1667970373,2022-11-08 23:06:13 -0600,3ea973c74a9585b2e944f9dd59e390b2b951b2cd,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,267813,99,176784,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1667970415,2022-11-08 23:06:55 -0600,f1d4e9736f94ffa7aa7ebd5da07699c9a419c5df,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,267813,99,176766,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1667970461,2022-11-08 23:07:41 -0600,7d669d180641a9a00e537201f92d2f70ea120169,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,267813,99,176784,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1667971213,2022-11-08 23:20:13 -0600,5f24f417653bba3396590267801436b107c31ac9,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,267813,99,176796,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1667972072,2022-11-08 23:34:32 -0600,5f08375f0416ad308fd9009cb811eb22d16c43e4,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,267813,99,182355,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1667973793,2022-11-09 00:03:13 -0600,471324a7f30a6780d5e1d2eb6bf6c21c79776e91,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,267813,99,183354,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1667974712,2022-11-09 00:18:32 -0600,8831ad0cd913a7df98a9591de88a61ddfc8730ee,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,267813,99,183361,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1667975526,2022-11-09 00:32:06 -0600,5374366d2c6a2b7e8af014c09c7cd85c5fd86ee7,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,267813,99,183385,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1667976346,2022-11-09 00:45:46 -0600,b9be9344301c155fbb38561b225d36627ab71bd2,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,267813,99,190514,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1667982397,2022-11-09 02:26:37 -0600,f4791889114ae4f8264fa44ab1fe91f4a19dfaba,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,252908,99,191192,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1667984243,2022-11-09 02:57:23 -0600,7115c058bcd3ff51a93d48244a4b79656d48a186,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,252908,99,191404,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1667986710,2022-11-09 03:38:30 -0600,e76b62f6ea65887d3b04b50648890c6997b1f3db,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,253122,99,191725,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1667987603,2022-11-09 03:53:23 -0600,907e925b1b5bf0815b2f82ea78e7a5d530eaf2f1,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,239842,99,191725,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1668019219,2022-11-09 12:40:19 -0600,b2ca936d6e27c0460d8174e7c1de3d255a3a15b2,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,269300,99,191725,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1668020106,2022-11-09 12:55:06 -0600,1cea6be431ad468a34d3324a40be1a320f07b8d5,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,265476,99,191725,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1668027065,2022-11-09 14:51:05 -0600,ad3bf6bd0fd24dabbd3646b408641e20080672b7,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,265476,99,203274,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1668029556,2022-11-09 15:32:36 -0600,375eb7a5faf1941434bdce1704f4911ca8d3924a,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,265476,99,204257,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1668032922,2022-11-09 16:28:42 -0600,a0bbb023b7bf96c05745c6696fb09394f0eab8c6,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,265843,99,204783,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1668034712,2022-11-09 16:58:32 -0600,c48081556f37271c5fdb54d63964907b82d18467,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,267312,99,204783,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1668035558,2022-11-09 17:12:38 -0600,6842add30be01e93ca0c59354e51b7e6488e3e0c,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,267312,99,206583,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
1668036359,2022-11-09 17:25:59 -0600,f21eff637deb1cdffe90f9f0b6e84944f0b82a86,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,267312,99,216815,1009802,True,20221108CO6618,2022-11-08,CO,13074,Jason,Crow,True,Dem,13074,1,67060,9243,0.0,Steven,Monahan,GOP,13894,2,70798,9643,0.0,Eric,Mulder,Lib,14105,3,71796,9796,0.0,2022-11-09T03:57:56.983Z,
