captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,20221108LA20557,live,22.92,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:16:17.657Z,168,632,26.58,25339,38455,66.48,25340,19391,33.52,252404,99,57846,829331,168,145,0.0,1.0,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,20221108LA20557,live,32.63,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:24:53.872Z,239,632,37.82,25339,51710,69.76,25340,22414,30.24,227195,99,74124,829331,239,206,0.0,1.0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,20221108LA20557,live,36.17,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:27:51.409Z,262,632,41.46,25339,56964,69.32,25340,25216,30.68,227195,99,82180,829331,262,229,0.0,1.0,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,20221108LA20557,live,40.66,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:35:04.545Z,289,632,45.73,25339,62843,69.1,25340,28101,30.9,223646,99,90944,829331,289,257,0.0,1.0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,20221108LA20557,live,61.63,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:43:50.517Z,374,632,59.18,25339,81683,71.75,25340,32159,28.25,184717,99,113842,829331,374,390,0.0,1.0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,20221108LA20557,live,66.68,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:00:10.128Z,415,632,65.66,25339,88858,72.15,25340,34307,27.85,184717,99,123165,829331,415,421,0.0,1.0,X,2022-11-09T03:59:48.432Z
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,20221108LA20557,live,66.95,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:13:41.635Z,416,632,65.82,25339,89317,72.23,25340,34346,27.77,184717,99,123663,829331,416,423,0.0,1.0,X,2022-11-09T03:59:48.432Z
1667967862,2022-11-08 22:24:22 -0600,70f93394ffa370662e7d52b8ef52310baba3c929,20221108LA20557,live,70.28,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:20:29.225Z,447,632,70.73,25339,95169,73.31,25340,34642,26.69,184717,99,129811,829331,447,444,0.0,1.0,X,2022-11-09T03:59:48.432Z
1667968002,2022-11-08 22:26:42 -0600,1235204137f0f06fe3cd4983951d9356477924c9,20221108LA20557,live,89.55,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:24:26.570Z,594,632,93.99,25339,122171,73.86,25340,43237,26.14,184717,99,165408,829331,594,566,0.0,1.0,X,2022-11-09T03:59:48.432Z
1667968047,2022-11-08 22:27:27 -0600,3febed665f84b6f0a9717d87750ee8049f50fab6,20221108LA20557,live,89.79,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:26:27.332Z,595,632,94.15,25339,122447,73.83,25340,43414,26.17,184717,99,165861,829331,595,567,0.0,1.0,X,2022-11-09T03:59:48.432Z
1667968757,2022-11-08 22:39:17 -0600,444e7baf756125a86bedac9f7455307c41fed63a,20221108LA20557,live,92.99,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:37:00.214Z,620,632,98.1,25339,127785,74.39,25340,43981,25.61,184717,99,171766,829331,620,588,0.0,1.0,X,2022-11-09T03:59:48.432Z
1667968844,2022-11-08 22:40:44 -0600,9af6e1ce44325ca43504ad5e0ccab8e9f14ef964,20221108LA20557,live,92.99,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:38:44.281Z,620,632,98.1,25339,127785,74.39,25340,43981,25.61,184717,99,171766,829331,620,588,0.0,1.0,X,2022-11-09T03:59:48.432Z
1667969067,2022-11-08 22:44:27 -0600,73d0e74cb03400217dbc75a62135f42bc460c502,20221108LA20557,live,97.56,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:42:08.325Z,622,632,98.42,25339,128170,74.44,25340,44007,25.56,176487,99,172177,829331,622,617,0.0,1.0,X,2022-11-09T03:59:48.432Z
1667969116,2022-11-08 22:45:16 -0600,79682069eac6cae3840febac265b40363b9c51ff,20221108LA20557,live,97.33,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:44:22.609Z,622,632,98.42,25339,150544,76.66,25340,45834,23.34,201755,99,196378,829331,622,615,0.0,1.0,X,2022-11-09T03:59:48.432Z
1667969376,2022-11-08 22:49:36 -0600,4ac813ba060ccffdf02cdf61aae9dd9c0b214438,20221108LA20557,live,98.32,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:47:34.216Z,622,632,98.42,25339,152064,76.66,25340,46303,23.34,201755,99,198367,829331,622,621,0.0,1.0,X,2022-11-09T03:59:48.432Z
1667969592,2022-11-08 22:53:12 -0600,1aa535c5b76797aa0c55f68109cd2149e6f7b08a,20221108LA20557,live,97.35,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:51:26.558Z,622,632,98.42,25339,152064,76.66,25340,46303,23.34,203764,99,198367,829331,622,615,0.0,1.0,X,2022-11-09T03:59:48.432Z
1667969810,2022-11-08 22:56:50 -0600,b4af1c5ed222b2aca51b198a04f7adfc76d9c4e9,20221108LA20557,live,97.35,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:56:07.410Z,622,632,98.42,25339,152064,76.66,25340,46303,23.34,203764,99,198367,829331,622,615,0.0,1.0,X,2022-11-09T03:59:48.432Z
1667972308,2022-11-08 23:38:28 -0600,ba9f5f7b5ce443fdefcabab3b6292f3cd1310af6,20221108LA20557,live,97.35,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T05:31:20.550Z,622,632,98.42,25339,152064,76.66,25340,46303,23.34,203764,99,198367,829331,622,615,0.0,1.0,X,2022-11-09T03:59:48.432Z
1667972364,2022-11-08 23:39:24 -0600,bfe9cb466aa6b65574c16effa903cd993efd4fe0,20221108LA20557,live,97.35,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T05:37:01.211Z,622,632,98.42,25339,152064,76.66,25340,46303,23.34,203764,99,198367,829331,622,615,0.0,1.0,X,2022-11-09T03:59:48.432Z
1667972810,2022-11-08 23:46:50 -0600,aa61daf8417c040e13c56de238053c966d7a0302,20221108LA20557,live,98.55,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T05:45:26.273Z,630,632,99.68,25339,153631,76.72,25340,46618,23.28,203192,99,200249,829331,630,623,0.0,1.0,X,2022-11-09T03:59:48.432Z
1667973648,2022-11-09 00:00:48 -0600,56d1333c268e0ca83267f304bc7ebda9b0c770b6,20221108LA20557,live,98.92,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T05:59:31.538Z,632,632,100.0,25339,154261,76.75,25340,46729,23.25,203192,99,200990,829331,632,625,0.0,1.0,X,2022-11-09T03:59:48.432Z
1667974988,2022-11-09 00:23:08 -0600,5d6616b419546bd84ca0c06ee5a7a5389ea5fc67,20221108LA20557,live,98.92,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T06:22:23.822Z,632,632,100.0,25339,154261,76.75,25340,46729,23.25,203192,99,200990,829331,632,625,0.0,1.0,X,2022-11-09T03:59:48.432Z
1667977245,2022-11-09 01:00:45 -0600,941801650b13c3c4f4a2abd9523403803c17f776,20221108LA20557,live,98.92,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T07:00:05.212Z,632,632,100.0,25339,154261,76.75,25340,46729,23.25,203192,99,200990,829331,632,625,0.0,1.0,X,2022-11-09T03:59:48.432Z
1667977976,2022-11-09 01:12:56 -0600,49c0f85ed6cbaaac8f357b536c767f0a23714980,20221108LA20557,live,99.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T07:11:37.932Z,632,632,100.0,25339,158084,77.11,25340,46920,22.89,203192,99,205004,829331,632,626,0.0,1.0,X,2022-11-09T03:59:48.432Z
1667978139,2022-11-09 01:15:39 -0600,6e2e8e564c230fac37dee2fdeebdd5738ebfcc2b,20221108LA20557,live,98.92,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T07:14:37.217Z,632,632,100.0,25339,158084,77.11,25340,46920,22.89,207247,99,205004,829331,632,625,0.0,1.0,X,2022-11-09T03:59:48.432Z
1668164496,2022-11-11 05:01:36 -0600,eb3938fdcb9eecc05df63ea23750c5ab17210c58,20221108LA20557,live,98.92,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-11T11:00:49.677Z,632,632,100.0,25339,158084,77.11,25340,46922,22.89,207247,99,205006,829331,632,625,0.0,1.0,X,2022-11-09T03:59:48.432Z
