captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108LA20557,live,0.0,LA,Louisiana,19,1,2022-11-09T01:00:00.000Z,state,2022-11-07T03:12:06.615Z,0,632,0.0,25339,0,0.0,25340,0,0.0,253917,99,0,829331,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108LA20557,live,0.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-08T19:34:19.338Z,0,632,0.0,25339,0,0.0,25340,0,0.0,266939,99,0,829331,0,0,,,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108LA20557,live,0.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:03:46.918Z,0,632,0.0,25339,0,0.0,25340,0,0.0,266939,99,0,829331,0,0,,,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,20221108LA20557,live,5.98,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:25:14.404Z,1,632,0.16,25339,9912,62.14,25340,6039,37.86,266939,99,15951,829331,1,38,0.0,1.0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,20221108LA20557,live,5.98,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:30:46.559Z,1,632,0.16,25339,9912,62.14,25340,6039,37.86,266939,99,15951,829331,1,38,0.0,1.0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,20221108LA20557,live,5.98,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:45:31.955Z,1,632,0.16,25339,9912,62.14,25340,6039,37.86,266939,99,15951,829331,1,38,0.0,1.0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,20221108LA20557,live,11.85,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:59:15.620Z,57,632,9.02,25339,21166,66.92,25340,10461,33.08,266939,99,31627,829331,57,75,0.0,1.0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,20221108LA20557,live,14.37,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:01:21.226Z,81,632,12.82,25339,24574,64.07,25340,13778,35.93,266939,99,38352,829331,81,91,0.0,1.0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,20221108LA20557,live,15.63,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:08:00.045Z,96,632,15.19,25339,25867,62.43,25340,15567,37.57,265137,99,41434,829331,96,99,0.0,1.0,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,20221108LA20557,live,22.92,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:12:56.043Z,168,632,26.58,25339,38455,66.48,25340,19391,33.52,252404,99,57846,829331,168,145,0.0,1.0,,
