captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.25339.first,candidates.25339.last,candidates.25339.party,candidates.25339.incumbent,candidates.25339.candidateID,candidates.25339.polID,candidates.25339.ballotOrder,candidates.25339.polNum,candidates.25340.first,candidates.25340.last,candidates.25340.party,candidates.25340.candidateID,candidates.25340.polID,candidates.25340.ballotOrder,candidates.25340.polNum,candidates.25339.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,LA-20221108_Eday62,19,Open Primary,X,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,253917,99,0,829331,True,20221108LA20557,2022-11-08,LA,25339,Troy,Carter,Dem,True,25339,71728,1,21715,Dan,Lux,GOP,25340,71729,2,22306,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,LA-20221108_Eday80,19,Open Primary,X,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,266939,99,0,829331,True,20221108LA20557,2022-11-08,LA,25339,Troy,Carter,Dem,True,25339,71728,1,21715,Dan,Lux,GOP,25340,71729,2,22306,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,LA-20221108_Eday80,19,Open Primary,X,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 2,2,266939,99,0,829331,True,20221108LA20557,2022-11-08,LA,25339,Troy,Carter,Dem,True,25339,71728,1,21715,Dan,Lux,GOP,25340,71729,2,22306,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,LA-20221108_Eday80,19,Open Primary,X,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,266939,99,0,829331,True,20221108LA20557,2022-11-08,LA,25339,Troy,Carter,Dem,True,25339,71728,1,21715,Dan,Lux,GOP,25340,71729,2,22306,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,LA-20221108_Eday80,19,Open Primary,X,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 2,2,266939,99,0,829331,True,20221108LA20557,2022-11-08,LA,25339,Troy,Carter,Dem,True,25339,71728,1,21715,Dan,Lux,GOP,25340,71729,2,22306,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,266939,99,15951,829331,True,20221108LA20557,2022-11-08,LA,25339,Troy,Carter,Dem,True,25339,71728,1,21715,Dan,Lux,GOP,25340,71729,2,22306,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,266939,99,31627,829331,True,20221108LA20557,2022-11-08,LA,25339,Troy,Carter,Dem,True,25339,71728,1,21715,Dan,Lux,GOP,25340,71729,2,22306,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,265137,99,41434,829331,True,20221108LA20557,2022-11-08,LA,25339,Troy,Carter,Dem,True,25339,71728,1,21715,Dan,Lux,GOP,25340,71729,2,22306,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,227195,99,74124,829331,True,20221108LA20557,2022-11-08,LA,25339,Troy,Carter,Dem,True,25339,71728,1,21715,Dan,Lux,GOP,25340,71729,2,22306,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,185234,99,106409,829331,True,20221108LA20557,2022-11-08,LA,25339,Troy,Carter,Dem,True,25339,71728,1,21715,Dan,Lux,GOP,25340,71729,2,22306,,
