captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,candidates.4.candidateID,candidates.4.voteCount,candidates.4.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.winner,candidates.0.calledAt,candidates.0.colorIndex
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108HI12211,live,0.0,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-07T20:37:16.412Z,0,248,0,18740,0,0.0,19997,0,0.0,20380,0,0.0,20381,0,0.0,20382,0,0.0,440000,99,0,853874,0,0,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108HI12211,live,0.0,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-08T20:52:50.664Z,0,248,0,18740,0,0.0,19997,0,0.0,20380,0,0.0,20381,0,0.0,20382,0,0.0,410386,99,0,780343,0,0,,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,20221108HI12211,live,0.0,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T01:31:50.550Z,0,248,0,18740,0,0.0,19997,0,0.0,20380,0,0.0,20381,0,0.0,20382,0,0.0,425000,99,0,853874,0,0,,,
1667970071,2022-11-08 23:01:11 -0600,dbae837cbbaf1f3aaf9390e6aaa3521af778ad97,20221108HI12211,live,0.0,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T05:00:24.663Z,0,248,0,18740,0,0.0,19997,0,0.0,20380,0,0.0,20381,0,0.0,20382,0,0.0,425000,99,0,853874,0,0,X,2022-11-09T05:00:05.214Z,0.0
1667975154,2022-11-09 00:25:54 -0600,e385cf3ed45230deb4315fbba874f4f4144f56b6,20221108HI12211,live,71.56,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T06:24:41.391Z,0,248,0,18740,227825,74.91,19997,69155,22.74,20380,3092,1.02,20381,2674,0.88,20382,1385,0.46,425000,99,304131,853874,0,177,X,2022-11-09T05:00:05.214Z,0.0
1667976144,2022-11-09 00:42:24 -0600,9ba67be41054bbe85d475769a3f52b32f07bb1ad,20221108HI12211,live,77.0,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T06:41:04.397Z,0,248,0,18740,227825,74.91,19997,69155,22.74,20380,3092,1.02,20381,2674,0.88,20382,1385,0.46,394975,99,304131,853874,0,191,X,2022-11-09T05:00:05.214Z,0.0
1667976590,2022-11-09 00:49:50 -0600,94cc860afa532570fe1eea1ef2140983ffb9d8e8,20221108HI12211,live,77.0,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T06:48:26.954Z,0,248,0,18740,227825,74.91,19997,69155,22.74,20380,3092,1.02,20381,2674,0.88,20382,1385,0.46,394975,99,304131,853874,0,191,X,2022-11-09T05:00:05.214Z,0.0
1667977529,2022-11-09 01:05:29 -0600,41a86a702268ec57df877a606f8777dfeb75024d,20221108HI12211,live,77.0,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T07:04:12.567Z,0,248,0,18740,227825,74.91,19997,69155,22.74,20380,3092,1.02,20381,2674,0.88,20382,1385,0.46,394975,99,304131,853874,0,191,X,2022-11-09T05:00:05.214Z,0.0
1667977571,2022-11-09 01:06:11 -0600,a52c232825af64477e8cc1b761cf52e3cfd7e241,20221108HI12211,live,77.0,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T07:05:28.540Z,0,248,0,18740,227825,74.91,19997,69155,22.74,20380,3092,1.02,20381,2674,0.88,20382,1385,0.46,394975,99,304131,853874,0,191,X,2022-11-09T05:00:05.214Z,0.0
1667980452,2022-11-09 01:54:12 -0600,8582b289a5585f5144f1456aab265e4a7ab9ddc5,20221108HI12211,live,86.57,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T07:49:46.167Z,0,248,0,18740,249187,72.87,19997,84294,24.65,20380,3706,1.08,20381,3126,0.91,20382,1632,0.48,394975,99,341945,853874,0,215,X,2022-11-09T05:00:05.214Z,0.0
