captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,electTotal,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,candidates.4.candidateID,candidates.4.voteCount,candidates.4.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,HI,15001,2,2022-11-09T05:00:00.000Z,FIPSCode,15001,0,2022-11-07T03:04:01.817Z,0,0.0,42,0,18740,0,0.0,19997,0,0.0,20380,0,0.0,20381,0,0.0,20382,0,0.0,61548,99,0,129765,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,HI,15001,2,2022-11-09T05:00:00.000Z,FIPSCode,15001,0,2022-11-08T20:52:50.655Z,0,0.0,42,0,18740,0,0.0,19997,0,0.0,20380,0,0.0,20381,0,0.0,20382,0,0.0,61548,99,0,129765,0,0
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,HI,15001,2,2022-11-09T05:00:00.000Z,FIPSCode,15001,0,2022-11-09T01:25:14.437Z,0,0.0,42,0,18740,0,0.0,19997,0,0.0,20380,0,0.0,20381,0,0.0,20382,0,0.0,62102,99,0,129765,0,0
1667970071,2022-11-08 23:01:11 -0600,dbae837cbbaf1f3aaf9390e6aaa3521af778ad97,HI,15001,2,2022-11-09T05:00:00.000Z,FIPSCode,15001,0,2022-11-09T05:00:07.036Z,0,0.0,42,0,18740,0,0.0,19997,0,0.0,20380,0,0.0,20381,0,0.0,20382,0,0.0,62102,99,0,129765,0,0
1667975154,2022-11-09 00:25:54 -0600,e385cf3ed45230deb4315fbba874f4f4144f56b6,HI,15001,2,2022-11-09T05:00:00.000Z,FIPSCode,15001,0,2022-11-09T06:24:41.381Z,36,85.28,42,0,18740,40526,76.52,19997,10946,20.67,20381,616,1.16,20380,595,1.12,20382,277,0.52,62102,99,52960,129765,0,36
1667976144,2022-11-09 00:42:24 -0600,9ba67be41054bbe85d475769a3f52b32f07bb1ad,HI,15001,2,2022-11-09T05:00:00.000Z,FIPSCode,15001,0,2022-11-09T06:40:09.883Z,39,92.0,42,0,18740,40526,76.52,19997,10946,20.67,20381,616,1.16,20380,595,1.12,20382,277,0.52,57565,99,52960,129765,0,39
1667976590,2022-11-09 00:49:50 -0600,94cc860afa532570fe1eea1ef2140983ffb9d8e8,HI,15001,2,2022-11-09T05:00:00.000Z,FIPSCode,15001,0,2022-11-09T06:48:26.953Z,39,92.0,42,0,18740,40526,76.52,19997,10946,20.67,20381,616,1.16,20380,595,1.12,20382,277,0.52,57565,99,52960,129765,0,39
1667977529,2022-11-09 01:05:29 -0600,41a86a702268ec57df877a606f8777dfeb75024d,HI,15001,2,2022-11-09T05:00:00.000Z,FIPSCode,15001,0,2022-11-09T06:48:26.953Z,39,92.0,42,0,18740,40526,76.52,19997,10946,20.67,20381,616,1.16,20380,595,1.12,20382,277,0.52,57565,99,52960,129765,0,39
1667977571,2022-11-09 01:06:11 -0600,a52c232825af64477e8cc1b761cf52e3cfd7e241,HI,15001,2,2022-11-09T05:00:00.000Z,FIPSCode,15001,0,2022-11-09T06:48:26.953Z,39,92.0,42,0,18740,40526,76.52,19997,10946,20.67,20381,616,1.16,20380,595,1.12,20382,277,0.52,57565,99,52960,129765,0,39
1667980452,2022-11-09 01:54:12 -0600,8582b289a5585f5144f1456aab265e4a7ab9ddc5,HI,15001,2,2022-11-09T05:00:00.000Z,FIPSCode,15001,0,2022-11-09T06:48:26.953Z,39,92.0,42,0,18740,40526,76.52,19997,10946,20.67,20381,616,1.16,20380,595,1.12,20382,277,0.52,57565,99,52960,129765,0,39
1667981123,2022-11-09 02:05:23 -0600,cab57d2c03fab6367d8f4209c67e475f346b5a09,HI,15001,2,2022-11-09T05:00:00.000Z,FIPSCode,15001,0,2022-11-09T08:03:06.199Z,0,97.32,42,0,18740,41522,74.12,19997,12863,22.96,20381,672,1.2,20380,659,1.18,20382,307,0.55,57565,99,56023,129765,0,41
1667981603,2022-11-09 02:13:23 -0600,3310dbe8867ffe9b16ad80e27a2817750d56a0d9,HI,15001,2,2022-11-09T05:00:00.000Z,FIPSCode,15001,0,2022-11-09T08:12:21.845Z,0,97.32,42,0,18740,41522,74.12,19997,12863,22.96,20381,672,1.2,20380,659,1.18,20382,307,0.55,57565,99,56023,129765,0,41
1667981845,2022-11-09 02:17:25 -0600,7e68193d40ccd008289f64ac07d8a8176d00c571,HI,15001,2,2022-11-09T05:00:00.000Z,FIPSCode,15001,0,2022-11-09T08:12:21.845Z,0,97.32,42,0,18740,41522,74.12,19997,12863,22.96,20381,672,1.2,20380,659,1.18,20382,307,0.55,57565,99,56023,129765,0,41
1668083849,2022-11-10 06:37:29 -0600,6296bff6087e1efaaeae83549b78a9298df6cba2,HI,15001,2,2022-11-09T05:00:00.000Z,FIPSCode,15001,0,2022-11-09T08:16:10.625Z,0,96.0,42,0,18740,41522,74.12,19997,12863,22.96,20381,672,1.2,20380,659,1.18,20382,307,0.55,58357,99,56023,129765,0,40
