captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.40113.first,candidates.40113.last,candidates.40113.incumbent,candidates.40113.party,candidates.40113.candidateID,candidates.40113.ballotOrder,candidates.40113.polID,candidates.40113.polNum,candidates.40113.electWon,candidates.41202.first,candidates.41202.last,candidates.41202.abbrv,candidates.41202.party,candidates.41202.candidateID,candidates.41202.ballotOrder,candidates.41202.polID,candidates.41202.polNum,candidates.41202.electWon,candidates.41413.first,candidates.41413.last,candidates.41413.party,candidates.41413.candidateID,candidates.41413.ballotOrder,candidates.41413.polID,candidates.41413.polNum,candidates.41413.electWon,candidates.40113.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,ND-20221108_Eday80,35,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,John,Hoeven,GOP,40113,1780,36262,True,True,True,315000,99,0,582365,True,20221108ND35541,2022-11-08,ND,40113,John,Hoeven,True,GOP,40113,2,1780,36262,0,Katrina,Christiansen,Chrstnsn,Dem,41202,1,70346,37067,0,Rick,Becker,Ind,41413,3,71780,36683,0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,ND-20221108_Eday80,35,General,G,Polls Closed/Waiting First Report,Too Early to Call,S,U.S. Senate,John,Hoeven,GOP,40113,1780,36262,True,True,True,315000,99,0,582365,True,20221108ND35541,2022-11-08,ND,40113,John,Hoeven,True,GOP,40113,2,1780,36262,0,Katrina,Christiansen,Chrstnsn,Dem,41202,1,70346,37067,0,Rick,Becker,Ind,41413,3,71780,36683,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,ND-20221108_Eday80,35,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,John,Hoeven,GOP,40113,1780,36262,True,True,True,315000,99,2259,582365,True,20221108ND35541,2022-11-08,ND,40113,John,Hoeven,True,GOP,40113,2,1780,36262,0,Katrina,Christiansen,Chrstnsn,Dem,41202,1,70346,37067,0,Rick,Becker,Ind,41413,3,71780,36683,0,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,ND-20221108_Eday80,35,General,G,Active Tabulation,Called,S,U.S. Senate,John,Hoeven,GOP,40113,1780,36262,True,True,True,315000,99,3036,582365,True,20221108ND35541,2022-11-08,ND,40113,John,Hoeven,True,GOP,40113,2,1780,36262,0,Katrina,Christiansen,Chrstnsn,Dem,41202,1,70346,37067,0,Rick,Becker,Ind,41413,3,71780,36683,0,2022-11-09T02:00:06.798Z
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,ND-20221108_Eday80,35,General,G,Active Tabulation,Called,S,U.S. Senate,John,Hoeven,GOP,40113,1780,36262,True,True,True,315000,99,6842,582365,True,20221108ND35541,2022-11-08,ND,40113,John,Hoeven,True,GOP,40113,2,1780,36262,0,Katrina,Christiansen,Chrstnsn,Dem,41202,1,70346,37067,0,Rick,Becker,Ind,41413,3,71780,36683,0,2022-11-09T02:00:06.798Z
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,ND-20221108_Eday80,35,General,G,Active Tabulation,Called,S,U.S. Senate,John,Hoeven,GOP,40113,1780,36262,True,True,True,315000,99,30592,582365,True,20221108ND35541,2022-11-08,ND,40113,John,Hoeven,True,GOP,40113,2,1780,36262,0,Katrina,Christiansen,Chrstnsn,Dem,41202,1,70346,37067,0,Rick,Becker,Ind,41413,3,71780,36683,0,2022-11-09T02:00:06.798Z
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,ND-20221108_Eday80,35,General,G,Active Tabulation,Called,S,U.S. Senate,John,Hoeven,GOP,40113,1780,36262,True,True,True,315000,99,39493,582365,True,20221108ND35541,2022-11-08,ND,40113,John,Hoeven,True,GOP,40113,2,1780,36262,0,Katrina,Christiansen,Chrstnsn,Dem,41202,1,70346,37067,0,Rick,Becker,Ind,41413,3,71780,36683,0,2022-11-09T02:00:06.798Z
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,ND-20221108_Eday80,35,General,G,Active Tabulation,Called,S,U.S. Senate,John,Hoeven,GOP,40113,1780,36262,True,True,True,315000,99,49195,582365,True,20221108ND35541,2022-11-08,ND,40113,John,Hoeven,True,GOP,40113,2,1780,36262,0,Katrina,Christiansen,Chrstnsn,Dem,41202,1,70346,37067,0,Rick,Becker,Ind,41413,3,71780,36683,0,2022-11-09T02:00:06.798Z
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,ND-20221108_Eday80,35,General,G,Active Tabulation,Called,S,U.S. Senate,John,Hoeven,GOP,40113,1780,36262,True,True,True,315000,99,88081,582365,True,20221108ND35541,2022-11-08,ND,40113,John,Hoeven,True,GOP,40113,2,1780,36262,0,Katrina,Christiansen,Chrstnsn,Dem,41202,1,70346,37067,0,Rick,Becker,Ind,41413,3,71780,36683,0,2022-11-09T02:00:06.798Z
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,ND-20221108_Eday80,35,General,G,Active Tabulation,Called,S,U.S. Senate,John,Hoeven,GOP,40113,1780,36262,True,True,True,315000,99,93128,582365,True,20221108ND35541,2022-11-08,ND,40113,John,Hoeven,True,GOP,40113,2,1780,36262,0,Katrina,Christiansen,Chrstnsn,Dem,41202,1,70346,37067,0,Rick,Becker,Ind,41413,3,71780,36683,0,2022-11-09T02:00:06.798Z
