captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.8346.first,candidates.8346.last,candidates.8346.incumbent,candidates.8346.party,candidates.8346.candidateID,candidates.8346.ballotOrder,candidates.8346.polID,candidates.8346.polNum,candidates.8346.electWon,candidates.10901.first,candidates.10901.last,candidates.10901.abbrv,candidates.10901.party,candidates.10901.candidateID,candidates.10901.ballotOrder,candidates.10901.polID,candidates.10901.polNum,candidates.10901.electWon,candidates.11181.first,candidates.11181.last,candidates.11181.party,candidates.11181.candidateID,candidates.11181.ballotOrder,candidates.11181.polID,candidates.11181.polNum,candidates.11181.electWon,candidates.8346.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MO-20221108_Eday80,26,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 8,8,439423,99,0,865492,True,20221108MO26035,2022-11-08,MO,8346,Jason,Smith,True,GOP,8346,2,62802,29413,0.0,Randi,McCallian,McCallin,Dem,10901,1,71359,31737,0.0,Jim,Higgins,Lib,11181,3,1338,30415,0.0,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,439423,99,0,865492,True,20221108MO26035,2022-11-08,MO,8346,Jason,Smith,True,GOP,8346,2,62802,29413,0.0,Randi,McCallian,McCallin,Dem,10901,1,71359,31737,0.0,Jim,Higgins,Lib,11181,3,1338,30415,0.0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,439423,99,4671,865492,True,20221108MO26035,2022-11-08,MO,8346,Jason,Smith,True,GOP,8346,2,62802,29413,0.0,Randi,McCallian,McCallin,Dem,10901,1,71359,31737,0.0,Jim,Higgins,Lib,11181,3,1338,30415,0.0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,439423,99,7915,865492,True,20221108MO26035,2022-11-08,MO,8346,Jason,Smith,True,GOP,8346,2,62802,29413,0.0,Randi,McCallian,McCallin,Dem,10901,1,71359,31737,0.0,Jim,Higgins,Lib,11181,3,1338,30415,0.0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,439423,99,8690,865492,True,20221108MO26035,2022-11-08,MO,8346,Jason,Smith,True,GOP,8346,2,62802,29413,0.0,Randi,McCallian,McCallin,Dem,10901,1,71359,31737,0.0,Jim,Higgins,Lib,11181,3,1338,30415,0.0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,439423,99,28917,865492,True,20221108MO26035,2022-11-08,MO,8346,Jason,Smith,True,GOP,8346,2,62802,29413,0.0,Randi,McCallian,McCallin,Dem,10901,1,71359,31737,0.0,Jim,Higgins,Lib,11181,3,1338,30415,0.0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,439423,99,57814,865492,True,20221108MO26035,2022-11-08,MO,8346,Jason,Smith,True,GOP,8346,2,62802,29413,0.0,Randi,McCallian,McCallin,Dem,10901,1,71359,31737,0.0,Jim,Higgins,Lib,11181,3,1338,30415,0.0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,439423,99,63622,865492,True,20221108MO26035,2022-11-08,MO,8346,Jason,Smith,True,GOP,8346,2,62802,29413,0.0,Randi,McCallian,McCallin,Dem,10901,1,71359,31737,0.0,Jim,Higgins,Lib,11181,3,1338,30415,0.0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,439423,99,71737,865492,True,20221108MO26035,2022-11-08,MO,8346,Jason,Smith,True,GOP,8346,2,62802,29413,0.0,Randi,McCallian,McCallin,Dem,10901,1,71359,31737,0.0,Jim,Higgins,Lib,11181,3,1338,30415,0.0,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,439423,99,102639,865492,True,20221108MO26035,2022-11-08,MO,8346,Jason,Smith,True,GOP,8346,2,62802,29413,0.0,Randi,McCallian,McCallin,Dem,10901,1,71359,31737,0.0,Jim,Higgins,Lib,11181,3,1338,30415,0.0,,
