captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.32594.first,candidates.32594.last,candidates.32594.incumbent,candidates.32594.party,candidates.32594.candidateID,candidates.32594.ballotOrder,candidates.32594.polID,candidates.32594.polNum,candidates.32594.electWon,candidates.35466.first,candidates.35466.last,candidates.35466.abbrv,candidates.35466.party,candidates.35466.candidateID,candidates.35466.ballotOrder,candidates.35466.polID,candidates.35466.polNum,candidates.35466.electWon,candidates.32594.winnerDateTime,isCertified
1667971785,2022-11-08 23:29:45 -0600,0263826aefa5e72057a0aaa213c232b6c0eefa0d,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,305723,95,135830,1049090,True,20221108MA24356,2022-11-08,MA,32594,Katherine,Clark,True,Dem,32594,1,63056,26777,0,Caroline,Colarusso,Colaruss,GOP,35466,2,69119,27347,0,2022-11-09T04:52:37.733Z,
1667975361,2022-11-09 00:29:21 -0600,d37d846c431e83eb6217de33215cf28365760117,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,305723,95,151000,1049090,True,20221108MA24356,2022-11-08,MA,32594,Katherine,Clark,True,Dem,32594,1,63056,26777,0,Caroline,Colarusso,Colaruss,GOP,35466,2,69119,27347,0,2022-11-09T04:52:37.733Z,
1667975402,2022-11-09 00:30:02 -0600,1cb740bfe02888499fbb239b5454758b24512913,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,305723,95,135830,1049090,True,20221108MA24356,2022-11-08,MA,32594,Katherine,Clark,True,Dem,32594,1,63056,26777,0,Caroline,Colarusso,Colaruss,GOP,35466,2,69119,27347,0,2022-11-09T04:52:37.733Z,
1667975443,2022-11-09 00:30:43 -0600,d3fce30549290fb6ab466f77998222999d6c79b9,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,305723,95,173579,1049090,True,20221108MA24356,2022-11-08,MA,32594,Katherine,Clark,True,Dem,32594,1,63056,26777,0,Caroline,Colarusso,Colaruss,GOP,35466,2,69119,27347,0,2022-11-09T04:52:37.733Z,
1667975484,2022-11-09 00:31:24 -0600,81d3631081e4e7b24b990567f86cc67079a95e6c,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,305723,95,151000,1049090,True,20221108MA24356,2022-11-08,MA,32594,Katherine,Clark,True,Dem,32594,1,63056,26777,0,Caroline,Colarusso,Colaruss,GOP,35466,2,69119,27347,0,2022-11-09T04:52:37.733Z,
1667975568,2022-11-09 00:32:48 -0600,0b16058e032a73c78e2e4b787403862608e151dd,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,305723,95,173579,1049090,True,20221108MA24356,2022-11-08,MA,32594,Katherine,Clark,True,Dem,32594,1,63056,26777,0,Caroline,Colarusso,Colaruss,GOP,35466,2,69119,27347,0,2022-11-09T04:52:37.733Z,
1667975609,2022-11-09 00:33:29 -0600,62fa28ab1db323241f81f05574f15005f7d100fe,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,305723,95,151000,1049090,True,20221108MA24356,2022-11-08,MA,32594,Katherine,Clark,True,Dem,32594,1,63056,26777,0,Caroline,Colarusso,Colaruss,GOP,35466,2,69119,27347,0,2022-11-09T04:52:37.733Z,
1667975773,2022-11-09 00:36:13 -0600,deab40fdc8485b2c990cf91d96e98447d46f3b20,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,305723,95,173579,1049090,True,20221108MA24356,2022-11-08,MA,32594,Katherine,Clark,True,Dem,32594,1,63056,26777,0,Caroline,Colarusso,Colaruss,GOP,35466,2,69119,27347,0,2022-11-09T04:52:37.733Z,
1667975855,2022-11-09 00:37:35 -0600,d40e181df232b9ad900add6b9f138db1906ff011,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,305723,95,151000,1049090,True,20221108MA24356,2022-11-08,MA,32594,Katherine,Clark,True,Dem,32594,1,63056,26777,0,Caroline,Colarusso,Colaruss,GOP,35466,2,69119,27347,0,2022-11-09T04:52:37.733Z,
1667976061,2022-11-09 00:41:01 -0600,2426095677e6aeddf8c3a2913a97b500b67dca61,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,305723,95,173579,1049090,True,20221108MA24356,2022-11-08,MA,32594,Katherine,Clark,True,Dem,32594,1,63056,26777,0,Caroline,Colarusso,Colaruss,GOP,35466,2,69119,27347,0,2022-11-09T04:52:37.733Z,
