captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.23308.first,candidates.23308.last,candidates.23308.abbrv,candidates.23308.party,candidates.23308.incumbent,candidates.23308.candidateID,candidates.23308.polID,candidates.23308.ballotOrder,candidates.23308.polNum,candidates.23308.electWon,candidates.23309.first,candidates.23309.last,candidates.23309.party,candidates.23309.candidateID,candidates.23309.polID,candidates.23309.ballotOrder,candidates.23309.polNum,candidates.23309.electWon,candidates.23308.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,FL-20221108_Eday62,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 25,25,273939,99,0,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,FL-20221108_Eday80,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 25,25,288701,99,0,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 25,25,239533,99,157190,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 25,25,239533,99,158386,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 25,25,239533,99,161722,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 25,25,239533,99,158386,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 25,25,251510,99,161722,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 25,25,251510,99,161722,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,2022-11-09T01:24:58.236Z
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 25,25,251510,99,161722,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 25,25,251510,99,174532,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,2022-11-09T01:24:58.236Z
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 25,25,251510,99,181988,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,2022-11-09T01:24:58.236Z
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 25,25,251510,99,218675,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,2022-11-09T01:24:58.236Z
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 25,25,251510,99,231878,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,2022-11-09T01:24:58.236Z
1667968931,2022-11-08 22:42:11 -0600,cca40a484cb23456c0df129e9bd1750068cb4880,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 25,25,251510,99,233499,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,2022-11-09T01:24:58.236Z
1667985683,2022-11-09 03:21:23 -0600,8d6490b73382f2ed58c3fbdb846897b79d79f217,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 25,25,238264,99,233499,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,2022-11-09T01:24:58.236Z
1668015147,2022-11-09 11:32:27 -0600,2d327c7ef6485dd4c12a543762dbd12b7a0525d8,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 25,25,245788,99,233499,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,2022-11-09T01:24:58.236Z
1668015990,2022-11-09 11:46:30 -0600,482d638c59682223180b47012c1bd7df8aea8c12,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 25,25,240721,99,233499,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,2022-11-09T01:24:58.236Z
1668032336,2022-11-09 16:18:56 -0600,38bab782bd4aac261c81c400d491a1c7c96f0cb8,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 25,25,240721,99,234205,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,2022-11-09T01:24:58.236Z
1668033221,2022-11-09 16:33:41 -0600,a45340b06d18439260c07f1f3edc5fc86e81af42,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 25,25,236571,99,234205,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,2022-11-09T01:24:58.236Z
1668438623,2022-11-14 09:10:23 -0600,09e4232a1c7729d136971bbe3f7b2e0068252630,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 25,25,236571,99,234205,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,2022-11-09T01:24:58.236Z
1668442768,2022-11-14 10:19:28 -0600,a47884e9c11934faa18ce4efebfd1bd6103afdf6,FL-20221108_Eday80,10,General,G,Tabulation Paused,Called,H,U.S. House,True,District 25,25,236571,99,234312,700554,True,20221108FL11129,2022-11-08,FL,23308,Debbie,Wasserman Schultz,WssrmS,Dem,True,23308,11357,2,11219,0,Carla,Spalding,GOP,23309,65667,1,14951,0,2022-11-09T01:24:58.236Z
