captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.20992.first,candidates.20992.last,candidates.20992.incumbent,candidates.20992.party,candidates.20992.candidateID,candidates.20992.ballotOrder,candidates.20992.polID,candidates.20992.polNum,candidates.20992.electWon,candidates.22533.first,candidates.22533.last,candidates.22533.abbrv,candidates.22533.party,candidates.22533.candidateID,candidates.22533.ballotOrder,candidates.22533.polID,candidates.22533.polNum,candidates.22533.electWon,candidates.22769.first,candidates.22769.last,candidates.22769.party,candidates.22769.candidateID,candidates.22769.ballotOrder,candidates.22769.polID,candidates.22769.polNum,candidates.22769.electWon,candidates.20992.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CT-20221108_Eday80,7,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,0,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,CT-20221108_Eday81,7,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,0,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,16533,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,13656,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,66996,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,78502,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,128308,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,166949,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,175353,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,194982,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,242568,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,255852,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,262401,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,280210,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,262401,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,284769,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,321883,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,370640,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,430163,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,442294,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,474297,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667968406,2022-11-08 22:33:26 -0600,9894c9990b429281fa1911dc561355d202f43cc4,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,491984,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667969160,2022-11-08 22:46:00 -0600,702f27aec8e9117aaf59a55a71ae69d9a7aed7a6,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,557028,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667970027,2022-11-08 23:00:27 -0600,0d3c5c12e1d5e510cd8a9d7ec7188e7376d3702a,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,558452,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667970071,2022-11-08 23:01:11 -0600,dbae837cbbaf1f3aaf9390e6aaa3521af778ad97,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,605798,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667970899,2022-11-08 23:14:59 -0600,ca5b649b3885623b3ef37439107a0fa8db2d1846,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,628649,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667971657,2022-11-08 23:27:37 -0600,d29b633bc901fb24234e16251a717d43d2b1d6c1,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,712215,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667972675,2022-11-08 23:44:35 -0600,abc190fd74975557bf2546720ebdf83a0ace1d57,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,761095,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667973338,2022-11-08 23:55:38 -0600,60e23f89b0832d690c2e9c2012f75df6b998f230,CT-20221108_Eday81,7,General,G,Active Tabulation,Too Early to Call,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,806155,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,,
1667974184,2022-11-09 00:09:44 -0600,5e29bdc6dd3e2b02c04e87a98f0009af6b85de6f,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,965993,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,2022-11-09T05:56:09.377Z,
1667974988,2022-11-09 00:23:08 -0600,5d6616b419546bd84ca0c06ee5a7a5389ea5fc67,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,1017117,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,2022-11-09T05:56:09.377Z,
1667975815,2022-11-09 00:36:55 -0600,bd9ec1a9bacd26e63399e24cdeba1aa1e9b2608a,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,1022831,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,2022-11-09T05:56:09.377Z,
1667975855,2022-11-09 00:37:35 -0600,d40e181df232b9ad900add6b9f138db1906ff011,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,1068865,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,2022-11-09T05:56:09.377Z,
1667978582,2022-11-09 01:23:02 -0600,6fbbff39de224458e6936cb861e2ada647e487bb,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,1107158,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,2022-11-09T05:56:09.377Z,
1667979433,2022-11-09 01:37:13 -0600,b7be8d17f50fbb84fade52b1ec374c1ebe32c0c9,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,1113960,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,2022-11-09T05:56:09.377Z,
1667979473,2022-11-09 01:37:53 -0600,5d943cd360aaf4835af0f146a5a7aa603bfdd4cb,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,1107158,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,2022-11-09T05:56:09.377Z,
1667979514,2022-11-09 01:38:34 -0600,3beafacc3bafd5d436073bbd9a0ee742070d2376,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,1113960,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,2022-11-09T05:56:09.377Z,
1667981242,2022-11-09 02:07:22 -0600,cf751ccf5a467e68d03bb00a59a524242998a7c9,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,1125720,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,2022-11-09T05:56:09.377Z,
1667982002,2022-11-09 02:20:02 -0600,55d43d6174b4d852acbda6bae98fc1f4f93cabfe,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,1152345,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,2022-11-09T05:56:09.377Z,
1667983635,2022-11-09 02:47:15 -0600,1cdb9a7b5c0dc8139636f660659c4c3e1664a857,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,1156281,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,2022-11-09T05:56:09.377Z,
1667983677,2022-11-09 02:47:57 -0600,9b7838a280f19cbb6fbc0c7b4c210c0b0c878b69,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,1152345,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,2022-11-09T05:56:09.377Z,
1667983719,2022-11-09 02:48:39 -0600,a8d889d3e1698c6a2e70070696b60b41396d5c92,CT-20221108_Eday81,7,General,G,Active Tabulation,Called,G,Governor,Ned,Lamont,Dem,20992,51911,14492,True,True,True,1500000,95,1156281,2250000,True,20221108CT7019,2022-11-08,CT,20992,Ned,Lamont,True,Dem,20992,1,51911,14492,0,Robert,Stefanowski,Stefnwsk,GOP,22533,2,67522,14717,0,Robert,Hotaling,IP,22769,4,71817,15094,0,2022-11-09T05:56:09.377Z,
