captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.0.winner,candidates.0.calledAt,candidates.1.colorIndex
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108NJ31230,live,0.0,NJ,New Jersey,31,1,2022-11-09T00:00:00.000Z,state,0,2022-11-07T03:18:47.699Z,0,601,0.0,39164,0,0.0,39980,0,0.0,40016,0,0.0,408178,99,0,1104821,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108NJ31230,live,0.0,NJ,New Jersey,31,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T19:53:37.324Z,0,601,0.0,39164,0,0.0,39980,0,0.0,40016,0,0.0,230744,99,0,1104821,0,0,,,,
1667946382,2022-11-08 22:26:22 +0000,73f2c650f342d3057cfca8879805e19e5c627823,20221108NJ31230,live,0.0,NJ,New Jersey,31,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T22:24:00.246Z,0,601,0.0,39164,0,0.0,39980,0,0.0,40016,0,0.0,230744,99,0,1104821,0,0,,,,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,20221108NJ31230,live,0.0,NJ,New Jersey,31,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T00:39:59.253Z,0,601,0.0,39164,0,0.0,39980,0,0.0,40016,0,0.0,230744,90,0,1104821,0,0,,,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,20221108NJ31230,live,0.0,NJ,New Jersey,31,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:02:33.514Z,0,601,0.0,39164,0,0.0,39980,0,0.0,40016,0,0.0,230744,90,0,1104821,0,0,,,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,20221108NJ31230,live,0.0,NJ,New Jersey,31,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:21:32.530Z,0,601,0.0,39164,0,0.0,39980,0,0.0,40016,0,0.0,230744,90,0,1104821,0,0,,,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,20221108NJ31230,live,15.61,NJ,New Jersey,31,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:27:34.073Z,0,601,0.0,39164,29114,80.81,39980,6728,18.67,40016,185,0.51,230744,90,36027,1104821,0,94,0.0,,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,20221108NJ31230,live,15.61,NJ,New Jersey,31,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:35:19.812Z,0,601,0.0,39164,29114,80.81,39980,6728,18.67,40016,185,0.51,230744,90,36027,1104821,0,94,0.0,,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,20221108NJ31230,live,31.75,NJ,New Jersey,31,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:33:32.608Z,0,601,0.0,39164,54935,74.99,39980,17925,24.47,40016,400,0.55,230744,90,73260,1104821,0,191,0.0,,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,20221108NJ31230,live,31.75,NJ,New Jersey,31,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:34:32.938Z,0,601,0.0,39164,54935,74.99,39980,17925,24.47,40016,400,0.55,230744,90,73260,1104821,0,191,0.0,,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,20221108NJ31230,live,31.75,NJ,New Jersey,31,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:42:23.372Z,0,601,0.0,39164,54935,74.99,39980,17925,24.47,40016,400,0.55,230744,90,73260,1104821,0,191,0.0,,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,20221108NJ31230,live,43.16,NJ,New Jersey,31,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T03:02:35.845Z,0,601,0.0,39164,67534,67.82,39980,31362,31.49,40016,689,0.69,230744,90,99585,1104821,0,259,0.0,,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,20221108NJ31230,live,45.19,NJ,New Jersey,31,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T03:16:36.325Z,0,601,0.0,39164,70038,67.17,39980,33498,32.13,40016,727,0.7,230744,90,104263,1104821,0,272,0.0,,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,20221108NJ31230,live,45.19,NJ,New Jersey,31,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T03:21:05.446Z,0,601,0.0,39164,70038,67.17,39980,33498,32.13,40016,727,0.7,230744,90,104263,1104821,0,272,0.0,,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,20221108NJ31230,live,54.94,NJ,New Jersey,31,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T03:34:32.979Z,0,601,0.0,39164,79306,62.56,39980,46538,36.71,40016,918,0.72,230744,90,126762,1104821,0,330,0.0,,,
