captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.83919.first,candidates.83919.last,candidates.83919.incumbent,candidates.83919.party,candidates.83919.candidateID,candidates.83919.ballotOrder,candidates.83919.polID,candidates.83919.polNum,candidates.83919.electWon,candidates.86748.first,candidates.86748.middle,candidates.86748.last,candidates.86748.party,candidates.86748.candidateID,candidates.86748.ballotOrder,candidates.86748.polID,candidates.86748.polNum,candidates.86748.electWon,candidates.83919.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NY-20221108_Eday62,33,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 15,15,185373,99,0,609924,True,20221108NY36595,2022-11-08,NY,83919,Ritchie,Torres,True,Dem,83919,1,69011,53000,0,Stylo,A.,Sapaskis,GOP,86748,2,65223,51339,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NY-20221108_Eday80,33,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 15,15,185373,99,0,612603,True,20221108NY36595,2022-11-08,NY,83919,Ritchie,Torres,True,Dem,83919,1,69011,53000,0,Stylo,A.,Sapaskis,GOP,86748,2,65223,51339,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,185373,99,21579,612603,True,20221108NY36595,2022-11-08,NY,83919,Ritchie,Torres,True,Dem,83919,1,69011,53000,0,Stylo,A.,Sapaskis,GOP,86748,2,65223,51339,0,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,185373,99,38580,612603,True,20221108NY36595,2022-11-08,NY,83919,Ritchie,Torres,True,Dem,83919,1,69011,53000,0,Stylo,A.,Sapaskis,GOP,86748,2,65223,51339,0,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,185373,99,44902,612603,True,20221108NY36595,2022-11-08,NY,83919,Ritchie,Torres,True,Dem,83919,1,69011,53000,0,Stylo,A.,Sapaskis,GOP,86748,2,65223,51339,0,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,185373,99,61123,612603,True,20221108NY36595,2022-11-08,NY,83919,Ritchie,Torres,True,Dem,83919,1,69011,53000,0,Stylo,A.,Sapaskis,GOP,86748,2,65223,51339,0,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,185373,99,74650,612603,True,20221108NY36595,2022-11-08,NY,83919,Ritchie,Torres,True,Dem,83919,1,69011,53000,0,Stylo,A.,Sapaskis,GOP,86748,2,65223,51339,0,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,185373,99,76108,612603,True,20221108NY36595,2022-11-08,NY,83919,Ritchie,Torres,True,Dem,83919,1,69011,53000,0,Stylo,A.,Sapaskis,GOP,86748,2,65223,51339,0,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,185373,99,78198,612603,True,20221108NY36595,2022-11-08,NY,83919,Ritchie,Torres,True,Dem,83919,1,69011,53000,0,Stylo,A.,Sapaskis,GOP,86748,2,65223,51339,0,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 15,15,185373,99,78198,612603,True,20221108NY36595,2022-11-08,NY,83919,Ritchie,Torres,True,Dem,83919,1,69011,53000,0,Stylo,A.,Sapaskis,GOP,86748,2,65223,51339,0,2022-11-09T03:24:22.229Z
