captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.19377.first,candidates.19377.last,candidates.19377.incumbent,candidates.19377.party,candidates.19377.candidateID,candidates.19377.ballotOrder,candidates.19377.polID,candidates.19377.polNum,candidates.19377.electWon,candidates.23167.first,candidates.23167.last,candidates.23167.party,candidates.23167.candidateID,candidates.23167.ballotOrder,candidates.23167.polID,candidates.23167.polNum,candidates.23167.electWon,candidates.23716.first,candidates.23716.last,candidates.23716.party,candidates.23716.candidateID,candidates.23716.ballotOrder,candidates.23716.polID,candidates.23716.polNum,candidates.23716.electWon,candidates.23717.first,candidates.23717.last,candidates.23717.party,candidates.23717.candidateID,candidates.23717.ballotOrder,candidates.23717.polID,candidates.23717.polNum,candidates.23717.electWon,candidates.23718.first,candidates.23718.last,candidates.23718.party,candidates.23718.candidateID,candidates.23718.ballotOrder,candidates.23718.polID,candidates.23718.polNum,candidates.23718.electWon,candidates.19377.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,FL-20221108_Eday80,10,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Marco,Rubio,GOP,19377,53044,12082,True,True,True,9139276,99,0,13708914,True,20221108FL11160,2022-11-08,FL,19377,Marco,Rubio,True,GOP,19377,5,53044,12082,0,Val,Demings,Dem,23167,1,62128,13926,0,Dennis,Misigoy,Lib,23716,3,71766,15974,0,Steven,Grant,NPA,23717,2,71767,15975,0,Tuan,Nguyen,NPA,23718,4,71777,15976,0,
1667953518,2022-11-09 00:25:18 +0000,c5fd4e03c2339afc5fd044a64f91f261b7e7cfa1,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Marco,Rubio,GOP,19377,53044,12082,True,True,True,9139276,99,2028356,13708914,True,20221108FL11160,2022-11-08,FL,19377,Marco,Rubio,True,GOP,19377,5,53044,12082,0,Val,Demings,Dem,23167,1,62128,13926,0,Dennis,Misigoy,Lib,23716,3,71766,15974,0,Steven,Grant,NPA,23717,2,71767,15975,0,Tuan,Nguyen,NPA,23718,4,71777,15976,0,
1667954328,2022-11-09 00:38:48 +0000,bfe97281aaab58d7c74edee2f505906bcc18daea,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Marco,Rubio,GOP,19377,53044,12082,True,True,True,8500000,99,4074442,11713963,True,20221108FL11160,2022-11-08,FL,19377,Marco,Rubio,True,GOP,19377,5,53044,12082,0,Val,Demings,Dem,23167,1,62128,13926,0,Dennis,Misigoy,Lib,23716,3,71766,15974,0,Steven,Grant,NPA,23717,2,71767,15975,0,Tuan,Nguyen,NPA,23718,4,71777,15976,0,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Marco,Rubio,GOP,19377,53044,12082,True,True,True,8500000,99,5426188,11713963,True,20221108FL11160,2022-11-08,FL,19377,Marco,Rubio,True,GOP,19377,5,53044,12082,0,Val,Demings,Dem,23167,1,62128,13926,0,Dennis,Misigoy,Lib,23716,3,71766,15974,0,Steven,Grant,NPA,23717,2,71767,15975,0,Tuan,Nguyen,NPA,23718,4,71777,15976,0,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Marco,Rubio,GOP,19377,53044,12082,True,True,True,8500000,99,5490548,11713963,True,20221108FL11160,2022-11-08,FL,19377,Marco,Rubio,True,GOP,19377,5,53044,12082,0,Val,Demings,Dem,23167,1,62128,13926,0,Dennis,Misigoy,Lib,23716,3,71766,15974,0,Steven,Grant,NPA,23717,2,71767,15975,0,Tuan,Nguyen,NPA,23718,4,71777,15976,0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Marco,Rubio,GOP,19377,53044,12082,True,True,True,8500000,99,5868336,11713963,True,20221108FL11160,2022-11-08,FL,19377,Marco,Rubio,True,GOP,19377,5,53044,12082,0,Val,Demings,Dem,23167,1,62128,13926,0,Dennis,Misigoy,Lib,23716,3,71766,15974,0,Steven,Grant,NPA,23717,2,71767,15975,0,Tuan,Nguyen,NPA,23718,4,71777,15976,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Marco,Rubio,GOP,19377,53044,12082,True,True,True,8500000,99,6204993,11713963,True,20221108FL11160,2022-11-08,FL,19377,Marco,Rubio,True,GOP,19377,5,53044,12082,0,Val,Demings,Dem,23167,1,62128,13926,0,Dennis,Misigoy,Lib,23716,3,71766,15974,0,Steven,Grant,NPA,23717,2,71767,15975,0,Tuan,Nguyen,NPA,23718,4,71777,15976,0,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Marco,Rubio,GOP,19377,53044,12082,True,True,True,8500000,99,6353694,11713963,True,20221108FL11160,2022-11-08,FL,19377,Marco,Rubio,True,GOP,19377,5,53044,12082,0,Val,Demings,Dem,23167,1,62128,13926,0,Dennis,Misigoy,Lib,23716,3,71766,15974,0,Steven,Grant,NPA,23717,2,71767,15975,0,Tuan,Nguyen,NPA,23718,4,71777,15976,0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Marco,Rubio,GOP,19377,53044,12082,True,True,True,8500000,99,6435413,11713963,True,20221108FL11160,2022-11-08,FL,19377,Marco,Rubio,True,GOP,19377,5,53044,12082,0,Val,Demings,Dem,23167,1,62128,13926,0,Dennis,Misigoy,Lib,23716,3,71766,15974,0,Steven,Grant,NPA,23717,2,71767,15975,0,Tuan,Nguyen,NPA,23718,4,71777,15976,0,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,S,U.S. Senate,Marco,Rubio,GOP,19377,53044,12082,True,True,True,8500000,99,6593304,11713963,True,20221108FL11160,2022-11-08,FL,19377,Marco,Rubio,True,GOP,19377,5,53044,12082,0,Val,Demings,Dem,23167,1,62128,13926,0,Dennis,Misigoy,Lib,23716,3,71766,15974,0,Steven,Grant,NPA,23717,2,71767,15975,0,Tuan,Nguyen,NPA,23718,4,71777,15976,0,2022-11-09T01:17:48.606Z
