captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,candidates.4.candidateID,candidates.4.voteCount,candidates.4.votePct,candidates.5.candidateID,candidates.5.voteCount,candidates.5.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108NV30323,live,0.0,NV,Nevada,29,1,2022-11-09T03:00:00.000Z,state,0,2022-11-07T21:16:53.279Z,0,1690,0.0,37917,0,0.0,36172,0,0.0,37634,0,0.0,37881,0,0.0,37880,0,0.0,37882,0,0.0,1350000,99,0,2149087,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108NV30323,live,0.0,NV,Nevada,29,1,2022-11-09T03:00:00.000Z,state,0,2022-11-08T20:33:13.573Z,0,1690,0.0,37917,0,0.0,36172,0,0.0,37634,0,0.0,37881,0,0.0,37880,0,0.0,37882,0,0.0,1350000,99,0,2183075,0,0,,,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,20221108NV30323,live,0.0,NV,Nevada,29,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T03:30:14.838Z,0,1690,0.0,37917,0,0.0,36172,0,0.0,37634,0,0.0,37881,0,0.0,37880,0,0.0,37882,0,0.0,1350000,99,0,2183075,0,0,,,,
1667972541,2022-11-08 23:42:21 -0600,d38f954f3e6be3d250d58a04e08655875ea7700c,20221108NV30323,live,0.14,NV,Nevada,29,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T05:41:07.143Z,0,1690,0.0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,1350000,99,1873,2183075,0,2,0.0,,,
1667973248,2022-11-08 23:54:08 -0600,fb954f3a0e354e923f1bd778e51927737d2c1332,20221108NV30323,live,0.14,NV,Nevada,29,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T05:52:45.759Z,0,1690,0.0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,1350000,99,1873,2183075,0,2,0.0,,,
1667973338,2022-11-08 23:55:38 -0600,60e23f89b0832d690c2e9c2012f75df6b998f230,20221108NV30323,live,33.55,NV,Nevada,29,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T05:54:28.763Z,0,1690,0.0,36172,248889,54.96,37634,191643,42.32,37917,5129,1.13,37880,2948,0.65,37882,2301,0.51,37881,1976,0.44,1350000,99,452886,2183075,0,567,1.0,0.0,,
1667973555,2022-11-08 23:59:15 -0600,574ef20eb007a0ff55ecd54e4003b61f517e06b5,20221108NV30323,live,33.55,NV,Nevada,29,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T05:58:32.031Z,0,1690,0.0,36172,248889,54.96,37634,191643,42.32,37917,5129,1.13,37880,2948,0.65,37882,2301,0.51,37881,1976,0.44,1350000,99,452886,2183075,0,567,1.0,0.0,,
1667973648,2022-11-09 00:00:48 -0600,56d1333c268e0ca83267f304bc7ebda9b0c770b6,20221108NV30323,live,34.28,NV,Nevada,29,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T06:00:09.401Z,0,1690,0.0,36172,251227,54.29,37634,198764,42.95,37917,5286,1.14,37880,3064,0.66,37882,2393,0.52,37881,2040,0.44,1350000,99,462774,2183075,0,579,1.0,0.0,,
1667973737,2022-11-09 00:02:17 -0600,f7940d04f83247dd0cbf585d2d4f25b8c66e477d,20221108NV30323,live,34.52,NV,Nevada,29,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T06:01:10.886Z,0,1690,0.0,36172,252010,54.07,37634,201179,43.16,37917,5318,1.14,37880,3096,0.66,37882,2420,0.52,37881,2060,0.44,1350000,99,466083,2183075,0,583,1.0,0.0,,
1667973835,2022-11-09 00:03:55 -0600,b3bdd8a625be8657c0e5a46d72158acdcfd366d2,20221108NV30323,live,34.52,NV,Nevada,29,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T06:02:46.122Z,0,1690,0.0,36172,252010,54.07,37634,201179,43.16,37917,5318,1.14,37880,3096,0.66,37882,2420,0.52,37881,2060,0.44,1350000,99,466083,2183075,0,583,1.0,0.0,,
