captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.36172.first,candidates.36172.last,candidates.36172.abbrv,candidates.36172.incumbent,candidates.36172.party,candidates.36172.candidateID,candidates.36172.ballotOrder,candidates.36172.polID,candidates.36172.polNum,candidates.36172.electWon,candidates.37634.first,candidates.37634.last,candidates.37634.party,candidates.37634.candidateID,candidates.37634.ballotOrder,candidates.37634.polID,candidates.37634.polNum,candidates.37634.electWon,candidates.37880.first,candidates.37880.last,candidates.37880.abbrv,candidates.37880.party,candidates.37880.candidateID,candidates.37880.ballotOrder,candidates.37880.polID,candidates.37880.polNum,candidates.37880.electWon,candidates.37881.first,candidates.37881.last,candidates.37881.party,candidates.37881.candidateID,candidates.37881.ballotOrder,candidates.37881.polID,candidates.37881.polNum,candidates.37881.electWon,candidates.37882.first,candidates.37882.last,candidates.37882.party,candidates.37882.candidateID,candidates.37882.ballotOrder,candidates.37882.polID,candidates.37882.polNum,candidates.37882.electWon,candidates.37917.last,candidates.37917.abbrv,candidates.37917.party,candidates.37917.candidateID,candidates.37917.ballotOrder,candidates.37917.polID,candidates.37917.polNum,candidates.37917.electWon,candidates.36172.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NV-20221108_Eday80,29,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Catherine,Cortez Masto,CortzMst,Dem,36172,65148,31920,True,True,True,1350000,99,0,2149087,True,20221108NV30323,2022-11-08,NV,36172,Catherine,Cortez Masto,CortzMst,True,Dem,36172,1,65148,31920,0,Adam,Laxalt,GOP,37634,2,66788,32406,0,Barry,Lindemann,Lindemnn,NPP,37880,3,71707,33305,0,Barry,Rubinson,IAP,37881,4,69502,33128,0,Neil,Scott,Lib,37882,5,497,33306,0,None of these candidates,None,NPD,37917,6,100013,31807,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NV-20221108_Eday80,29,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Catherine,Cortez Masto,CortzMst,Dem,36172,65148,31920,True,True,True,1350000,99,0,2183075,True,20221108NV30323,2022-11-08,NV,36172,Catherine,Cortez Masto,CortzMst,True,Dem,36172,1,65148,31920,0,Adam,Laxalt,GOP,37634,2,66788,32406,0,Barry,Lindemann,Lindemnn,NPP,37880,3,71707,33305,0,Barry,Rubinson,IAP,37881,4,69502,33128,0,Neil,Scott,Lib,37882,5,497,33306,0,None of these candidates,None,NPD,37917,6,100013,31807,0,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,NV-20221108_Eday80,29,General,G,Polls Closed/Waiting First Report,Too Early to Call,S,U.S. Senate,Catherine,Cortez Masto,CortzMst,Dem,36172,65148,31920,True,True,True,1350000,99,0,2183075,True,20221108NV30323,2022-11-08,NV,36172,Catherine,Cortez Masto,CortzMst,True,Dem,36172,1,65148,31920,0,Adam,Laxalt,GOP,37634,2,66788,32406,0,Barry,Lindemann,Lindemnn,NPP,37880,3,71707,33305,0,Barry,Rubinson,IAP,37881,4,69502,33128,0,Neil,Scott,Lib,37882,5,497,33306,0,None of these candidates,None,NPD,37917,6,100013,31807,0,,
1667972585,2022-11-08 23:43:05 -0600,801d3f687be77bd20982c8b22a575eda658a7594,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Catherine,Cortez Masto,CortzMst,Dem,36172,65148,31920,True,True,True,1350000,99,1873,2183075,True,20221108NV30323,2022-11-08,NV,36172,Catherine,Cortez Masto,CortzMst,True,Dem,36172,1,65148,31920,0,Adam,Laxalt,GOP,37634,2,66788,32406,0,Barry,Lindemann,Lindemnn,NPP,37880,3,71707,33305,0,Barry,Rubinson,IAP,37881,4,69502,33128,0,Neil,Scott,Lib,37882,5,497,33306,0,None of these candidates,None,NPD,37917,6,100013,31807,0,,
1667973466,2022-11-08 23:57:46 -0600,99efdc0f1ed1d3ebdb4c01c2b3affc8219305bc0,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Catherine,Cortez Masto,CortzMst,Dem,36172,65148,31920,True,True,True,1350000,99,452886,2183075,True,20221108NV30323,2022-11-08,NV,36172,Catherine,Cortez Masto,CortzMst,True,Dem,36172,1,65148,31920,0,Adam,Laxalt,GOP,37634,2,66788,32406,0,Barry,Lindemann,Lindemnn,NPP,37880,3,71707,33305,0,Barry,Rubinson,IAP,37881,4,69502,33128,0,Neil,Scott,Lib,37882,5,497,33306,0,None of these candidates,None,NPD,37917,6,100013,31807,0,,
1667974313,2022-11-09 00:11:53 -0600,6b3b0bacc6c41a15c188eab11ce932a1d154d208,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Catherine,Cortez Masto,CortzMst,Dem,36172,65148,31920,True,True,True,1350000,99,466083,2183075,True,20221108NV30323,2022-11-08,NV,36172,Catherine,Cortez Masto,CortzMst,True,Dem,36172,1,65148,31920,0,Adam,Laxalt,GOP,37634,2,66788,32406,0,Barry,Lindemann,Lindemnn,NPP,37880,3,71707,33305,0,Barry,Rubinson,IAP,37881,4,69502,33128,0,Neil,Scott,Lib,37882,5,497,33306,0,None of these candidates,None,NPD,37917,6,100013,31807,0,,
1667977773,2022-11-09 01:09:33 -0600,798d28b4eeb4b335f9aa0c20253161b09a91f6b0,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Catherine,Cortez Masto,CortzMst,Dem,36172,65148,31920,True,True,True,1350000,99,540234,2183075,True,20221108NV30323,2022-11-08,NV,36172,Catherine,Cortez Masto,CortzMst,True,Dem,36172,1,65148,31920,0,Adam,Laxalt,GOP,37634,2,66788,32406,0,Barry,Lindemann,Lindemnn,NPP,37880,3,71707,33305,0,Barry,Rubinson,IAP,37881,4,69502,33128,0,Neil,Scott,Lib,37882,5,497,33306,0,None of these candidates,None,NPD,37917,6,100013,31807,0,,
1667978624,2022-11-09 01:23:44 -0600,97e704602754dedf1a218b99d26e3136f940ebe6,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Catherine,Cortez Masto,CortzMst,Dem,36172,65148,31920,True,True,True,1350000,99,631784,2183075,True,20221108NV30323,2022-11-08,NV,36172,Catherine,Cortez Masto,CortzMst,True,Dem,36172,1,65148,31920,0,Adam,Laxalt,GOP,37634,2,66788,32406,0,Barry,Lindemann,Lindemnn,NPP,37880,3,71707,33305,0,Barry,Rubinson,IAP,37881,4,69502,33128,0,Neil,Scott,Lib,37882,5,497,33306,0,None of these candidates,None,NPD,37917,6,100013,31807,0,,
1667978664,2022-11-09 01:24:24 -0600,73bce36c5ea8401647e246b61818fdde84855229,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Catherine,Cortez Masto,CortzMst,Dem,36172,65148,31920,True,True,True,1350000,99,540234,2183075,True,20221108NV30323,2022-11-08,NV,36172,Catherine,Cortez Masto,CortzMst,True,Dem,36172,1,65148,31920,0,Adam,Laxalt,GOP,37634,2,66788,32406,0,Barry,Lindemann,Lindemnn,NPP,37880,3,71707,33305,0,Barry,Rubinson,IAP,37881,4,69502,33128,0,Neil,Scott,Lib,37882,5,497,33306,0,None of these candidates,None,NPD,37917,6,100013,31807,0,,
1667978704,2022-11-09 01:25:04 -0600,063886ef628b03936d6bad5059dd21f00c0a4b43,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Catherine,Cortez Masto,CortzMst,Dem,36172,65148,31920,True,True,True,1350000,99,631784,2183075,True,20221108NV30323,2022-11-08,NV,36172,Catherine,Cortez Masto,CortzMst,True,Dem,36172,1,65148,31920,0,Adam,Laxalt,GOP,37634,2,66788,32406,0,Barry,Lindemann,Lindemnn,NPP,37880,3,71707,33305,0,Barry,Rubinson,IAP,37881,4,69502,33128,0,Neil,Scott,Lib,37882,5,497,33306,0,None of these candidates,None,NPD,37917,6,100013,31807,0,,
