captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,electTotal,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,candidates.4.candidateID,candidates.4.voteCount,candidates.4.votePct,candidates.5.candidateID,candidates.5.voteCount,candidates.5.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-07T21:16:53.301Z,0,0.0,12,0,37917,0,0.0,36172,0,0.0,37634,0,0.0,37881,0,0.0,37880,0,0.0,37882,0,0.0,2568,99,0,3485,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-08T20:31:19.930Z,0,0.0,12,0,37917,0,0.0,36172,0,0.0,37634,0,0.0,37881,0,0.0,37880,0,0.0,37882,0,0.0,2800,99,0,3485,0,0
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-09T03:30:13.376Z,0,0.0,12,0,37917,0,0.0,36172,0,0.0,37634,0,0.0,37881,0,0.0,37880,0,0.0,37882,0,0.0,2800,98,0,3485,0,0
1667972541,2022-11-08 23:42:21 -0600,d38f954f3e6be3d250d58a04e08655875ea7700c,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-09T05:41:07.142Z,0,66.89,12,0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,2800,98,1873,3485,0,8
1667973248,2022-11-08 23:54:08 -0600,fb954f3a0e354e923f1bd778e51927737d2c1332,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-09T05:41:07.142Z,0,66.89,12,0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,2800,98,1873,3485,0,8
1667973338,2022-11-08 23:55:38 -0600,60e23f89b0832d690c2e9c2012f75df6b998f230,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-09T05:41:07.142Z,0,66.89,12,0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,2800,98,1873,3485,0,8
1667973555,2022-11-08 23:59:15 -0600,574ef20eb007a0ff55ecd54e4003b61f517e06b5,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-09T05:41:07.142Z,0,66.89,12,0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,2800,98,1873,3485,0,8
1667973648,2022-11-09 00:00:48 -0600,56d1333c268e0ca83267f304bc7ebda9b0c770b6,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-09T05:41:07.142Z,0,66.89,12,0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,2800,98,1873,3485,0,8
1667973737,2022-11-09 00:02:17 -0600,f7940d04f83247dd0cbf585d2d4f25b8c66e477d,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-09T05:41:07.142Z,0,66.89,12,0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,2800,98,1873,3485,0,8
1667973835,2022-11-09 00:03:55 -0600,b3bdd8a625be8657c0e5a46d72158acdcfd366d2,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-09T06:01:23.317Z,0,68.01,12,0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,2754,98,1873,3485,0,8
1667974762,2022-11-09 00:19:22 -0600,eae9f5b1ba131d7652f49e9c3001c7a015f755b1,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-09T06:01:23.317Z,0,68.01,12,0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,2754,98,1873,3485,0,8
1667977447,2022-11-09 01:04:07 -0600,85b5a3bb4e8662c6fa8f3bf8244be3cdf20864e6,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-09T06:01:23.317Z,0,68.01,12,0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,2754,98,1873,3485,0,8
1667977490,2022-11-09 01:04:50 -0600,73af89bd198396be18bf17786481f7c1aff2cd2b,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-09T06:01:23.317Z,0,68.01,12,0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,2754,98,1873,3485,0,8
1667977529,2022-11-09 01:05:29 -0600,41a86a702268ec57df877a606f8777dfeb75024d,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-09T06:01:23.317Z,0,68.01,12,0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,2754,98,1873,3485,0,8
1667977610,2022-11-09 01:06:50 -0600,25c1857d0bb05ceb15bf5f1f5d1e6e8a9c199446,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-09T06:01:23.317Z,0,68.01,12,0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,2754,98,1873,3485,0,8
1667977690,2022-11-09 01:08:10 -0600,c2d57f962724e5d811f2a0173268728cbb4962f4,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-09T06:01:23.317Z,0,68.01,12,0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,2754,98,1873,3485,0,8
1667977730,2022-11-09 01:08:50 -0600,eb7c135f53880b948a2c1d8d800428a5719cefdc,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-09T06:01:23.317Z,0,68.01,12,0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,2754,98,1873,3485,0,8
1667977812,2022-11-09 01:10:12 -0600,f6003f8f022049fc0501c9f6d634893d3cdbfc16,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-09T06:01:23.317Z,0,68.01,12,0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,2754,98,1873,3485,0,8
1667977854,2022-11-09 01:10:54 -0600,48bc116d28d8730921e71b24209c1971684df670,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-09T06:01:23.317Z,0,68.01,12,0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,2754,98,1873,3485,0,8
1667977935,2022-11-09 01:12:15 -0600,feb40c975705809cd00ffdf92140d1a7aba09790,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-09T06:01:23.317Z,0,68.01,12,0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,2754,98,1873,3485,0,8
1667978461,2022-11-09 01:21:01 -0600,f1eaab2ad1bc5db55713124b104cf813b6eb5754,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-09T06:01:23.317Z,0,68.01,12,0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,2754,98,1873,3485,0,8
1667978704,2022-11-09 01:25:04 -0600,063886ef628b03936d6bad5059dd21f00c0a4b43,NV,32021,2,2022-11-09T03:00:00.000Z,FIPSCode,32021,0,2022-11-09T06:01:23.317Z,0,68.01,12,0,37634,1117,59.64,36172,646,34.49,37917,59,3.15,37880,18,0.96,37882,17,0.91,37881,16,0.85,2754,98,1873,3485,0,8
