captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.23056.first,candidates.23056.last,candidates.23056.party,candidates.23056.candidateID,candidates.23056.polID,candidates.23056.ballotOrder,candidates.23056.polNum,candidates.23056.electWon,candidates.23059.first,candidates.23059.last,candidates.23059.party,candidates.23059.incumbent,candidates.23059.candidateID,candidates.23059.polID,candidates.23059.ballotOrder,candidates.23059.polNum,candidates.23059.electWon,candidates.23059.winnerDateTime
1668132946,2022-11-10 20:15:46 -0600,f6f6c73050cef4d4bca0e150fdd5060571b5a016,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,242325,95,114539,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1668133799,2022-11-10 20:29:59 -0600,ba924871a2ab8daf40073fb7ba719d40d14d95ed,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,242325,99,114539,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1668134529,2022-11-10 20:42:09 -0600,e4271092c5df1c6526b65daaf58f0e5789a72d24,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,242325,99,118545,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1668134571,2022-11-10 20:42:51 -0600,12a4afe7c2dc2e1b9166d66362a49e5a9aa39615,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,242325,99,114539,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1668134615,2022-11-10 20:43:35 -0600,1c2b9dbdfa5b086718141d976424ffdb74cf06ca,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,242325,99,118545,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1668135638,2022-11-10 21:00:38 -0600,dff723e2caed682e865ca97f84243ded910fd281,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,223670,99,118545,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1668217799,2022-11-11 19:49:59 -0600,b6a6da908fdd92a08c6fa0c492d09b1ece78a4c8,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,223670,99,128612,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1668221330,2022-11-11 20:48:50 -0600,888bbf0abfe1dd12e3520c4aaec67c2fce88e0f2,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,217986,99,128612,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1668221371,2022-11-11 20:49:31 -0600,f8813a2c6c164c0ff0df19c8c5a49880f8b1a1f2,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,223670,99,128612,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1668221412,2022-11-11 20:50:12 -0600,2b189e93ffbd42e0377a917b585859d034f224cb,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,217986,99,128612,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
