captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.10826.first,candidates.10826.last,candidates.10826.abbrv,candidates.10826.party,candidates.10826.candidateID,candidates.10826.ballotOrder,candidates.10826.polID,candidates.10826.polNum,candidates.10826.electWon,candidates.10829.first,candidates.10829.last,candidates.10829.party,candidates.10829.candidateID,candidates.10829.ballotOrder,candidates.10829.polID,candidates.10829.polNum,candidates.10829.electWon,candidates.11173.first,candidates.11173.last,candidates.11173.party,candidates.11173.candidateID,candidates.11173.ballotOrder,candidates.11173.polID,candidates.11173.polNum,candidates.11173.electWon,candidates.11174.first,candidates.11174.last,candidates.11174.party,candidates.11174.candidateID,candidates.11174.ballotOrder,candidates.11174.polID,candidates.11174.polNum,candidates.11174.electWon,candidates.10829.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MO-20221108_Eday80,26,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2606490,99,0,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,MO-20221108_Eday80,26,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,0,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,14194,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,16220,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,18112,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,16220,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,18112,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,47299,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,132932,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Roy,Blunt,Blunt,GOP,7986,1343,27408,True,True,True,2650000,99,130287,4224608,True,20221108MO27023,2022-11-08,MO,Trudy,Busch Valentine,BschVln,Dem,10826,1,71300,31691,0.0,Eric,Schmitt,GOP,10829,2,71321,30419,0.0,Paul,Venable,CST,11173,4,71741,31678,0.0,Jonathan,Dine,Lib,11174,3,61086,30176,0.0,,
