captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.32612.first,candidates.32612.last,candidates.32612.abbrv,candidates.32612.incumbent,candidates.32612.party,candidates.32612.candidateID,candidates.32612.ballotOrder,candidates.32612.polID,candidates.32612.polNum,candidates.32612.electWon,candidates.35464.first,candidates.35464.last,candidates.35464.abbrv,candidates.35464.party,candidates.35464.candidateID,candidates.35464.ballotOrder,candidates.35464.polID,candidates.35464.polNum,candidates.35464.electWon,candidates.32612.winnerDateTime,isCertified
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,MA-20221108_Eday80,22,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,319625,95,67654,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,MA-20221108_Eday80,22,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,319625,95,84160,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,MA-20221108_Eday80,22,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,297744,95,86048,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,MA-20221108_Eday80,22,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,297744,95,102705,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,MA-20221108_Eday80,22,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,297744,95,114652,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,MA-20221108_Eday80,22,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,297744,95,120397,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,,
1667968182,2022-11-08 22:29:42 -0600,8e189a9f8e65ddc0a78641bf1d30b4fa1f53a113,MA-20221108_Eday80,22,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,297744,95,145744,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,,
1667969018,2022-11-08 22:43:38 -0600,465844bb53a3330849af3b4eca4fced2045c6920,MA-20221108_Eday80,22,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,288232,95,174027,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,,
1667969897,2022-11-08 22:58:17 -0600,4cc79ac7abd56ff5901adb554fdccc45c88f1310,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,288232,95,189437,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
1667970637,2022-11-08 23:10:37 -0600,879713b6aae904f8cc55b1a8c3ce99346dd39ab3,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,287445,95,195576,997129,True,20221108MA22948,2022-11-08,MA,32612,James,McGovern,McGovrn,True,Dem,32612,1,883,23734,0,Jeffrey,Sossa-Paquette,Sss-Pqtt,GOP,35464,2,71282,28190,0,2022-11-09T04:47:27.297Z,
