captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.62890.first,candidates.62890.last,candidates.62890.party,candidates.62890.candidateID,candidates.62890.polID,candidates.62890.ballotOrder,candidates.62890.polNum,candidates.62890.electWon,candidates.62970.first,candidates.62970.last,candidates.62970.party,candidates.62970.candidateID,candidates.62970.polID,candidates.62970.ballotOrder,candidates.62970.polNum,candidates.62970.electWon,candidates.63494.first,candidates.63494.last,candidates.63494.party,candidates.63494.candidateID,candidates.63494.polID,candidates.63494.ballotOrder,candidates.63494.polNum,candidates.63494.electWon,candidates.63495.first,candidates.63495.last,candidates.63495.party,candidates.63495.candidateID,candidates.63495.polID,candidates.63495.ballotOrder,candidates.63495.polNum,candidates.63495.electWon,candidates.62970.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TX-20221108_Eday62,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,South Dallas & subs,True,District 30,30,259923,99,0,1053777,True,20221108TX45900,2022-11-08,TX,James,Rodgers,GOP,62890,69891,4,52989,0,Jasmine,Crockett,Dem,62970,69885,1,52801,0,Phil,Gray,Lib,63494,65546,2,51854,0,Zachariah,Manning,Ind,63495,71751,3,53407,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,South Dallas & subs,True,District 30,30,233872,99,0,1053777,True,20221108TX45900,2022-11-08,TX,James,Rodgers,GOP,62890,69891,4,52989,0,Jasmine,Crockett,Dem,62970,69885,1,52801,0,Phil,Gray,Lib,63494,65546,2,51854,0,Zachariah,Manning,Ind,63495,71751,3,53407,0,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,South Dallas & subs,True,District 30,30,233872,99,0,1053777,True,20221108TX45900,2022-11-08,TX,James,Rodgers,GOP,62890,69891,4,52989,0,Jasmine,Crockett,Dem,62970,69885,1,52801,0,Phil,Gray,Lib,63494,65546,2,51854,0,Zachariah,Manning,Ind,63495,71751,3,53407,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,South Dallas & subs,True,District 30,30,233872,99,117569,1053777,True,20221108TX45900,2022-11-08,TX,James,Rodgers,GOP,62890,69891,4,52989,0,Jasmine,Crockett,Dem,62970,69885,1,52801,0,Phil,Gray,Lib,63494,65546,2,51854,0,Zachariah,Manning,Ind,63495,71751,3,53407,0,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,South Dallas & subs,True,District 30,30,233872,99,117569,1053777,True,20221108TX45900,2022-11-08,TX,James,Rodgers,GOP,62890,69891,4,52989,0,Jasmine,Crockett,Dem,62970,69885,1,52801,0,Phil,Gray,Lib,63494,65546,2,51854,0,Zachariah,Manning,Ind,63495,71751,3,53407,0,2022-11-09T01:18:32.782Z
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,South Dallas & subs,True,District 30,30,233872,99,117623,1053777,True,20221108TX45900,2022-11-08,TX,James,Rodgers,GOP,62890,69891,4,52989,0,Jasmine,Crockett,Dem,62970,69885,1,52801,0,Phil,Gray,Lib,63494,65546,2,51854,0,Zachariah,Manning,Ind,63495,71751,3,53407,0,2022-11-09T01:18:32.782Z
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,South Dallas & subs,True,District 30,30,233872,99,120203,1053777,True,20221108TX45900,2022-11-08,TX,James,Rodgers,GOP,62890,69891,4,52989,0,Jasmine,Crockett,Dem,62970,69885,1,52801,0,Phil,Gray,Lib,63494,65546,2,51854,0,Zachariah,Manning,Ind,63495,71751,3,53407,0,2022-11-09T01:18:32.782Z
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,South Dallas & subs,True,District 30,30,233872,99,120954,1053777,True,20221108TX45900,2022-11-08,TX,James,Rodgers,GOP,62890,69891,4,52989,0,Jasmine,Crockett,Dem,62970,69885,1,52801,0,Phil,Gray,Lib,63494,65546,2,51854,0,Zachariah,Manning,Ind,63495,71751,3,53407,0,2022-11-09T01:18:32.782Z
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,South Dallas & subs,True,District 30,30,233872,99,122656,1053777,True,20221108TX45900,2022-11-08,TX,James,Rodgers,GOP,62890,69891,4,52989,0,Jasmine,Crockett,Dem,62970,69885,1,52801,0,Phil,Gray,Lib,63494,65546,2,51854,0,Zachariah,Manning,Ind,63495,71751,3,53407,0,2022-11-09T01:18:32.782Z
1667970548,2022-11-08 23:09:08 -0600,a039c3e3daf59c6709863984d030931ce2f47b8a,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,South Dallas & subs,True,District 30,30,233872,99,135816,1053777,True,20221108TX45900,2022-11-08,TX,James,Rodgers,GOP,62890,69891,4,52989,0,Jasmine,Crockett,Dem,62970,69885,1,52801,0,Phil,Gray,Lib,63494,65546,2,51854,0,Zachariah,Manning,Ind,63495,71751,3,53407,0,2022-11-09T01:18:32.782Z
