captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.86377.first,candidates.86377.last,candidates.86377.incumbent,candidates.86377.party,candidates.86377.candidateID,candidates.86377.ballotOrder,candidates.86377.polID,candidates.86377.polNum,candidates.86377.electWon,candidates.86379.first,candidates.86379.last,candidates.86379.party,candidates.86379.candidateID,candidates.86379.ballotOrder,candidates.86379.polID,candidates.86379.polNum,candidates.86379.electWon,candidates.86379.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NY-20221108_Eday62,33,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 17,17,286988,99,0,1137409,True,20221108NY36597,2022-11-08,NY,86377,Sean Patrick,Maloney,True,Dem,86377,1,62318,51174,0,Michael,Lawler,GOP,86379,2,71449,54941,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NY-20221108_Eday80,33,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 17,17,286988,99,0,1142293,True,20221108NY36597,2022-11-08,NY,86377,Sean Patrick,Maloney,True,Dem,86377,1,62318,51174,0,Michael,Lawler,GOP,86379,2,71449,54941,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 17,17,286988,99,4183,1142293,True,20221108NY36597,2022-11-08,NY,86377,Sean Patrick,Maloney,True,Dem,86377,1,62318,51174,0,Michael,Lawler,GOP,86379,2,71449,54941,0,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,NY-20221108_Eday80,33,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 17,17,286988,99,0,1142293,True,20221108NY36597,2022-11-08,NY,86377,Sean Patrick,Maloney,True,Dem,86377,1,62318,51174,0,Michael,Lawler,GOP,86379,2,71449,54941,0,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 17,17,286988,99,4183,1142293,True,20221108NY36597,2022-11-08,NY,86377,Sean Patrick,Maloney,True,Dem,86377,1,62318,51174,0,Michael,Lawler,GOP,86379,2,71449,54941,0,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 17,17,286988,99,14850,1142293,True,20221108NY36597,2022-11-08,NY,86377,Sean Patrick,Maloney,True,Dem,86377,1,62318,51174,0,Michael,Lawler,GOP,86379,2,71449,54941,0,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 17,17,286988,99,58553,1142293,True,20221108NY36597,2022-11-08,NY,86377,Sean Patrick,Maloney,True,Dem,86377,1,62318,51174,0,Michael,Lawler,GOP,86379,2,71449,54941,0,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 17,17,286988,99,115013,1142293,True,20221108NY36597,2022-11-08,NY,86377,Sean Patrick,Maloney,True,Dem,86377,1,62318,51174,0,Michael,Lawler,GOP,86379,2,71449,54941,0,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 17,17,286988,99,152867,1142293,True,20221108NY36597,2022-11-08,NY,86377,Sean Patrick,Maloney,True,Dem,86377,1,62318,51174,0,Michael,Lawler,GOP,86379,2,71449,54941,0,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 17,17,288093,99,173406,1142293,True,20221108NY36597,2022-11-08,NY,86377,Sean Patrick,Maloney,True,Dem,86377,1,62318,51174,0,Michael,Lawler,GOP,86379,2,71449,54941,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 17,17,288093,99,189050,1142293,True,20221108NY36597,2022-11-08,NY,86377,Sean Patrick,Maloney,True,Dem,86377,1,62318,51174,0,Michael,Lawler,GOP,86379,2,71449,54941,0,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 17,17,288093,99,195863,1142293,True,20221108NY36597,2022-11-08,NY,86377,Sean Patrick,Maloney,True,Dem,86377,1,62318,51174,0,Michael,Lawler,GOP,86379,2,71449,54941,0,
