captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.55609.first,candidates.55609.last,candidates.55609.party,candidates.55609.candidateID,candidates.55609.ballotOrder,candidates.55609.polID,candidates.55609.polNum,candidates.55609.electWon,candidates.55612.first,candidates.55612.last,candidates.55612.abbrv,candidates.55612.party,candidates.55612.candidateID,candidates.55612.ballotOrder,candidates.55612.polID,candidates.55612.polNum,candidates.55612.electWon,candidates.55740.first,candidates.55740.last,candidates.55740.abbrv,candidates.55740.party,candidates.55740.candidateID,candidates.55740.ballotOrder,candidates.55740.polID,candidates.55740.polNum,candidates.55740.electWon,candidates.55741.first,candidates.55741.last,candidates.55741.party,candidates.55741.candidateID,candidates.55741.ballotOrder,candidates.55741.polID,candidates.55741.polNum,candidates.55741.electWon,candidates.55612.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,WY-20221108_Eday80,51,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Wyoming at large,True,True,District 1,1,220000,99,0,295926,True,20221108WY51401,2022-11-08,WY,Lynnette,GreyBull,Dem,55609,2,69225,52567,0,Harriet,Hageman,Hagemn,GOP,55612,1,67595,52496,0,Richard,Brubaker,Brubakr,Lib,55740,3,62702,52019,0,Marissa,Selvig,CST,55741,4,71778,52746,0,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,WY-20221108_Eday80,51,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Wyoming at large,True,True,District 1,1,220000,99,5895,295926,True,20221108WY51401,2022-11-08,WY,Lynnette,GreyBull,Dem,55609,2,69225,52567,0,Harriet,Hageman,Hagemn,GOP,55612,1,67595,52496,0,Richard,Brubaker,Brubakr,Lib,55740,3,62702,52019,0,Marissa,Selvig,CST,55741,4,71778,52746,0,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,WY-20221108_Eday80,51,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Wyoming at large,True,True,District 1,1,220000,99,8339,295926,True,20221108WY51401,2022-11-08,WY,Lynnette,GreyBull,Dem,55609,2,69225,52567,0,Harriet,Hageman,Hagemn,GOP,55612,1,67595,52496,0,Richard,Brubaker,Brubakr,Lib,55740,3,62702,52019,0,Marissa,Selvig,CST,55741,4,71778,52746,0,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,WY-20221108_Eday80,51,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Wyoming at large,True,True,District 1,1,220000,99,32556,295926,True,20221108WY51401,2022-11-08,WY,Lynnette,GreyBull,Dem,55609,2,69225,52567,0,Harriet,Hageman,Hagemn,GOP,55612,1,67595,52496,0,Richard,Brubaker,Brubakr,Lib,55740,3,62702,52019,0,Marissa,Selvig,CST,55741,4,71778,52746,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,WY-20221108_Eday80,51,General,G,Active Tabulation,Called,H,U.S. House,Wyoming at large,True,True,District 1,1,220000,99,61009,295926,True,20221108WY51401,2022-11-08,WY,Lynnette,GreyBull,Dem,55609,2,69225,52567,0,Harriet,Hageman,Hagemn,GOP,55612,1,67595,52496,0,Richard,Brubaker,Brubakr,Lib,55740,3,62702,52019,0,Marissa,Selvig,CST,55741,4,71778,52746,0,2022-11-09T03:59:58.871Z
1667967862,2022-11-08 22:24:22 -0600,70f93394ffa370662e7d52b8ef52310baba3c929,WY-20221108_Eday80,51,General,G,Active Tabulation,Called,H,U.S. House,Wyoming at large,True,True,District 1,1,220000,99,84353,295926,True,20221108WY51401,2022-11-08,WY,Lynnette,GreyBull,Dem,55609,2,69225,52567,0,Harriet,Hageman,Hagemn,GOP,55612,1,67595,52496,0,Richard,Brubaker,Brubakr,Lib,55740,3,62702,52019,0,Marissa,Selvig,CST,55741,4,71778,52746,0,2022-11-09T03:59:58.871Z
1667968757,2022-11-08 22:39:17 -0600,444e7baf756125a86bedac9f7455307c41fed63a,WY-20221108_Eday80,51,General,G,Active Tabulation,Called,H,U.S. House,Wyoming at large,True,True,District 1,1,220000,99,99695,295926,True,20221108WY51401,2022-11-08,WY,Lynnette,GreyBull,Dem,55609,2,69225,52567,0,Harriet,Hageman,Hagemn,GOP,55612,1,67595,52496,0,Richard,Brubaker,Brubakr,Lib,55740,3,62702,52019,0,Marissa,Selvig,CST,55741,4,71778,52746,0,2022-11-09T03:59:58.871Z
1667969505,2022-11-08 22:51:45 -0600,ffc1def8f9e2bf7a494bb8b128a38f199b58da48,WY-20221108_Eday80,51,General,G,Active Tabulation,Called,H,U.S. House,Wyoming at large,True,True,District 1,1,220000,99,135354,295926,True,20221108WY51401,2022-11-08,WY,Lynnette,GreyBull,Dem,55609,2,69225,52567,0,Harriet,Hageman,Hagemn,GOP,55612,1,67595,52496,0,Richard,Brubaker,Brubakr,Lib,55740,3,62702,52019,0,Marissa,Selvig,CST,55741,4,71778,52746,0,2022-11-09T03:59:58.871Z
1667971213,2022-11-08 23:20:13 -0600,5f24f417653bba3396590267801436b107c31ac9,WY-20221108_Eday80,51,General,G,Active Tabulation,Called,H,U.S. House,Wyoming at large,True,True,District 1,1,220000,99,139688,295926,True,20221108WY51401,2022-11-08,WY,Lynnette,GreyBull,Dem,55609,2,69225,52567,0,Harriet,Hageman,Hagemn,GOP,55612,1,67595,52496,0,Richard,Brubaker,Brubakr,Lib,55740,3,62702,52019,0,Marissa,Selvig,CST,55741,4,71778,52746,0,2022-11-09T03:59:58.871Z
1667972126,2022-11-08 23:35:26 -0600,617b070692e7bea69906440bb1aebd1bfcb3a90b,WY-20221108_Eday80,51,General,G,Active Tabulation,Called,H,U.S. House,Wyoming at large,True,True,District 1,1,220000,99,144126,295926,True,20221108WY51401,2022-11-08,WY,Lynnette,GreyBull,Dem,55609,2,69225,52567,0,Harriet,Hageman,Hagemn,GOP,55612,1,67595,52496,0,Richard,Brubaker,Brubakr,Lib,55740,3,62702,52019,0,Marissa,Selvig,CST,55741,4,71778,52746,0,2022-11-09T03:59:58.871Z
1667972986,2022-11-08 23:49:46 -0600,8b5a6bad408154143d5639ac38f52891382240a4,WY-20221108_Eday80,51,General,G,Active Tabulation,Called,H,U.S. House,Wyoming at large,True,True,District 1,1,220000,99,155759,295926,True,20221108WY51401,2022-11-08,WY,Lynnette,GreyBull,Dem,55609,2,69225,52567,0,Harriet,Hageman,Hagemn,GOP,55612,1,67595,52496,0,Richard,Brubaker,Brubakr,Lib,55740,3,62702,52019,0,Marissa,Selvig,CST,55741,4,71778,52746,0,2022-11-09T03:59:58.871Z
