captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.35620.first,candidates.35620.last,candidates.35620.party,candidates.35620.incumbent,candidates.35620.candidateID,candidates.35620.polID,candidates.35620.ballotOrder,candidates.35620.polNum,candidates.35620.electWon,candidates.37659.first,candidates.37659.last,candidates.37659.abbrv,candidates.37659.party,candidates.37659.candidateID,candidates.37659.polID,candidates.37659.ballotOrder,candidates.37659.polNum,candidates.37659.electWon,candidates.37885.first,candidates.37885.last,candidates.37885.abbrv,candidates.37885.party,candidates.37885.candidateID,candidates.37885.polID,candidates.37885.ballotOrder,candidates.37885.polNum,candidates.37885.electWon,candidates.35620.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NV-20221108_Eday62,29,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1,1,203959,99,0,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NV-20221108_Eday80,29,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1,1,276696,99,0,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,NV-20221108_Eday80,29,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 1,1,276696,99,0,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,,
1667973512,2022-11-08 23:58:32 -0600,c5b8277525be0367964460ee9775326f5b2cc341,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,276696,99,146317,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,,
1667974664,2022-11-09 00:17:44 -0600,d987a91643923201706646f74ed6cc4da6a088a6,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,292634,99,146317,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,,
1667977854,2022-11-09 01:10:54 -0600,48bc116d28d8730921e71b24209c1971684df670,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,292634,99,172988,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,,
1667978624,2022-11-09 01:23:44 -0600,97e704602754dedf1a218b99d26e3136f940ebe6,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,298255,99,172988,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,,
1667980354,2022-11-09 01:52:34 -0600,b95b3aa03864d3aa8e20ef68881e81d2ed7e17c2,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,266135,99,172988,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,,
1667984521,2022-11-09 03:02:01 -0600,478e8a63ef6b65738d72dc5bd2c6dd42a0ae8361,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,266135,99,196136,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,,
1667984561,2022-11-09 03:02:41 -0600,107298d156a71c1d2c999d5eae992045e4e36f92,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,266135,99,172988,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,,
