captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.35620.first,candidates.35620.last,candidates.35620.party,candidates.35620.incumbent,candidates.35620.candidateID,candidates.35620.polID,candidates.35620.ballotOrder,candidates.35620.polNum,candidates.35620.electWon,candidates.37659.first,candidates.37659.last,candidates.37659.abbrv,candidates.37659.party,candidates.37659.candidateID,candidates.37659.polID,candidates.37659.ballotOrder,candidates.37659.polNum,candidates.37659.electWon,candidates.37885.first,candidates.37885.last,candidates.37885.abbrv,candidates.37885.party,candidates.37885.candidateID,candidates.37885.polID,candidates.37885.ballotOrder,candidates.37885.polNum,candidates.37885.electWon,candidates.35620.winnerDateTime,isCertified
1667984601,2022-11-09 03:03:21 -0600,932ac8732eb74666c5c0cf274fd2822c2821b401,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,266135,99,196136,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,,
1667986710,2022-11-09 03:38:30 -0600,e76b62f6ea65887d3b04b50648890c6997b1f3db,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,245170,99,196136,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,,
1668045538,2022-11-09 19:58:58 -0600,c097c6b773a372e3aff808dea9e94f60de13e648,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,228065,99,200754,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,,
1668048961,2022-11-09 20:56:01 -0600,bd5d40aa94732baf47e4e47ab92f8860a06300cd,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,228130,99,200754,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,,
1668129604,2022-11-10 19:20:04 -0600,d9049aa3a06a8ed6c025225e96b653902a675eb6,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,220609,99,200754,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,,
1668133970,2022-11-10 20:32:50 -0600,418936c9c4f8940ec59fb59ad131834a4dc55307,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,220609,99,202837,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,,
1668212734,2022-11-11 18:25:34 -0600,4e67819ecc0321db63be7cea287508b5bc962e18,NV-20221108_Eday80,29,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,220609,99,213053,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,,
1668213485,2022-11-11 18:38:05 -0600,c79a8a9d866c72ce7ce90e605d5b1df989f4540b,NV-20221108_Eday80,29,General,G,Active Tabulation,Called,H,U.S. House,True,District 1,1,220609,99,213053,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,2022-11-12T00:26:07.852Z,
1668215162,2022-11-11 19:06:02 -0600,3642cfa701eff79beaa69a5d663b424321d02051,NV-20221108_Eday80,29,General,G,Active Tabulation,Called,H,U.S. House,True,District 1,1,224266,99,213053,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,2022-11-12T00:26:07.852Z,
1668306317,2022-11-12 20:25:17 -0600,5d413bb698873e7fd74d85d3ae98a7722a850b0e,NV-20221108_Eday80,29,General,G,Active Tabulation,Called,H,U.S. House,True,District 1,1,224266,99,221011,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,2022-11-12T00:26:07.852Z,
1668478740,2022-11-14 20:19:00 -0600,ca239b0b1c84bbe989428fa675c9ea5bb79fb19a,NV-20221108_Eday80,29,General,G,Active Tabulation,Called,H,U.S. House,True,District 1,1,224169,99,221927,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,2022-11-12T00:26:07.852Z,
1668557266,2022-11-15 18:07:46 -0600,dfb2b8eb8f96d3347a5cf7f974c46787fb6011ed,NV-20221108_Eday80,29,General,G,Active Tabulation,Called,H,U.S. House,True,District 1,1,224169,99,222773,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,2022-11-12T00:26:07.852Z,
1669152850,2022-11-22 15:34:10 -0600,ce9a4aeb50535a14eef2f6085741e50aa4363bd1,NV-20221108_Eday80,29,General,G,Gathering Certified Results,Called,H,U.S. House,True,District 1,1,224169,99,222773,632531,True,20221108NV3,2022-11-08,NV,35620,Dina,Titus,Dem,True,35620,30878,3,30774,0,Mark,Robertson,Robertsn,GOP,37659,70760,2,33159,0,Ken,Cavanaugh,Cavanagh,Lib,37885,71709,1,33308,0,2022-11-12T00:26:07.852Z,False
