captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.6065.first,candidates.6065.last,candidates.6065.abbrv,candidates.6065.party,candidates.6065.candidateID,candidates.6065.ballotOrder,candidates.6065.polID,candidates.6065.polNum,candidates.6065.electWon,candidates.6071.first,candidates.6071.last,candidates.6071.party,candidates.6071.candidateID,candidates.6071.ballotOrder,candidates.6071.polID,candidates.6071.polNum,candidates.6071.electWon,candidates.6260.first,candidates.6260.last,candidates.6260.party,candidates.6260.candidateID,candidates.6260.ballotOrder,candidates.6260.polID,candidates.6260.polNum,candidates.6260.electWon,candidates.6071.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,AL-20221108_Eday80,1,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,220110,99,0,636613,True,20221108AL1376,2022-11-08,AL,Kathy,Warner-Stanton,Wrnr-St,Dem,6065,1,70489,4126,0,Dale,Strong,GOP,6071,2,70499,3837,0,Phillip,Greer,Lib,6260,3,71675,4190,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,220110,99,473,636613,True,20221108AL1376,2022-11-08,AL,Kathy,Warner-Stanton,Wrnr-St,Dem,6065,1,70489,4126,0,Dale,Strong,GOP,6071,2,70499,3837,0,Phillip,Greer,Lib,6260,3,71675,4190,0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,220110,99,1922,636613,True,20221108AL1376,2022-11-08,AL,Kathy,Warner-Stanton,Wrnr-St,Dem,6065,1,70489,4126,0,Dale,Strong,GOP,6071,2,70499,3837,0,Phillip,Greer,Lib,6260,3,71675,4190,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,220110,99,35574,636613,True,20221108AL1376,2022-11-08,AL,Kathy,Warner-Stanton,Wrnr-St,Dem,6065,1,70489,4126,0,Dale,Strong,GOP,6071,2,70499,3837,0,Phillip,Greer,Lib,6260,3,71675,4190,0,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,220110,99,56506,636613,True,20221108AL1376,2022-11-08,AL,Kathy,Warner-Stanton,Wrnr-St,Dem,6065,1,70489,4126,0,Dale,Strong,GOP,6071,2,70499,3837,0,Phillip,Greer,Lib,6260,3,71675,4190,0,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,220110,99,71627,636613,True,20221108AL1376,2022-11-08,AL,Kathy,Warner-Stanton,Wrnr-St,Dem,6065,1,70489,4126,0,Dale,Strong,GOP,6071,2,70499,3837,0,Phillip,Greer,Lib,6260,3,71675,4190,0,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,217840,99,161285,636613,True,20221108AL1376,2022-11-08,AL,Kathy,Warner-Stanton,Wrnr-St,Dem,6065,1,70489,4126,0,Dale,Strong,GOP,6071,2,70499,3837,0,Phillip,Greer,Lib,6260,3,71675,4190,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,217840,99,174599,636613,True,20221108AL1376,2022-11-08,AL,Kathy,Warner-Stanton,Wrnr-St,Dem,6065,1,70489,4126,0,Dale,Strong,GOP,6071,2,70499,3837,0,Phillip,Greer,Lib,6260,3,71675,4190,0,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,217840,99,174599,636613,True,20221108AL1376,2022-11-08,AL,Kathy,Warner-Stanton,Wrnr-St,Dem,6065,1,70489,4126,0,Dale,Strong,GOP,6071,2,70499,3837,0,Phillip,Greer,Lib,6260,3,71675,4190,0,2022-11-09T03:57:49.936Z,
1667967862,2022-11-08 22:24:22 -0600,70f93394ffa370662e7d52b8ef52310baba3c929,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 5,5,217840,99,175506,636613,True,20221108AL1376,2022-11-08,AL,Kathy,Warner-Stanton,Wrnr-St,Dem,6065,1,70489,4126,0,Dale,Strong,GOP,6071,2,70499,3837,0,Phillip,Greer,Lib,6260,3,71675,4190,0,2022-11-09T03:57:49.936Z,
