captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,keyRace,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.35674.last,candidates.35674.party,candidates.35674.candidateID,candidates.35674.ballotOrder,candidates.35674.polID,candidates.35674.polNum,candidates.35674.electWon,candidates.35675.last,candidates.35675.party,candidates.35675.candidateID,candidates.35675.ballotOrder,candidates.35675.polID,candidates.35675.polNum,candidates.35675.electWon,raceCallStatus,candidates.35674.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MA-20221108_Eday80,22,Ballot Issue,G,Awaiting Poll Close,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,3000000,95,0,5134226,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,MA-20221108_Eday80,22,Ballot Issue,G,Awaiting Poll Close,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,0,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,854,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,6090,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,54279,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,80841,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,134787,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,118624,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,187342,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,235300,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,282697,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,336245,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,376064,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,458047,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,645731,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,750851,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,829450,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,946248,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667968002,2022-11-08 22:26:42 -0600,1235204137f0f06fe3cd4983951d9356477924c9,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1143599,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667968844,2022-11-08 22:40:44 -0600,9af6e1ce44325ca43504ad5e0ccab8e9f14ef964,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1292653,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667969636,2022-11-08 22:53:56 -0600,343edcc3a5440ed7e985b5b1b439acfe9dc3a7bb,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1373226,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667969723,2022-11-08 22:55:23 -0600,b509b5bfc09bde62e91159629c11e0b7e48daab9,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1292653,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667969768,2022-11-08 22:56:08 -0600,13751e5ba6ec1b0e3bf8ed4bdd82f9ad01fec7e2,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1373226,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667970461,2022-11-08 23:07:41 -0600,7d669d180641a9a00e537201f92d2f70ea120169,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1485376,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667970504,2022-11-08 23:08:24 -0600,218805bf82c018e2091a699549a3db0180a36d98,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1373226,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667970548,2022-11-08 23:09:08 -0600,a039c3e3daf59c6709863984d030931ce2f47b8a,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1485376,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667971350,2022-11-08 23:22:30 -0600,4e8d6a153dbb49007925da1747ddadcd1394934d,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1486370,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667971395,2022-11-08 23:23:15 -0600,d97519c7c3720d6e80913290b35064b53dd231cc,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1561557,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667972216,2022-11-08 23:36:56 -0600,85a5bd7dbe5253f418489691a179128d5ff518d6,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1611272,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667973074,2022-11-08 23:51:14 -0600,eb28abe2520dfc732dc2e53485df27d909fe0dce,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1736538,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667973835,2022-11-09 00:03:55 -0600,b3bdd8a625be8657c0e5a46d72158acdcfd366d2,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1743720,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667974141,2022-11-09 00:09:01 -0600,6ac032f537e1cf474dd6798112535df8c4f1f419,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1775202,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667974225,2022-11-09 00:10:25 -0600,2985b4bedf5fc7a85a7f91a2caf4c7b14617e055,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1769327,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667974269,2022-11-09 00:11:09 -0600,13a14ca127ca598b674838e5aa250bed9ab33b53,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1775202,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667974313,2022-11-09 00:11:53 -0600,6b3b0bacc6c41a15c188eab11ce932a1d154d208,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1769327,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667974399,2022-11-09 00:13:19 -0600,d8b138971a5b2dcea653b8ad14e8ae0ccdecaf13,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1775202,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667974664,2022-11-09 00:17:44 -0600,d987a91643923201706646f74ed6cc4da6a088a6,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1769327,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667974712,2022-11-09 00:18:32 -0600,8831ad0cd913a7df98a9591de88a61ddfc8730ee,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1775202,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667974762,2022-11-09 00:19:22 -0600,eae9f5b1ba131d7652f49e9c3001c7a015f755b1,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1769327,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667974809,2022-11-09 00:20:09 -0600,21e89b68838446570e2788596a6ed47ed4d95a07,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1775202,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667974899,2022-11-09 00:21:39 -0600,387e9cf2d205ebca879101fc8e33b930b1cbd329,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1769327,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
1667974945,2022-11-09 00:22:25 -0600,681ef884856b9c75efe2b0acf64bb4a515303482,MA-20221108_Eday80,22,Ballot Issue,G,Active Tabulation,I,Question,Fund public edu,True,True,True,1 - Create New Income Tax Level,0,2900000,95,1814234,4838359,True,20221108MA24904,2022-11-08,MA,Yes,Yes,35674,1,2,25624,0,No,No,35675,2,3,25625,0,,
