captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,keyRace,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.37888.last,candidates.37888.party,candidates.37888.candidateID,candidates.37888.polID,candidates.37888.ballotOrder,candidates.37888.polNum,candidates.37888.electWon,candidates.37889.last,candidates.37889.party,candidates.37889.candidateID,candidates.37889.polID,candidates.37889.ballotOrder,candidates.37889.polNum,candidates.37889.electWon,raceCallStatus,candidates.37888.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NV-20221108_Eday62,29,Ballot Issue,G,Awaiting Poll Close,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1020744,99,0,2149087,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NV-20221108_Eday80,29,Ballot Issue,G,Awaiting Poll Close,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1350000,99,0,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,NV-20221108_Eday80,29,Ballot Issue,G,Polls Closed/Waiting First Report,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1350000,99,0,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667972764,2022-11-08 23:46:04 -0600,82ba377844e9961d9064213cab9939b1444d2eba,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1350000,99,1817,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667973737,2022-11-09 00:02:17 -0600,f7940d04f83247dd0cbf585d2d4f25b8c66e477d,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1350000,99,447864,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667978339,2022-11-09 01:18:59 -0600,e64fd6d30c0bca643babf663d248b28fa9a45ee8,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1350000,99,624088,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667979151,2022-11-09 01:32:31 -0600,23ce0f4830a99133cc9910a2938647202fdaf642,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1350000,99,645113,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667980354,2022-11-09 01:52:34 -0600,b95b3aa03864d3aa8e20ef68881e81d2ed7e17c2,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1194654,99,645113,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667983389,2022-11-09 02:43:09 -0600,1ddd3dfbd0a60636dc0989de2dbe39844110e2a9,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1194654,99,647264,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667984283,2022-11-09 02:58:03 -0600,0170dd1ad3b2504037f68d6f19c85fd52c958ac5,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1024254,99,680710,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667985515,2022-11-09 03:18:35 -0600,31dd34586ab7b0bee9484705570a9db12d11e661,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1024254,99,790467,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667985779,2022-11-09 03:22:59 -0600,af9ba99ad8f2bff9ef334fac2128203d4237fb3b,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1024254,99,774762,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667985862,2022-11-09 03:24:22 -0600,c99936830ae024241422f34e194ea28fd47bbfa6,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1024254,99,790467,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667985904,2022-11-09 03:25:04 -0600,9a93968822f66fb5ab1446dd87e58d49f4859b6e,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1024254,99,774762,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667985945,2022-11-09 03:25:45 -0600,ccf1c188a3cd33e1e940a35bdccf1b24a50383f8,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1024254,99,790467,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667985985,2022-11-09 03:26:25 -0600,2d478258f7e72765d03704400226b05aa5dfba31,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1024254,99,774762,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667986026,2022-11-09 03:27:06 -0600,e99be915e2896b0e6ab292dfb14f5ee346ab658c,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1024254,99,790467,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
1667986148,2022-11-09 03:29:08 -0600,825565b33fc8f2e2b543fd07b19c543069fa86c6,NV-20221108_Eday80,29,Ballot Issue,G,Active Tabulation,I,Question,non-partisan primaries,True,True,True,"3 - Top-5-Pri, Ranked Choice GE",1,1024254,99,774762,2183075,True,20221108NV31211,2022-11-08,NV,Yes,Yes,37888,2,1,29410,0,No,No,37889,3,2,29411,0,,,
