captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.4356.first,candidates.4356.last,candidates.4356.incumbent,candidates.4356.party,candidates.4356.candidateID,candidates.4356.ballotOrder,candidates.4356.polID,candidates.4356.polNum,candidates.4356.electWon,candidates.6059.first,candidates.6059.last,candidates.6059.party,candidates.6059.candidateID,candidates.6059.ballotOrder,candidates.6059.polID,candidates.6059.polNum,candidates.6059.electWon,candidates.6257.first,candidates.6257.last,candidates.6257.party,candidates.6257.candidateID,candidates.6257.ballotOrder,candidates.6257.polID,candidates.6257.polNum,candidates.6257.electWon,candidates.6281.first,candidates.6281.last,candidates.6281.party,candidates.6281.candidateID,candidates.6281.ballotOrder,candidates.6281.polID,candidates.6281.polNum,candidates.6281.electWon,candidates.4356.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,AL-20221108_Eday80,1,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,205362,99,0,925455,True,20221108AL1375,2022-11-08,AL,4356,Mike,Rogers,True,GOP,4356,2,1161,1222,0,Karen Lin,Veasey,Dem,6059,1,70490,4123,0,Thomas,Casson,Lib,6257,3,63526,4187,0,Douglas,Bell,IP,6281,4,64890,4188,0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,205362,99,128,925455,True,20221108AL1375,2022-11-08,AL,4356,Mike,Rogers,True,GOP,4356,2,1161,1222,0,Karen Lin,Veasey,Dem,6059,1,70490,4123,0,Thomas,Casson,Lib,6257,3,63526,4187,0,Douglas,Bell,IP,6281,4,64890,4188,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,205362,99,4862,925455,True,20221108AL1375,2022-11-08,AL,4356,Mike,Rogers,True,GOP,4356,2,1161,1222,0,Karen Lin,Veasey,Dem,6059,1,70490,4123,0,Thomas,Casson,Lib,6257,3,63526,4187,0,Douglas,Bell,IP,6281,4,64890,4188,0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,205362,99,8117,925455,True,20221108AL1375,2022-11-08,AL,4356,Mike,Rogers,True,GOP,4356,2,1161,1222,0,Karen Lin,Veasey,Dem,6059,1,70490,4123,0,Thomas,Casson,Lib,6257,3,63526,4187,0,Douglas,Bell,IP,6281,4,64890,4188,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,205362,99,11822,925455,True,20221108AL1375,2022-11-08,AL,4356,Mike,Rogers,True,GOP,4356,2,1161,1222,0,Karen Lin,Veasey,Dem,6059,1,70490,4123,0,Thomas,Casson,Lib,6257,3,63526,4187,0,Douglas,Bell,IP,6281,4,64890,4188,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,205362,99,25336,925455,True,20221108AL1375,2022-11-08,AL,4356,Mike,Rogers,True,GOP,4356,2,1161,1222,0,Karen Lin,Veasey,Dem,6059,1,70490,4123,0,Thomas,Casson,Lib,6257,3,63526,4187,0,Douglas,Bell,IP,6281,4,64890,4188,0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,205362,99,19627,925455,True,20221108AL1375,2022-11-08,AL,4356,Mike,Rogers,True,GOP,4356,2,1161,1222,0,Karen Lin,Veasey,Dem,6059,1,70490,4123,0,Thomas,Casson,Lib,6257,3,63526,4187,0,Douglas,Bell,IP,6281,4,64890,4188,0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,205362,99,53896,925455,True,20221108AL1375,2022-11-08,AL,4356,Mike,Rogers,True,GOP,4356,2,1161,1222,0,Karen Lin,Veasey,Dem,6059,1,70490,4123,0,Thomas,Casson,Lib,6257,3,63526,4187,0,Douglas,Bell,IP,6281,4,64890,4188,0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,205362,99,42204,925455,True,20221108AL1375,2022-11-08,AL,4356,Mike,Rogers,True,GOP,4356,2,1161,1222,0,Karen Lin,Veasey,Dem,6059,1,70490,4123,0,Thomas,Casson,Lib,6257,3,63526,4187,0,Douglas,Bell,IP,6281,4,64890,4188,0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,205362,99,53896,925455,True,20221108AL1375,2022-11-08,AL,4356,Mike,Rogers,True,GOP,4356,2,1161,1222,0,Karen Lin,Veasey,Dem,6059,1,70490,4123,0,Thomas,Casson,Lib,6257,3,63526,4187,0,Douglas,Bell,IP,6281,4,64890,4188,0,,
