captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.56436.last,candidates.56436.party,candidates.56436.candidateID,candidates.56436.ballotOrder,candidates.56436.polID,candidates.56436.polNum,candidates.56436.electWon,candidates.56437.last,candidates.56437.party,candidates.56437.candidateID,candidates.56437.ballotOrder,candidates.56437.polID,candidates.56437.polNum,candidates.56437.electWon,raceCallStatus,candidates.56437.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,UT-20221108_Eday80,45,Ballot Issue,G,Awaiting Poll Close,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,99,0,1885207,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,UT-20221108_Eday80,45,Ballot Issue,G,Awaiting Poll Close,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,99,0,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667950106,2022-11-08 23:28:26 +0000,03bd9b09dc6ae9d95766d3877a273fc07c395a68,UT-20221108_Eday80,45,Ballot Issue,G,Awaiting Poll Close,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,0,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,UT-20221108_Eday80,45,Ballot Issue,G,Polls Closed/Waiting First Report,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,0,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,103225,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667967862,2022-11-08 22:24:22 -0600,70f93394ffa370662e7d52b8ef52310baba3c929,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,132093,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667968667,2022-11-08 22:37:47 -0600,a013d457c641e43c359ed7cf524810962213905d,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,365896,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667969463,2022-11-08 22:51:03 -0600,33a57724ad86936b636ee9df9a6a905b84cec6b3,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,372777,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667970284,2022-11-08 23:04:44 -0600,0fc8b3fccaefe74cf333b488517dd0339b8dd0b7,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,550604,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667971213,2022-11-08 23:20:13 -0600,5f24f417653bba3396590267801436b107c31ac9,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,560664,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667971258,2022-11-08 23:20:58 -0600,66df93c53186cc5d338c8a4f0b94d8e859c4ec59,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,550604,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667971304,2022-11-08 23:21:44 -0600,1425fca56a9abad3e92162e44d8c52f320121f3e,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,560664,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667972126,2022-11-08 23:35:26 -0600,617b070692e7bea69906440bb1aebd1bfcb3a90b,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,565313,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667972986,2022-11-08 23:49:46 -0600,8b5a6bad408154143d5639ac38f52891382240a4,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,565691,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667973793,2022-11-09 00:03:13 -0600,471324a7f30a6780d5e1d2eb6bf6c21c79776e91,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,585855,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667974664,2022-11-09 00:17:44 -0600,d987a91643923201706646f74ed6cc4da6a088a6,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,594765,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667975443,2022-11-09 00:30:43 -0600,d3fce30549290fb6ab466f77998222999d6c79b9,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,595169,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667976265,2022-11-09 00:44:25 -0600,f24bbc37a7ca703e419e133d048b4da5b1f386e7,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,595959,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667976306,2022-11-09 00:45:06 -0600,a65306ebcf7e41c11b1557bbe78229c6107820ce,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,595169,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667976346,2022-11-09 00:45:46 -0600,b9be9344301c155fbb38561b225d36627ab71bd2,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,595959,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667976387,2022-11-09 00:46:27 -0600,3fc81e357a75429f605eafd56848166989ceb407,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,607894,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667977161,2022-11-09 00:59:21 -0600,d4158baa35ee56754832f9c50c65e72445101881,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,633836,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667981283,2022-11-09 02:08:03 -0600,b50945b2097c96d288eb118e41604458b9594ee2,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,634776,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667985011,2022-11-09 03:10:11 -0600,0743f6f16071cb28a6e8a0e363705623355a94c0,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,646152,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667985052,2022-11-09 03:10:52 -0600,8db4cd830de981fcfc96ae5cfa5893c8fdf058d5,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,634776,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667985436,2022-11-09 03:17:16 -0600,3424d47f5341c2a346e8a3799f78a52faeab6c0b,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,646152,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667986791,2022-11-09 03:39:51 -0600,9a50c153b47784532606d145b7458db430ba2b1b,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,90,666071,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1667996956,2022-11-09 06:29:16 -0600,156650a19d4a324031c13efee2409a11d3b5e020,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,99,666071,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1668039181,2022-11-09 18:13:01 -0600,33a3c80488ad7614b0ee4e980b9b8432b43867f2,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,99,695877,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1668096272,2022-11-10 10:04:32 -0600,a01fc7c79bc84b206b6175132c2f59d0b263c88c,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,99,695992,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1668137801,2022-11-10 21:36:41 -0600,06eefdcdf3cdd19be46ed4b5287ee97ae09d7b2c,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,99,798152,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,,,
1668138671,2022-11-10 21:51:11 -0600,489166a6689af88300db8f5e48a0679d9b4dd4f3,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,99,798152,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,Called,2022-11-11T03:35:58.107Z,
1668140790,2022-11-10 22:26:30 -0600,232a32d7a776f13706bda47bf0f9cb526888d378,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,99,810436,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,Called,2022-11-11T03:35:58.107Z,
1668140830,2022-11-10 22:27:10 -0600,0ab3315d8484c8795b4a09908836b8407718e7e7,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,99,798152,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,Called,2022-11-11T03:35:58.107Z,
1668140873,2022-11-10 22:27:53 -0600,71da76df79abc87102d4fc66387ad6e5d80dcaa0,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,99,810436,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,Called,2022-11-11T03:35:58.107Z,
1668211727,2022-11-11 18:08:47 -0600,94cb6d54a391dec10f0049942d12eacb6f33f559,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,1250000,99,833343,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,Called,2022-11-11T03:35:58.107Z,
1668435474,2022-11-14 08:17:54 -0600,36950eff58b0326899047798c6d637e588c8956f,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,992075,99,833343,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,Called,2022-11-11T03:35:58.107Z,
1668466375,2022-11-14 16:52:55 -0600,c9fe55bd4f7bc6c605dbeedb6d02a8d1f54fedf5,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,992075,99,836583,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,Called,2022-11-11T03:35:58.107Z,
1668470602,2022-11-14 18:03:22 -0600,64e19f2f8e3ba1e87bfeec59befddb1d1422e482,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,992075,99,864644,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,Called,2022-11-11T03:35:58.107Z,
1668477734,2022-11-14 20:02:14 -0600,b6c9b244aabde862d8af8f0fa6f70674a3148b88,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,992075,99,918367,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,Called,2022-11-11T03:35:58.107Z,
1668557935,2022-11-15 18:18:55 -0600,89a6c26c3205c7b54b2f362a59a4e5e322aa59ff,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,992075,99,918446,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,Called,2022-11-11T03:35:58.107Z,
1668568244,2022-11-15 21:10:44 -0600,94e72035a785678d69f157f6b7de7c5a544c7f71,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,992075,99,961347,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,Called,2022-11-11T03:35:58.107Z,
1668643276,2022-11-16 18:01:16 -0600,6b4d8d3fe63fa7f1dead2a9fee69748e16e58274,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,992075,99,961800,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,Called,2022-11-11T03:35:58.107Z,
1668645066,2022-11-16 18:31:06 -0600,db5b2a567a5fe6ecef5bc3243126dffd23d46c12,UT-20221108_Eday80,45,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,992075,99,962923,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,Called,2022-11-11T03:35:58.107Z,
1668788856,2022-11-18 10:27:36 -0600,4455ab42466259cb7ad377f3272f252ab24a6bee,UT-20221108_Eday80,45,Ballot Issue,G,Gathering Certified Results,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,992075,99,962979,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,Called,2022-11-11T03:35:58.107Z,
1668877216,2022-11-19 11:00:16 -0600,ae78cff2e46a60963e26323fb60cd25bdd10a58a,UT-20221108_Eday80,45,Ballot Issue,G,Gathering Certified Results,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,992075,99,972562,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,Called,2022-11-11T03:35:58.107Z,
1669040161,2022-11-21 08:16:01 -0600,b20149c97ba822253c7b4afeea9a087475bc492e,UT-20221108_Eday80,45,Ballot Issue,G,Gathering Certified Results,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,992410,99,972562,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,Called,2022-11-11T03:35:58.107Z,
1669133674,2022-11-22 10:14:34 -0600,80de3865215bce3f8e2fefe06ae210165d616256,UT-20221108_Eday80,45,Ballot Issue,G,Gathering Certified Results,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,992410,99,975577,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,Called,2022-11-11T03:35:58.107Z,
1669228153,2022-11-23 12:29:13 -0600,245cb3a27649eea5a5408076a3a3d92c61f8714f,UT-20221108_Eday80,45,Ballot Issue,G,Gathering Certified Results,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,992410,99,981378,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,Called,2022-11-11T03:35:58.107Z,False
1669660776,2022-11-28 12:39:36 -0600,222c7736fad889862acc85182a9455099a6ee9ce,UT-20221108_Eday80,45,Ballot Issue,G,Gathering Certified Results,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,992410,99,982249,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,Called,2022-11-11T03:35:58.107Z,False
1669710918,2022-11-29 02:35:18 -0600,18b4196bf8e7535d69dbc8331e82d981e65c5a4a,UT-20221108_Eday80,45,Ballot Issue,G,Gathering Certified Results,I,Constitutional Amendment,From 1% to 5%,True,True,A - Raise Appropriations Limit,0,992171,99,982249,1686060,True,20221108UT49869,2022-11-08,UT,For,Yes,56436,1,2,46783,0,Against,No,56437,2,3,46784,0,Called,2022-11-11T03:35:58.107Z,False
