captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.53106.first,candidates.53106.middle,candidates.53106.last,candidates.53106.party,candidates.53106.candidateID,candidates.53106.ballotOrder,candidates.53106.polID,candidates.53106.polNum,candidates.53106.electWon,candidates.53170.first,candidates.53170.last,candidates.53170.party,candidates.53170.candidateID,candidates.53170.ballotOrder,candidates.53170.polID,candidates.53170.polNum,candidates.53170.electWon,candidates.53170.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,PA-20221108_Eday64,39,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 12,12,473785,99,0,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,PA-20221108_Eday80,39,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 12,12,376518,99,0,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
1667946645,2022-11-08 22:30:45 +0000,b4a2d52dc2885174b04713e13bf7fbb8eadd5f83,PA-20221108_Eday80,39,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 12,12,376518,95,0,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,376518,95,73569,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,376518,95,79673,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,376518,95,92003,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,376518,95,106486,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,376518,95,129708,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,376518,95,119242,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,376518,95,129708,1506530,True,20221108PA39019,2022-11-08,PA,Mike,J.,Doyle,GOP,53106,3,70036,46166,0,Summer,Lee,Dem,53170,1,70046,45492,0,,
