captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.18399.first,candidates.18399.last,candidates.18399.incumbent,candidates.18399.party,candidates.18399.candidateID,candidates.18399.ballotOrder,candidates.18399.polID,candidates.18399.polNum,candidates.18399.electWon,candidates.19534.first,candidates.19534.last,candidates.19534.party,candidates.19534.candidateID,candidates.19534.ballotOrder,candidates.19534.polID,candidates.19534.polNum,candidates.19534.electWon,candidates.19796.first,candidates.19796.last,candidates.19796.party,candidates.19796.candidateID,candidates.19796.ballotOrder,candidates.19796.polID,candidates.19796.polNum,candidates.19796.electWon,candidates.19797.first,candidates.19797.last,candidates.19797.party,candidates.19797.candidateID,candidates.19797.ballotOrder,candidates.19797.polID,candidates.19797.polNum,candidates.19797.electWon,candidates.19821.first,candidates.19821.last,candidates.19821.abbrv,candidates.19821.party,candidates.19821.candidateID,candidates.19821.ballotOrder,candidates.19821.polID,candidates.19821.polNum,candidates.19821.electWon,candidates.18399.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,ID-20221108_Eday80,13,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Mike,Crapo,GOP,18399,81,13864,True,True,True,650000,99,0,999384,True,20221108ID14055,2022-11-08,ID,18399,Mike,Crapo,True,GOP,18399,2,81,13864,0,David,Roth,Dem,19534,1,70327,16480,0,Ray,Writz,CST,19796,3,64860,15766,0,Sierra,Law,Lib,19797,4,69621,16485,0,Scott,Cleveland,Clevelnd,Ind,19821,5,71537,16669,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,ID-20221108_Eday82,13,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Mike,Crapo,GOP,18399,81,13864,True,True,True,635637,99,0,993982,True,20221108ID14055,2022-11-08,ID,18399,Mike,Crapo,True,GOP,18399,2,81,13864,0,David,Roth,Dem,19534,1,70327,16480,0,Ray,Writz,CST,19796,3,64860,15766,0,Sierra,Law,Lib,19797,4,69621,16485,0,Scott,Cleveland,Clevelnd,Ind,19821,5,71537,16669,0,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,ID-20221108_Eday82,13,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Mike,Crapo,GOP,18399,81,13864,True,True,True,650000,99,0,999384,True,20221108ID14055,2022-11-08,ID,18399,Mike,Crapo,True,GOP,18399,2,81,13864,0,David,Roth,Dem,19534,1,70327,16480,0,Ray,Writz,CST,19796,3,64860,15766,0,Sierra,Law,Lib,19797,4,69621,16485,0,Scott,Cleveland,Clevelnd,Ind,19821,5,71537,16669,0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,S,U.S. Senate,Mike,Crapo,GOP,18399,81,13864,True,True,True,650000,99,61442,999384,True,20221108ID14055,2022-11-08,ID,18399,Mike,Crapo,True,GOP,18399,2,81,13864,0,David,Roth,Dem,19534,1,70327,16480,0,Ray,Writz,CST,19796,3,64860,15766,0,Sierra,Law,Lib,19797,4,69621,16485,0,Scott,Cleveland,Clevelnd,Ind,19821,5,71537,16669,0,2022-11-09T04:00:13.484Z,
1667968138,2022-11-08 22:28:58 -0600,78be3d1941803188124b187362be51adf1e8fdfb,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,S,U.S. Senate,Mike,Crapo,GOP,18399,81,13864,True,True,True,650000,99,67459,999384,True,20221108ID14055,2022-11-08,ID,18399,Mike,Crapo,True,GOP,18399,2,81,13864,0,David,Roth,Dem,19534,1,70327,16480,0,Ray,Writz,CST,19796,3,64860,15766,0,Sierra,Law,Lib,19797,4,69621,16485,0,Scott,Cleveland,Clevelnd,Ind,19821,5,71537,16669,0,2022-11-09T04:00:13.484Z,
1667968974,2022-11-08 22:42:54 -0600,6782d2843c55794bd70cb628b0a71e22fe48f3f5,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,S,U.S. Senate,Mike,Crapo,GOP,18399,81,13864,True,True,True,650000,99,93098,999384,True,20221108ID14055,2022-11-08,ID,18399,Mike,Crapo,True,GOP,18399,2,81,13864,0,David,Roth,Dem,19534,1,70327,16480,0,Ray,Writz,CST,19796,3,64860,15766,0,Sierra,Law,Lib,19797,4,69621,16485,0,Scott,Cleveland,Clevelnd,Ind,19821,5,71537,16669,0,2022-11-09T04:00:13.484Z,
1667969810,2022-11-08 22:56:50 -0600,b4af1c5ed222b2aca51b198a04f7adfc76d9c4e9,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,S,U.S. Senate,Mike,Crapo,GOP,18399,81,13864,True,True,True,650000,99,117658,999384,True,20221108ID14055,2022-11-08,ID,18399,Mike,Crapo,True,GOP,18399,2,81,13864,0,David,Roth,Dem,19534,1,70327,16480,0,Ray,Writz,CST,19796,3,64860,15766,0,Sierra,Law,Lib,19797,4,69621,16485,0,Scott,Cleveland,Clevelnd,Ind,19821,5,71537,16669,0,2022-11-09T04:00:13.484Z,
1667970637,2022-11-08 23:10:37 -0600,879713b6aae904f8cc55b1a8c3ce99346dd39ab3,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,S,U.S. Senate,Mike,Crapo,GOP,18399,81,13864,True,True,True,650000,99,141406,999384,True,20221108ID14055,2022-11-08,ID,18399,Mike,Crapo,True,GOP,18399,2,81,13864,0,David,Roth,Dem,19534,1,70327,16480,0,Ray,Writz,CST,19796,3,64860,15766,0,Sierra,Law,Lib,19797,4,69621,16485,0,Scott,Cleveland,Clevelnd,Ind,19821,5,71537,16669,0,2022-11-09T04:00:13.484Z,
1667971525,2022-11-08 23:25:25 -0600,8a3d225df35b90ad7577e78c738af67af6cd9c8b,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,S,U.S. Senate,Mike,Crapo,GOP,18399,81,13864,True,True,True,650000,99,194147,999384,True,20221108ID14055,2022-11-08,ID,18399,Mike,Crapo,True,GOP,18399,2,81,13864,0,David,Roth,Dem,19534,1,70327,16480,0,Ray,Writz,CST,19796,3,64860,15766,0,Sierra,Law,Lib,19797,4,69621,16485,0,Scott,Cleveland,Clevelnd,Ind,19821,5,71537,16669,0,2022-11-09T04:00:13.484Z,
1667972364,2022-11-08 23:39:24 -0600,bfe9cb466aa6b65574c16effa903cd993efd4fe0,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,S,U.S. Senate,Mike,Crapo,GOP,18399,81,13864,True,True,True,650000,99,216870,999384,True,20221108ID14055,2022-11-08,ID,18399,Mike,Crapo,True,GOP,18399,2,81,13864,0,David,Roth,Dem,19534,1,70327,16480,0,Ray,Writz,CST,19796,3,64860,15766,0,Sierra,Law,Lib,19797,4,69621,16485,0,Scott,Cleveland,Clevelnd,Ind,19821,5,71537,16669,0,2022-11-09T04:00:13.484Z,
