captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.46797.first,candidates.46797.last,candidates.46797.party,candidates.46797.candidateID,candidates.46797.ballotOrder,candidates.46797.polID,candidates.46797.polNum,candidates.46797.electWon,candidates.46798.first,candidates.46798.last,candidates.46798.party,candidates.46798.candidateID,candidates.46798.ballotOrder,candidates.46798.polID,candidates.46798.polNum,candidates.46798.electWon,candidates.46800.first,candidates.46800.last,candidates.46800.party,candidates.46800.candidateID,candidates.46800.ballotOrder,candidates.46800.polID,candidates.46800.polNum,candidates.46800.electWon,candidates.46801.first,candidates.46801.last,candidates.46801.party,candidates.46801.candidateID,candidates.46801.ballotOrder,candidates.46801.polID,candidates.46801.polNum,candidates.46801.electWon,candidates.46798.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,OK-20221108_Eday80,37,Special General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Jim,Inhofe,Inhofe,GOP,46802,1048,37018,True,True,True,Unexpired Term,2,1300000,99,0,2286039,True,20221108OK38620,2022-11-08,OK,Kendra,Horn,Dem,46797,3,67030,40768,0,Markwayne,Mullin,GOP,46798,2,62235,40123,0,Robert,Murphy,Lib,46800,1,1044,39973,0,Ray,Woods,Ind,46801,4,64021,40429,0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,OK-20221108_Eday80,37,Special General,G,Polls Closed/Waiting First Report,Called,S,U.S. Senate,Jim,Inhofe,Inhofe,GOP,46802,1048,37018,True,True,True,Unexpired Term,2,1300000,99,0,2286039,True,20221108OK38620,2022-11-08,OK,Kendra,Horn,Dem,46797,3,67030,40768,0,Markwayne,Mullin,GOP,46798,2,62235,40123,0,Robert,Murphy,Lib,46800,1,1044,39973,0,Ray,Woods,Ind,46801,4,64021,40429,0,2022-11-09T01:00:04.280Z
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,OK-20221108_Eday80,37,Special General,G,Active Tabulation,Called,S,U.S. Senate,Jim,Inhofe,Inhofe,GOP,46802,1048,37018,True,True,True,Unexpired Term,2,1300000,99,0,2286039,True,20221108OK38620,2022-11-08,OK,Kendra,Horn,Dem,46797,3,67030,40768,0,Markwayne,Mullin,GOP,46798,2,62235,40123,0,Robert,Murphy,Lib,46800,1,1044,39973,0,Ray,Woods,Ind,46801,4,64021,40429,0,2022-11-09T01:00:04.280Z
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,OK-20221108_Eday80,37,Special General,G,Active Tabulation,Called,S,U.S. Senate,Jim,Inhofe,Inhofe,GOP,46802,1048,37018,True,True,True,Unexpired Term,2,1300000,99,63878,2286039,True,20221108OK38620,2022-11-08,OK,Kendra,Horn,Dem,46797,3,67030,40768,0,Markwayne,Mullin,GOP,46798,2,62235,40123,0,Robert,Murphy,Lib,46800,1,1044,39973,0,Ray,Woods,Ind,46801,4,64021,40429,0,2022-11-09T01:00:04.280Z
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,OK-20221108_Eday80,37,Special General,G,Active Tabulation,Called,S,U.S. Senate,Jim,Inhofe,Inhofe,GOP,46802,1048,37018,True,True,True,Unexpired Term,2,1300000,99,242358,2286039,True,20221108OK38620,2022-11-08,OK,Kendra,Horn,Dem,46797,3,67030,40768,0,Markwayne,Mullin,GOP,46798,2,62235,40123,0,Robert,Murphy,Lib,46800,1,1044,39973,0,Ray,Woods,Ind,46801,4,64021,40429,0,2022-11-09T01:00:04.280Z
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,OK-20221108_Eday80,37,Special General,G,Active Tabulation,Called,S,U.S. Senate,Jim,Inhofe,Inhofe,GOP,46802,1048,37018,True,True,True,Unexpired Term,2,1300000,99,245286,2286039,True,20221108OK38620,2022-11-08,OK,Kendra,Horn,Dem,46797,3,67030,40768,0,Markwayne,Mullin,GOP,46798,2,62235,40123,0,Robert,Murphy,Lib,46800,1,1044,39973,0,Ray,Woods,Ind,46801,4,64021,40429,0,2022-11-09T01:00:04.280Z
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,OK-20221108_Eday80,37,Special General,G,Active Tabulation,Called,S,U.S. Senate,Jim,Inhofe,Inhofe,GOP,46802,1048,37018,True,True,True,Unexpired Term,2,1300000,99,543408,2286039,True,20221108OK38620,2022-11-08,OK,Kendra,Horn,Dem,46797,3,67030,40768,0,Markwayne,Mullin,GOP,46798,2,62235,40123,0,Robert,Murphy,Lib,46800,1,1044,39973,0,Ray,Woods,Ind,46801,4,64021,40429,0,2022-11-09T01:00:04.280Z
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,OK-20221108_Eday80,37,Special General,G,Active Tabulation,Called,S,U.S. Senate,Jim,Inhofe,Inhofe,GOP,46802,1048,37018,True,True,True,Unexpired Term,2,1300000,99,321286,2286039,True,20221108OK38620,2022-11-08,OK,Kendra,Horn,Dem,46797,3,67030,40768,0,Markwayne,Mullin,GOP,46798,2,62235,40123,0,Robert,Murphy,Lib,46800,1,1044,39973,0,Ray,Woods,Ind,46801,4,64021,40429,0,2022-11-09T01:00:04.280Z
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,OK-20221108_Eday80,37,Special General,G,Active Tabulation,Called,S,U.S. Senate,Jim,Inhofe,Inhofe,GOP,46802,1048,37018,True,True,True,Unexpired Term,2,1300000,99,641825,2286039,True,20221108OK38620,2022-11-08,OK,Kendra,Horn,Dem,46797,3,67030,40768,0,Markwayne,Mullin,GOP,46798,2,62235,40123,0,Robert,Murphy,Lib,46800,1,1044,39973,0,Ray,Woods,Ind,46801,4,64021,40429,0,2022-11-09T01:00:04.280Z
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,OK-20221108_Eday80,37,Special General,G,Active Tabulation,Called,S,U.S. Senate,Jim,Inhofe,Inhofe,GOP,46802,1048,37018,True,True,True,Unexpired Term,2,1300000,99,654356,2286039,True,20221108OK38620,2022-11-08,OK,Kendra,Horn,Dem,46797,3,67030,40768,0,Markwayne,Mullin,GOP,46798,2,62235,40123,0,Robert,Murphy,Lib,46800,1,1044,39973,0,Ray,Woods,Ind,46801,4,64021,40429,0,2022-11-09T01:00:04.280Z
