captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.28667.first,candidates.28667.last,candidates.28667.incumbent,candidates.28667.party,candidates.28667.candidateID,candidates.28667.ballotOrder,candidates.28667.polID,candidates.28667.polNum,candidates.28667.electWon,candidates.31051.first,candidates.31051.last,candidates.31051.abbrv,candidates.31051.party,candidates.31051.candidateID,candidates.31051.ballotOrder,candidates.31051.polID,candidates.31051.polNum,candidates.31051.electWon,candidates.31513.last,candidates.31513.abbrv,candidates.31513.party,candidates.31513.candidateID,candidates.31513.ballotOrder,candidates.31513.polID,candidates.31513.polNum,candidates.31513.electWon,candidates.28667.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,ME-20221108_Eday80,20,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Southwest,True,District 1,1,366823,99,0,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 1,1,366823,99,1387,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,ME-20221108_Eday80,20,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Southwest,True,District 1,1,366823,99,0,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 1,1,366823,99,1387,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 1,1,366823,99,18727,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 1,1,366823,99,19729,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 1,1,364305,99,46708,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 1,1,364305,99,52850,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 1,1,364305,99,61500,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 1,1,364099,99,72622,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 1,1,364099,99,81567,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 1,1,364099,99,97319,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 1,1,364099,99,120564,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 1,1,362592,99,128659,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 1,1,362592,99,130226,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,ME-20221108_Eday80,20,General,G,Active Tabulation,Called,H,U.S. House,Southwest,True,District 1,1,362592,99,139700,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,2022-11-09T04:16:22.562Z,
1667968451,2022-11-08 22:34:11 -0600,ec7c4c2fbdf80046dac3b25dd67b45de79385a9e,ME-20221108_Eday80,20,General,G,Active Tabulation,Called,H,U.S. House,Southwest,True,District 1,1,361870,99,181036,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,2022-11-09T04:16:22.562Z,
1667969248,2022-11-08 22:47:28 -0600,22d8758416ee8e5b986d6c680c79fc8b3c4bdaaf,ME-20221108_Eday80,20,General,G,Active Tabulation,Called,H,U.S. House,Southwest,True,District 1,1,361870,99,193990,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,2022-11-09T04:16:22.562Z,
1667970071,2022-11-08 23:01:11 -0600,dbae837cbbaf1f3aaf9390e6aaa3521af778ad97,ME-20221108_Eday80,20,General,G,Active Tabulation,Called,H,U.S. House,Southwest,True,District 1,1,361870,99,211336,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,2022-11-09T04:16:22.562Z,
1667970114,2022-11-08 23:01:54 -0600,68b6dbb0ab0b313af53b82f98636ce9a824bdc54,ME-20221108_Eday80,20,General,G,Active Tabulation,Called,H,U.S. House,Southwest,True,District 1,1,361870,99,203229,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,2022-11-09T04:16:22.562Z,
1667970156,2022-11-08 23:02:36 -0600,84ea53799ae0036a04ac85127e62d719394c963e,ME-20221108_Eday80,20,General,G,Active Tabulation,Called,H,U.S. House,Southwest,True,District 1,1,361870,99,211336,463929,True,20221108ME20644,2022-11-08,ME,28667,Chellie,Pingree,True,Dem,28667,1,59613,24400,0,Edwin,Thelander,Thelandr,GOP,31051,2,70433,26247,0,Total Write-Ins,TtlWrt-,Oth,31513,3,100008,26480,0,2022-11-09T04:16:22.562Z,
