captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.39140.first,candidates.39140.last,candidates.39140.party,candidates.39140.incumbent,candidates.39140.candidateID,candidates.39140.polID,candidates.39140.ballotOrder,candidates.39140.polNum,candidates.39140.electWon,candidates.39950.first,candidates.39950.last,candidates.39950.party,candidates.39950.candidateID,candidates.39950.polID,candidates.39950.ballotOrder,candidates.39950.polNum,candidates.39950.electWon,candidates.39991.first,candidates.39991.last,candidates.39991.abbrv,candidates.39991.party,candidates.39991.candidateID,candidates.39991.polID,candidates.39991.ballotOrder,candidates.39991.polNum,candidates.39991.electWon,candidates.39992.first,candidates.39992.last,candidates.39992.abbrv,candidates.39992.party,candidates.39992.candidateID,candidates.39992.polID,candidates.39992.ballotOrder,candidates.39992.polNum,candidates.39992.electWon,candidates.39140.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NJ-20221108_Eday62,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,397487,99,0,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NJ-20221108_Eday80,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,231598,99,0,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,NJ-20221108_Eday80,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,231598,90,0,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,NJ-20221108_Eday80,31,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 3,3,231598,90,0,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,231598,90,44779,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,231598,90,67602,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,231598,90,79522,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,231598,90,111490,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,231598,90,132094,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,231598,90,129072,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,231598,90,137818,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,231598,90,145278,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,231598,90,146565,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,243603,90,156708,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,243603,90,179233,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,243603,90,197947,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,276515,90,219199,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,2022-11-09T04:00:53.255Z
1667968047,2022-11-08 22:27:27 -0600,3febed665f84b6f0a9717d87750ee8049f50fab6,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,276515,90,221328,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,2022-11-09T04:00:53.255Z
1667974006,2022-11-09 00:06:46 -0600,c8cae7bec2b0c7f4ed9e9ca6a473abc069a1d034,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,278880,90,239619,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,2022-11-09T04:00:53.255Z
1667974809,2022-11-09 00:20:09 -0600,21e89b68838446570e2788596a6ed47ed4d95a07,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,250407,95,239619,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,2022-11-09T04:00:53.255Z
1667976467,2022-11-09 00:47:47 -0600,32bb8c730464b2ab549dbe977eea353741198772,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,252230,95,239619,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,2022-11-09T04:00:53.255Z
1668011402,2022-11-09 10:30:02 -0600,79774e919ed568526310afbb349c53e3e3446ed5,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,252230,95,239890,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,2022-11-09T04:00:53.255Z
1668032837,2022-11-09 16:27:17 -0600,3b73df2e12ddcbccd26f843d397a8fe2cd1528bf,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,252230,95,240008,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,2022-11-09T04:00:53.255Z
1668043856,2022-11-09 19:30:56 -0600,c97480a45186bd91a3cceb854e88993fe1b120a3,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,252230,95,223449,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,2022-11-09T04:00:53.255Z
1668090755,2022-11-10 08:32:35 -0600,5dc5255a6891dab3a1de91da50be9374aa224c6a,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,234800,95,223449,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,2022-11-09T04:00:53.255Z
1668175395,2022-11-11 08:03:15 -0600,2477e682a187043271c620aa6d81fb6e9f3ecdba,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,234800,95,224082,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,2022-11-09T04:00:53.255Z
1668454403,2022-11-14 13:33:23 -0600,928ec2905fc3f3c745ea5370bd014823d9c26d02,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,234800,95,226178,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,2022-11-09T04:00:53.255Z
1668467439,2022-11-14 17:10:39 -0600,f2621592bc0a8f35a99ebc3649a6083f5080ebcf,NJ-20221108_Eday80,31,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,234800,95,226418,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,2022-11-09T04:00:53.255Z
1668607188,2022-11-16 07:59:48 -0600,51b874ccfc2c9fcdc3f02cf76aa47ce313b48d6b,NJ-20221108_Eday80,31,General,G,Tabulation Paused,Called,H,U.S. House,True,District 3,3,234800,95,226418,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,2022-11-09T04:00:53.255Z
1669058017,2022-11-21 13:13:37 -0600,dafcc4cb46d39520dc2866752cd65d4a4170d3e9,NJ-20221108_Eday80,31,General,G,Tabulation Paused,Called,H,U.S. House,True,District 3,3,234800,95,234232,1040783,True,20221108NJ31216,2022-11-08,NJ,39140,Andy,Kim,Dem,True,39140,66838,1,35179,0,Bob,Healey,GOP,39950,70442,2,35537,0,Gregory,Sobocinski,Sobocnsk,Ind,39991,71519,4,35563,0,Christopher,Russomanno,Russomnn,Ind,39992,71520,3,35564,0,2022-11-09T04:00:53.255Z
