captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.86444.first,candidates.86444.last,candidates.86444.incumbent,candidates.86444.party,candidates.86444.candidateID,candidates.86444.ballotOrder,candidates.86444.polID,candidates.86444.polNum,candidates.86444.electWon,candidates.86743.first,candidates.86743.middle,candidates.86743.last,candidates.86743.abbrv,candidates.86743.party,candidates.86743.candidateID,candidates.86743.ballotOrder,candidates.86743.polID,candidates.86743.polNum,candidates.86743.electWon,candidates.87241.first,candidates.87241.last,candidates.87241.party,candidates.87241.candidateID,candidates.87241.ballotOrder,candidates.87241.polID,candidates.87241.polNum,candidates.87241.electWon,candidates.86444.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NY-20221108_Eday62,33,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 12,12,263336,99,0,12359054,True,20221108NY36592,2022-11-08,NY,86444,Jerrold,Nadler,True,Dem,86444,1,1525,49484,0.0,Michael,K.,Zumbluskas,Zmblsks,GOP,86743,2,34098,48546,0.0,Mikhail,Itkis,Oth,87241,6,71802,55767,0.0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NY-20221108_Eday80,33,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 12,12,263336,99,0,12359054,True,20221108NY36592,2022-11-08,NY,86444,Jerrold,Nadler,True,Dem,86444,1,1525,49484,0.0,Michael,K.,Zumbluskas,Zmblsks,GOP,86743,2,34098,48546,0.0,Mikhail,Itkis,Oth,87241,6,71802,55767,0.0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,263336,99,102200,12359054,True,20221108NY36592,2022-11-08,NY,86444,Jerrold,Nadler,True,Dem,86444,1,1525,49484,0.0,Michael,K.,Zumbluskas,Zmblsks,GOP,86743,2,34098,48546,0.0,Mikhail,Itkis,Oth,87241,6,71802,55767,0.0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 12,12,263336,99,118661,12359054,True,20221108NY36592,2022-11-08,NY,86444,Jerrold,Nadler,True,Dem,86444,1,1525,49484,0.0,Michael,K.,Zumbluskas,Zmblsks,GOP,86743,2,34098,48546,0.0,Mikhail,Itkis,Oth,87241,6,71802,55767,0.0,2022-11-09T02:11:49.911Z,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 12,12,263336,99,124762,12359054,True,20221108NY36592,2022-11-08,NY,86444,Jerrold,Nadler,True,Dem,86444,1,1525,49484,0.0,Michael,K.,Zumbluskas,Zmblsks,GOP,86743,2,34098,48546,0.0,Mikhail,Itkis,Oth,87241,6,71802,55767,0.0,2022-11-09T02:11:49.911Z,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 12,12,263336,99,118661,12359054,True,20221108NY36592,2022-11-08,NY,86444,Jerrold,Nadler,True,Dem,86444,1,1525,49484,0.0,Michael,K.,Zumbluskas,Zmblsks,GOP,86743,2,34098,48546,0.0,Mikhail,Itkis,Oth,87241,6,71802,55767,0.0,2022-11-09T02:11:49.911Z,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 12,12,263336,99,143964,12359054,True,20221108NY36592,2022-11-08,NY,86444,Jerrold,Nadler,True,Dem,86444,1,1525,49484,0.0,Michael,K.,Zumbluskas,Zmblsks,GOP,86743,2,34098,48546,0.0,Mikhail,Itkis,Oth,87241,6,71802,55767,0.0,2022-11-09T02:11:49.911Z,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 12,12,263336,99,154971,12359054,True,20221108NY36592,2022-11-08,NY,86444,Jerrold,Nadler,True,Dem,86444,1,1525,49484,0.0,Michael,K.,Zumbluskas,Zmblsks,GOP,86743,2,34098,48546,0.0,Mikhail,Itkis,Oth,87241,6,71802,55767,0.0,2022-11-09T02:11:49.911Z,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 12,12,263336,99,190196,12359054,True,20221108NY36592,2022-11-08,NY,86444,Jerrold,Nadler,True,Dem,86444,1,1525,49484,0.0,Michael,K.,Zumbluskas,Zmblsks,GOP,86743,2,34098,48546,0.0,Mikhail,Itkis,Oth,87241,6,71802,55767,0.0,2022-11-09T02:11:49.911Z,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 12,12,263336,99,210910,12359054,True,20221108NY36592,2022-11-08,NY,86444,Jerrold,Nadler,True,Dem,86444,1,1525,49484,0.0,Michael,K.,Zumbluskas,Zmblsks,GOP,86743,2,34098,48546,0.0,Mikhail,Itkis,Oth,87241,6,71802,55767,0.0,2022-11-09T02:11:49.911Z,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 12,12,263336,99,213721,12359054,True,20221108NY36592,2022-11-08,NY,86444,Jerrold,Nadler,True,Dem,86444,1,1525,49484,0.0,Michael,K.,Zumbluskas,Zmblsks,GOP,86743,2,34098,48546,0.0,Mikhail,Itkis,Oth,87241,6,71802,55767,0.0,2022-11-09T02:11:49.911Z,
