captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.29237.first,candidates.29237.last,candidates.29237.party,candidates.29237.candidateID,candidates.29237.ballotOrder,candidates.29237.polID,candidates.29237.polNum,candidates.29237.electWon,candidates.29238.first,candidates.29238.last,candidates.29238.party,candidates.29238.candidateID,candidates.29238.ballotOrder,candidates.29238.polID,candidates.29238.polNum,candidates.29238.electWon,candidates.29238.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,IL-20221108_Eday80,14,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,219625,99,0,806858,True,20221108IL15992,2022-11-08,IL,Justin,Burau,GOP,29237,1,71072,23014,0,Delia,Ramirez,Dem,29238,2,71076,22495,0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,IL-20221108_Eday80,14,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 3,3,219625,99,0,806858,True,20221108IL15992,2022-11-08,IL,Justin,Burau,GOP,29237,1,71072,23014,0,Delia,Ramirez,Dem,29238,2,71076,22495,0,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,219625,99,1183,806858,True,20221108IL15992,2022-11-08,IL,Justin,Burau,GOP,29237,1,71072,23014,0,Delia,Ramirez,Dem,29238,2,71076,22495,0,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,219625,99,0,806858,True,20221108IL15992,2022-11-08,IL,Justin,Burau,GOP,29237,1,71072,23014,0,Delia,Ramirez,Dem,29238,2,71076,22495,0,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,219625,99,3061,806858,True,20221108IL15992,2022-11-08,IL,Justin,Burau,GOP,29237,1,71072,23014,0,Delia,Ramirez,Dem,29238,2,71076,22495,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,219625,99,23316,806858,True,20221108IL15992,2022-11-08,IL,Justin,Burau,GOP,29237,1,71072,23014,0,Delia,Ramirez,Dem,29238,2,71076,22495,0,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,219625,99,38099,806858,True,20221108IL15992,2022-11-08,IL,Justin,Burau,GOP,29237,1,71072,23014,0,Delia,Ramirez,Dem,29238,2,71076,22495,0,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,219625,99,47003,806858,True,20221108IL15992,2022-11-08,IL,Justin,Burau,GOP,29237,1,71072,23014,0,Delia,Ramirez,Dem,29238,2,71076,22495,0,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,219625,99,68652,806858,True,20221108IL15992,2022-11-08,IL,Justin,Burau,GOP,29237,1,71072,23014,0,Delia,Ramirez,Dem,29238,2,71076,22495,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,219625,99,74096,806858,True,20221108IL15992,2022-11-08,IL,Justin,Burau,GOP,29237,1,71072,23014,0,Delia,Ramirez,Dem,29238,2,71076,22495,0,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,219625,99,152546,806858,True,20221108IL15992,2022-11-08,IL,Justin,Burau,GOP,29237,1,71072,23014,0,Delia,Ramirez,Dem,29238,2,71076,22495,0,
1667968406,2022-11-08 22:33:26 -0600,9894c9990b429281fa1911dc561355d202f43cc4,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,219625,99,152546,806858,True,20221108IL15992,2022-11-08,IL,Justin,Burau,GOP,29237,1,71072,23014,0,Delia,Ramirez,Dem,29238,2,71076,22495,0,2022-11-09T04:20:29.170Z
1667970071,2022-11-08 23:01:11 -0600,dbae837cbbaf1f3aaf9390e6aaa3521af778ad97,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,219625,99,162717,806858,True,20221108IL15992,2022-11-08,IL,Justin,Burau,GOP,29237,1,71072,23014,0,Delia,Ramirez,Dem,29238,2,71076,22495,0,2022-11-09T04:20:29.170Z
1667971785,2022-11-08 23:29:45 -0600,0263826aefa5e72057a0aaa213c232b6c0eefa0d,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,219625,99,163457,806858,True,20221108IL15992,2022-11-08,IL,Justin,Burau,GOP,29237,1,71072,23014,0,Delia,Ramirez,Dem,29238,2,71076,22495,0,2022-11-09T04:20:29.170Z
1667984243,2022-11-09 02:57:23 -0600,7115c058bcd3ff51a93d48244a4b79656d48a186,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,172060,99,163457,806858,True,20221108IL15992,2022-11-08,IL,Justin,Burau,GOP,29237,1,71072,23014,0,Delia,Ramirez,Dem,29238,2,71076,22495,0,2022-11-09T04:20:29.170Z
1668035854,2022-11-09 17:17:34 -0600,67a71f79ab753d9621c8b551c12dff1582b6ed5d,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,169496,99,163457,806858,True,20221108IL15992,2022-11-08,IL,Justin,Burau,GOP,29237,1,71072,23014,0,Delia,Ramirez,Dem,29238,2,71076,22495,0,2022-11-09T04:20:29.170Z
1668042719,2022-11-09 19:11:59 -0600,29ad5c8d6272d8bdb962ccb50585abf935482dfd,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,169496,99,163615,806858,True,20221108IL15992,2022-11-08,IL,Justin,Burau,GOP,29237,1,71072,23014,0,Delia,Ramirez,Dem,29238,2,71076,22495,0,2022-11-09T04:20:29.170Z
