captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.44889.first,candidates.44889.last,candidates.44889.party,candidates.44889.incumbent,candidates.44889.candidateID,candidates.44889.polID,candidates.44889.ballotOrder,candidates.44889.polNum,candidates.44889.electWon,candidates.45597.first,candidates.45597.last,candidates.45597.party,candidates.45597.candidateID,candidates.45597.polID,candidates.45597.ballotOrder,candidates.45597.polNum,candidates.45597.electWon,candidates.45953.first,candidates.45953.last,candidates.45953.abbrv,candidates.45953.party,candidates.45953.candidateID,candidates.45953.polID,candidates.45953.ballotOrder,candidates.45953.polNum,candidates.45953.electWon,candidates.44889.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NC-20221108_Eday62,34,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 6,6,273702,99,0,1091707,True,20221108NC35389,2022-11-08,NC,44889,Kathy,Manning,Dem,True,44889,66336,2,38425,0,Christian,Castelli,GOP,45597,70266,1,38819,0,Thomas,Watercott,Waterctt,Lib,45953,71379,3,39048,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NC-20221108_Eday80,34,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 6,6,310718,99,0,1091707,True,20221108NC35389,2022-11-08,NC,44889,Kathy,Manning,Dem,True,44889,66336,2,38425,0,Christian,Castelli,GOP,45597,70266,1,38819,0,Thomas,Watercott,Waterctt,Lib,45953,71379,3,39048,0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,310718,99,0,1091707,True,20221108NC35389,2022-11-08,NC,44889,Kathy,Manning,Dem,True,44889,66336,2,38425,0,Christian,Castelli,GOP,45597,70266,1,38819,0,Thomas,Watercott,Waterctt,Lib,45953,71379,3,39048,0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,310718,99,40154,1091707,True,20221108NC35389,2022-11-08,NC,44889,Kathy,Manning,Dem,True,44889,66336,2,38425,0,Christian,Castelli,GOP,45597,70266,1,38819,0,Thomas,Watercott,Waterctt,Lib,45953,71379,3,39048,0,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,310718,99,21823,1091707,True,20221108NC35389,2022-11-08,NC,44889,Kathy,Manning,Dem,True,44889,66336,2,38425,0,Christian,Castelli,GOP,45597,70266,1,38819,0,Thomas,Watercott,Waterctt,Lib,45953,71379,3,39048,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,310718,99,40154,1091707,True,20221108NC35389,2022-11-08,NC,44889,Kathy,Manning,Dem,True,44889,66336,2,38425,0,Christian,Castelli,GOP,45597,70266,1,38819,0,Thomas,Watercott,Waterctt,Lib,45953,71379,3,39048,0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,310718,99,146890,1091707,True,20221108NC35389,2022-11-08,NC,44889,Kathy,Manning,Dem,True,44889,66336,2,38425,0,Christian,Castelli,GOP,45597,70266,1,38819,0,Thomas,Watercott,Waterctt,Lib,45953,71379,3,39048,0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,310718,99,148318,1091707,True,20221108NC35389,2022-11-08,NC,44889,Kathy,Manning,Dem,True,44889,66336,2,38425,0,Christian,Castelli,GOP,45597,70266,1,38819,0,Thomas,Watercott,Waterctt,Lib,45953,71379,3,39048,0,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,310718,99,151953,1091707,True,20221108NC35389,2022-11-08,NC,44889,Kathy,Manning,Dem,True,44889,66336,2,38425,0,Christian,Castelli,GOP,45597,70266,1,38819,0,Thomas,Watercott,Waterctt,Lib,45953,71379,3,39048,0,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,310718,99,155198,1091707,True,20221108NC35389,2022-11-08,NC,44889,Kathy,Manning,Dem,True,44889,66336,2,38425,0,Christian,Castelli,GOP,45597,70266,1,38819,0,Thomas,Watercott,Waterctt,Lib,45953,71379,3,39048,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,310718,99,163849,1091707,True,20221108NC35389,2022-11-08,NC,44889,Kathy,Manning,Dem,True,44889,66336,2,38425,0,Christian,Castelli,GOP,45597,70266,1,38819,0,Thomas,Watercott,Waterctt,Lib,45953,71379,3,39048,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,310718,99,169625,1091707,True,20221108NC35389,2022-11-08,NC,44889,Kathy,Manning,Dem,True,44889,66336,2,38425,0,Christian,Castelli,GOP,45597,70266,1,38819,0,Thomas,Watercott,Waterctt,Lib,45953,71379,3,39048,0,,
