captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.62031.first,candidates.62031.last,candidates.62031.abbrv,candidates.62031.party,candidates.62031.incumbent,candidates.62031.candidateID,candidates.62031.polID,candidates.62031.ballotOrder,candidates.62031.polNum,candidates.62031.electWon,candidates.62965.first,candidates.62965.last,candidates.62965.abbrv,candidates.62965.party,candidates.62965.candidateID,candidates.62965.polID,candidates.62965.ballotOrder,candidates.62965.polNum,candidates.62965.electWon,candidates.62031.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TX-20221108_Eday62,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,N Dallas/Ft. Worth subs,True,District 24,24,430953,99,0,993757,True,20221108TX45894,2022-11-08,TX,62031,Beth,Van Duyne,VanDuyne,GOP,True,62031,68157,2,52557,0,Jan,McDowell,McDowel,Dem,62965,64635,1,51637,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,N Dallas/Ft. Worth subs,True,District 24,24,289685,99,0,993757,True,20221108TX45894,2022-11-08,TX,62031,Beth,Van Duyne,VanDuyne,GOP,True,62031,68157,2,52557,0,Jan,McDowell,McDowel,Dem,62965,64635,1,51637,0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,N Dallas/Ft. Worth subs,True,District 24,24,289685,99,212651,993757,True,20221108TX45894,2022-11-08,TX,62031,Beth,Van Duyne,VanDuyne,GOP,True,62031,68157,2,52557,0,Jan,McDowell,McDowel,Dem,62965,64635,1,51637,0,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,N Dallas/Ft. Worth subs,True,District 24,24,289685,99,216903,993757,True,20221108TX45894,2022-11-08,TX,62031,Beth,Van Duyne,VanDuyne,GOP,True,62031,68157,2,52557,0,Jan,McDowell,McDowel,Dem,62965,64635,1,51637,0,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,N Dallas/Ft. Worth subs,True,District 24,24,289685,99,217604,993757,True,20221108TX45894,2022-11-08,TX,62031,Beth,Van Duyne,VanDuyne,GOP,True,62031,68157,2,52557,0,Jan,McDowell,McDowel,Dem,62965,64635,1,51637,0,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,N Dallas/Ft. Worth subs,True,District 24,24,289685,99,233055,993757,True,20221108TX45894,2022-11-08,TX,62031,Beth,Van Duyne,VanDuyne,GOP,True,62031,68157,2,52557,0,Jan,McDowell,McDowel,Dem,62965,64635,1,51637,0,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,N Dallas/Ft. Worth subs,True,District 24,24,289685,99,235624,993757,True,20221108TX45894,2022-11-08,TX,62031,Beth,Van Duyne,VanDuyne,GOP,True,62031,68157,2,52557,0,Jan,McDowell,McDowel,Dem,62965,64635,1,51637,0,
1667969636,2022-11-08 22:53:56 -0600,343edcc3a5440ed7e985b5b1b439acfe9dc3a7bb,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,N Dallas/Ft. Worth subs,True,District 24,24,289685,99,235624,993757,True,20221108TX45894,2022-11-08,TX,62031,Beth,Van Duyne,VanDuyne,GOP,True,62031,68157,2,52557,0,Jan,McDowell,McDowel,Dem,62965,64635,1,51637,0,2022-11-09T04:48:04.552Z
1667970415,2022-11-08 23:06:55 -0600,f1d4e9736f94ffa7aa7ebd5da07699c9a419c5df,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,N Dallas/Ft. Worth subs,True,District 24,24,289685,99,269796,993757,True,20221108TX45894,2022-11-08,TX,62031,Beth,Van Duyne,VanDuyne,GOP,True,62031,68157,2,52557,0,Jan,McDowell,McDowel,Dem,62965,64635,1,51637,0,2022-11-09T04:48:04.552Z
1667972176,2022-11-08 23:36:16 -0600,a6fd708cc30eea79171ae74711d81685981a53ab,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,N Dallas/Ft. Worth subs,True,District 24,24,303760,99,269796,993757,True,20221108TX45894,2022-11-08,TX,62031,Beth,Van Duyne,VanDuyne,GOP,True,62031,68157,2,52557,0,Jan,McDowell,McDowel,Dem,62965,64635,1,51637,0,2022-11-09T04:48:04.552Z
