captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.38611.first,candidates.38611.last,candidates.38611.abbrv,candidates.38611.party,candidates.38611.incumbent,candidates.38611.candidateID,candidates.38611.polID,candidates.38611.ballotOrder,candidates.38611.polNum,candidates.38611.electWon,candidates.39957.first,candidates.39957.last,candidates.39957.party,candidates.39957.candidateID,candidates.39957.polID,candidates.39957.ballotOrder,candidates.39957.polNum,candidates.39957.electWon,candidates.39997.first,candidates.39997.last,candidates.39997.party,candidates.39997.candidateID,candidates.39997.polID,candidates.39997.ballotOrder,candidates.39997.polNum,candidates.39997.electWon,candidates.39998.first,candidates.39998.last,candidates.39998.party,candidates.39998.candidateID,candidates.39998.polID,candidates.39998.ballotOrder,candidates.39998.polNum,candidates.39998.electWon,candidates.40000.first,candidates.40000.last,candidates.40000.party,candidates.40000.candidateID,candidates.40000.polID,candidates.40000.ballotOrder,candidates.40000.polNum,candidates.40000.electWon,candidates.38611.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NJ-20221108_Eday62,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,391529,99,0,908708,True,20221108NJ31211,2022-11-08,NJ,38611,Josh,Gottheimer,Gotthmr,Dem,True,38611,65116,1,34914,0,Frank,Pallotta,GOP,39957,69139,2,35349,0,Louis,Vellucci,Ind,39997,69485,5,35376,0,Jeremy,Marcus,Ind,39998,65359,4,34935,0,Trevor,Ferrigno,Ind,40000,71523,3,35569,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NJ-20221108_Eday80,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,215541,99,0,908708,True,20221108NJ31211,2022-11-08,NJ,38611,Josh,Gottheimer,Gotthmr,Dem,True,38611,65116,1,34914,0,Frank,Pallotta,GOP,39957,69139,2,35349,0,Louis,Vellucci,Ind,39997,69485,5,35376,0,Jeremy,Marcus,Ind,39998,65359,4,34935,0,Trevor,Ferrigno,Ind,40000,71523,3,35569,0,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,NJ-20221108_Eday80,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,215541,90,0,908708,True,20221108NJ31211,2022-11-08,NJ,38611,Josh,Gottheimer,Gotthmr,Dem,True,38611,65116,1,34914,0,Frank,Pallotta,GOP,39957,69139,2,35349,0,Louis,Vellucci,Ind,39997,69485,5,35376,0,Jeremy,Marcus,Ind,39998,65359,4,34935,0,Trevor,Ferrigno,Ind,40000,71523,3,35569,0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,NJ-20221108_Eday80,31,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 5,5,215541,90,0,908708,True,20221108NJ31211,2022-11-08,NJ,38611,Josh,Gottheimer,Gotthmr,Dem,True,38611,65116,1,34914,0,Frank,Pallotta,GOP,39957,69139,2,35349,0,Louis,Vellucci,Ind,39997,69485,5,35376,0,Jeremy,Marcus,Ind,39998,65359,4,34935,0,Trevor,Ferrigno,Ind,40000,71523,3,35569,0,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,215541,90,5164,908708,True,20221108NJ31211,2022-11-08,NJ,38611,Josh,Gottheimer,Gotthmr,Dem,True,38611,65116,1,34914,0,Frank,Pallotta,GOP,39957,69139,2,35349,0,Louis,Vellucci,Ind,39997,69485,5,35376,0,Jeremy,Marcus,Ind,39998,65359,4,34935,0,Trevor,Ferrigno,Ind,40000,71523,3,35569,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,215541,90,40123,908708,True,20221108NJ31211,2022-11-08,NJ,38611,Josh,Gottheimer,Gotthmr,Dem,True,38611,65116,1,34914,0,Frank,Pallotta,GOP,39957,69139,2,35349,0,Louis,Vellucci,Ind,39997,69485,5,35376,0,Jeremy,Marcus,Ind,39998,65359,4,34935,0,Trevor,Ferrigno,Ind,40000,71523,3,35569,0,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,215541,90,45972,908708,True,20221108NJ31211,2022-11-08,NJ,38611,Josh,Gottheimer,Gotthmr,Dem,True,38611,65116,1,34914,0,Frank,Pallotta,GOP,39957,69139,2,35349,0,Louis,Vellucci,Ind,39997,69485,5,35376,0,Jeremy,Marcus,Ind,39998,65359,4,34935,0,Trevor,Ferrigno,Ind,40000,71523,3,35569,0,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,215541,90,61686,908708,True,20221108NJ31211,2022-11-08,NJ,38611,Josh,Gottheimer,Gotthmr,Dem,True,38611,65116,1,34914,0,Frank,Pallotta,GOP,39957,69139,2,35349,0,Louis,Vellucci,Ind,39997,69485,5,35376,0,Jeremy,Marcus,Ind,39998,65359,4,34935,0,Trevor,Ferrigno,Ind,40000,71523,3,35569,0,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,215541,90,89448,908708,True,20221108NJ31211,2022-11-08,NJ,38611,Josh,Gottheimer,Gotthmr,Dem,True,38611,65116,1,34914,0,Frank,Pallotta,GOP,39957,69139,2,35349,0,Louis,Vellucci,Ind,39997,69485,5,35376,0,Jeremy,Marcus,Ind,39998,65359,4,34935,0,Trevor,Ferrigno,Ind,40000,71523,3,35569,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,215541,90,91595,908708,True,20221108NJ31211,2022-11-08,NJ,38611,Josh,Gottheimer,Gotthmr,Dem,True,38611,65116,1,34914,0,Frank,Pallotta,GOP,39957,69139,2,35349,0,Louis,Vellucci,Ind,39997,69485,5,35376,0,Jeremy,Marcus,Ind,39998,65359,4,34935,0,Trevor,Ferrigno,Ind,40000,71523,3,35569,0,
