captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.60811.first,candidates.60811.last,candidates.60811.party,candidates.60811.incumbent,candidates.60811.candidateID,candidates.60811.polID,candidates.60811.ballotOrder,candidates.60811.polNum,candidates.60811.electWon,candidates.62884.first,candidates.62884.last,candidates.62884.abbrv,candidates.62884.party,candidates.62884.candidateID,candidates.62884.polID,candidates.62884.ballotOrder,candidates.62884.polNum,candidates.62884.electWon,candidates.60811.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TX-20221108_Eday62,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,East Houston & subs,True,District 29,29,224023,99,0,729977,True,20221108TX45899,2022-11-08,TX,60811,Sylvia,Garcia,Dem,True,60811,42158,1,51265,0,Robert,Schafranek,Schafrnk,GOP,62884,64645,2,51771,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,East Houston & subs,True,District 29,29,200776,99,0,729977,True,20221108TX45899,2022-11-08,TX,60811,Sylvia,Garcia,Dem,True,60811,42158,1,51265,0,Robert,Schafranek,Schafrnk,GOP,62884,64645,2,51771,0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,East Houston & subs,True,District 29,29,200776,99,0,729977,True,20221108TX45899,2022-11-08,TX,60811,Sylvia,Garcia,Dem,True,60811,42158,1,51265,0,Robert,Schafranek,Schafrnk,GOP,62884,64645,2,51771,0,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,East Houston & subs,True,District 29,29,200776,99,0,729977,True,20221108TX45899,2022-11-08,TX,60811,Sylvia,Garcia,Dem,True,60811,42158,1,51265,0,Robert,Schafranek,Schafrnk,GOP,62884,64645,2,51771,0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,East Houston & subs,True,District 29,29,200776,99,0,729977,True,20221108TX45899,2022-11-08,TX,60811,Sylvia,Garcia,Dem,True,60811,42158,1,51265,0,Robert,Schafranek,Schafrnk,GOP,62884,64645,2,51771,0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,East Houston & subs,True,District 29,29,200776,99,3738,729977,True,20221108TX45899,2022-11-08,TX,60811,Sylvia,Garcia,Dem,True,60811,42158,1,51265,0,Robert,Schafranek,Schafrnk,GOP,62884,64645,2,51771,0,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,East Houston & subs,True,District 29,29,200776,99,61283,729977,True,20221108TX45899,2022-11-08,TX,60811,Sylvia,Garcia,Dem,True,60811,42158,1,51265,0,Robert,Schafranek,Schafrnk,GOP,62884,64645,2,51771,0,,
1667970027,2022-11-08 23:00:27 -0600,0d3c5c12e1d5e510cd8a9d7ec7188e7376d3702a,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,East Houston & subs,True,District 29,29,200776,99,61746,729977,True,20221108TX45899,2022-11-08,TX,60811,Sylvia,Garcia,Dem,True,60811,42158,1,51265,0,Robert,Schafranek,Schafrnk,GOP,62884,64645,2,51771,0,2022-11-09T04:48:09.946Z,
1667970114,2022-11-08 23:01:54 -0600,68b6dbb0ab0b313af53b82f98636ce9a824bdc54,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,East Houston & subs,True,District 29,29,200776,99,61283,729977,True,20221108TX45899,2022-11-08,TX,60811,Sylvia,Garcia,Dem,True,60811,42158,1,51265,0,Robert,Schafranek,Schafrnk,GOP,62884,64645,2,51771,0,,
1667970156,2022-11-08 23:02:36 -0600,84ea53799ae0036a04ac85127e62d719394c963e,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,East Houston & subs,True,District 29,29,200776,99,61746,729977,True,20221108TX45899,2022-11-08,TX,60811,Sylvia,Garcia,Dem,True,60811,42158,1,51265,0,Robert,Schafranek,Schafrnk,GOP,62884,64645,2,51771,0,2022-11-09T04:48:09.946Z,
