captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.9501.first,candidates.9501.last,candidates.9501.party,candidates.9501.candidateID,candidates.9501.ballotOrder,candidates.9501.polID,candidates.9501.polNum,candidates.9501.electWon,candidates.9502.first,candidates.9502.last,candidates.9502.abbrv,candidates.9502.party,candidates.9502.candidateID,candidates.9502.ballotOrder,candidates.9502.polID,candidates.9502.polNum,candidates.9502.electWon,candidates.9502.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,WA-20221108_Eday80,48,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Southwest,True,District 3,3,295783,99,0,991108,True,20221108WA48009,2022-11-08,WA,Joe,Kent,GOP,9501,2,71013,52324,0.0,Marie,Gluesenkamp Perez,Glsnkmp,Dem,9502,1,71012,52320,0.0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,WA-20221108_Eday80,48,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Southwest,True,District 3,3,295783,70,0,991108,True,20221108WA48009,2022-11-08,WA,Joe,Kent,GOP,9501,2,71013,52324,0.0,Marie,Gluesenkamp Perez,Glsnkmp,Dem,9502,1,71012,52320,0.0,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,WA-20221108_Eday80,48,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,Southwest,True,District 3,3,295783,70,0,991108,True,20221108WA48009,2022-11-08,WA,Joe,Kent,GOP,9501,2,71013,52324,0.0,Marie,Gluesenkamp Perez,Glsnkmp,Dem,9502,1,71012,52320,0.0,,
1667967905,2022-11-08 22:25:05 -0600,7b53fc8cb8c53477e9f4fecf82fac92988ee5275,WA-20221108_Eday80,48,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 3,3,295783,70,187915,991108,True,20221108WA48009,2022-11-08,WA,Joe,Kent,GOP,9501,2,71013,52324,0.0,Marie,Gluesenkamp Perez,Glsnkmp,Dem,9502,1,71012,52320,0.0,,
1667968622,2022-11-08 22:37:02 -0600,e74479d04a2cbc206da9d05d88b7661e84a5267c,WA-20221108_Eday80,48,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 3,3,292652,70,190005,991108,True,20221108WA48009,2022-11-08,WA,Joe,Kent,GOP,9501,2,71013,52324,0.0,Marie,Gluesenkamp Perez,Glsnkmp,Dem,9502,1,71012,52320,0.0,,
1668034964,2022-11-09 17:02:44 -0600,308dbe4b1666d6ce0e9127d06715884fb73b066d,WA-20221108_Eday80,48,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 3,3,292652,70,190735,991108,True,20221108WA48009,2022-11-08,WA,Joe,Kent,GOP,9501,2,71013,52324,0.0,Marie,Gluesenkamp Perez,Glsnkmp,Dem,9502,1,71012,52320,0.0,,
1668040749,2022-11-09 18:39:09 -0600,1ba624ecb550eca7a59ba78196b3f72a5d630287,WA-20221108_Eday80,48,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 3,3,292652,70,194348,991108,True,20221108WA48009,2022-11-08,WA,Joe,Kent,GOP,9501,2,71013,52324,0.0,Marie,Gluesenkamp Perez,Glsnkmp,Dem,9502,1,71012,52320,0.0,,
1668044064,2022-11-09 19:34:24 -0600,b9322e8334ebe349a5a26ba1456322c8128f5613,WA-20221108_Eday80,48,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 3,3,292652,70,212193,991108,True,20221108WA48009,2022-11-08,WA,Joe,Kent,GOP,9501,2,71013,52324,0.0,Marie,Gluesenkamp Perez,Glsnkmp,Dem,9502,1,71012,52320,0.0,,
1668045714,2022-11-09 20:01:54 -0600,a3c9175d55db1dab7dd88ded51ed1f7b709a5965,WA-20221108_Eday80,48,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 3,3,292652,70,212834,991108,True,20221108WA48009,2022-11-08,WA,Joe,Kent,GOP,9501,2,71013,52324,0.0,Marie,Gluesenkamp Perez,Glsnkmp,Dem,9502,1,71012,52320,0.0,,
1668049828,2022-11-09 21:10:28 -0600,931a82d88fc02659900459340c8bce8785209c37,WA-20221108_Eday80,48,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 3,3,292652,70,219077,991108,True,20221108WA48009,2022-11-08,WA,Joe,Kent,GOP,9501,2,71013,52324,0.0,Marie,Gluesenkamp Perez,Glsnkmp,Dem,9502,1,71012,52320,0.0,,
1668098040,2022-11-10 10:34:00 -0600,cd80792ac7e84573e99210f01259a526a05d5ed9,WA-20221108_Eday80,48,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 3,3,332942,70,219077,991108,True,20221108WA48009,2022-11-08,WA,Joe,Kent,GOP,9501,2,71013,52324,0.0,Marie,Gluesenkamp Perez,Glsnkmp,Dem,9502,1,71012,52320,0.0,,
1668098883,2022-11-10 10:48:03 -0600,7b07abde7057e64bff52516b1c1bf796c48fd089,WA-20221108_Eday80,48,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 3,3,329293,70,219077,991108,True,20221108WA48009,2022-11-08,WA,Joe,Kent,GOP,9501,2,71013,52324,0.0,Marie,Gluesenkamp Perez,Glsnkmp,Dem,9502,1,71012,52320,0.0,,
1668108806,2022-11-10 13:33:26 -0600,df37e1af72f523f6a9fbcac07ed647315e8f7929,WA-20221108_Eday80,48,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 3,3,329293,70,219459,991108,True,20221108WA48009,2022-11-08,WA,Joe,Kent,GOP,9501,2,71013,52324,0.0,Marie,Gluesenkamp Perez,Glsnkmp,Dem,9502,1,71012,52320,0.0,,
1668116895,2022-11-10 15:48:15 -0600,3902eb526b8b528d0ef207529b94f28cf7f5f5e0,WA-20221108_Eday80,48,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 3,3,329293,70,219824,991108,True,20221108WA48009,2022-11-08,WA,Joe,Kent,GOP,9501,2,71013,52324,0.0,Marie,Gluesenkamp Perez,Glsnkmp,Dem,9502,1,71012,52320,0.0,,
1668128887,2022-11-10 19:08:07 -0600,db49610b5e3054cf56a221c4ff20ec7d505b8569,WA-20221108_Eday80,48,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Southwest,True,District 3,3,329293,70,225523,991108,True,20221108WA48009,2022-11-08,WA,Joe,Kent,GOP,9501,2,71013,52324,0.0,Marie,Gluesenkamp Perez,Glsnkmp,Dem,9502,1,71012,52320,0.0,,
