captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.39150.first,candidates.39150.last,candidates.39150.abbrv,candidates.39150.party,candidates.39150.incumbent,candidates.39150.candidateID,candidates.39150.polID,candidates.39150.ballotOrder,candidates.39150.polNum,candidates.39150.electWon,candidates.39965.first,candidates.39965.last,candidates.39965.abbrv,candidates.39965.party,candidates.39965.candidateID,candidates.39965.polID,candidates.39965.ballotOrder,candidates.39965.polNum,candidates.39965.electWon,candidates.39965.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NJ-20221108_Eday62,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 7,7,454928,99,0,1201130,True,20221108NJ31218,2022-11-08,NJ,39150,Tom,Malinowski,Malnwsk,Dem,True,39150,66843,1,35184,0,Thomas,Kean Jr.,KeanJr,GOP,39965,56741,2,33198,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NJ-20221108_Eday80,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 7,7,250302,99,0,1201130,True,20221108NJ31218,2022-11-08,NJ,39150,Tom,Malinowski,Malnwsk,Dem,True,39150,66843,1,35184,0,Thomas,Kean Jr.,KeanJr,GOP,39965,56741,2,33198,0,,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,NJ-20221108_Eday80,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 7,7,250302,90,0,1201130,True,20221108NJ31218,2022-11-08,NJ,39150,Tom,Malinowski,Malnwsk,Dem,True,39150,66843,1,35184,0,Thomas,Kean Jr.,KeanJr,GOP,39965,56741,2,33198,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,NJ-20221108_Eday80,31,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 7,7,250302,90,0,1201130,True,20221108NJ31218,2022-11-08,NJ,39150,Tom,Malinowski,Malnwsk,Dem,True,39150,66843,1,35184,0,Thomas,Kean Jr.,KeanJr,GOP,39965,56741,2,33198,0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,250302,90,18707,1201130,True,20221108NJ31218,2022-11-08,NJ,39150,Tom,Malinowski,Malnwsk,Dem,True,39150,66843,1,35184,0,Thomas,Kean Jr.,KeanJr,GOP,39965,56741,2,33198,0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,250302,90,28475,1201130,True,20221108NJ31218,2022-11-08,NJ,39150,Tom,Malinowski,Malnwsk,Dem,True,39150,66843,1,35184,0,Thomas,Kean Jr.,KeanJr,GOP,39965,56741,2,33198,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,250302,90,32978,1201130,True,20221108NJ31218,2022-11-08,NJ,39150,Tom,Malinowski,Malnwsk,Dem,True,39150,66843,1,35184,0,Thomas,Kean Jr.,KeanJr,GOP,39965,56741,2,33198,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,250302,90,38810,1201130,True,20221108NJ31218,2022-11-08,NJ,39150,Tom,Malinowski,Malnwsk,Dem,True,39150,66843,1,35184,0,Thomas,Kean Jr.,KeanJr,GOP,39965,56741,2,33198,0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,250302,90,32978,1201130,True,20221108NJ31218,2022-11-08,NJ,39150,Tom,Malinowski,Malnwsk,Dem,True,39150,66843,1,35184,0,Thomas,Kean Jr.,KeanJr,GOP,39965,56741,2,33198,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,250302,90,53430,1201130,True,20221108NJ31218,2022-11-08,NJ,39150,Tom,Malinowski,Malnwsk,Dem,True,39150,66843,1,35184,0,Thomas,Kean Jr.,KeanJr,GOP,39965,56741,2,33198,0,,
