captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.5826.first,candidates.5826.last,candidates.5826.incumbent,candidates.5826.party,candidates.5826.candidateID,candidates.5826.ballotOrder,candidates.5826.polID,candidates.5826.polNum,candidates.5826.electWon,candidates.6058.first,candidates.6058.last,candidates.6058.abbrv,candidates.6058.party,candidates.6058.candidateID,candidates.6058.ballotOrder,candidates.6058.polID,candidates.6058.polNum,candidates.6058.electWon,candidates.6256.first,candidates.6256.last,candidates.6256.party,candidates.6256.candidateID,candidates.6256.ballotOrder,candidates.6256.polID,candidates.6256.polNum,candidates.6256.electWon,candidates.5826.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,AL-20221108_Eday80,1,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,206634,99,0,1127067,True,20221108AL1374,2022-11-08,AL,5826,Barry,Moore,True,GOP,5826,2,66781,3320,0,Phyllis,Harvey-Hall,Hrvy-Hll,Dem,6058,1,68316,3806,0,Jonathan,Realz,Lib,6256,3,71673,4186,0,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,206634,99,313,1127067,True,20221108AL1374,2022-11-08,AL,5826,Barry,Moore,True,GOP,5826,2,66781,3320,0,Phyllis,Harvey-Hall,Hrvy-Hll,Dem,6058,1,68316,3806,0,Jonathan,Realz,Lib,6256,3,71673,4186,0,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,206634,99,1184,1127067,True,20221108AL1374,2022-11-08,AL,5826,Barry,Moore,True,GOP,5826,2,66781,3320,0,Phyllis,Harvey-Hall,Hrvy-Hll,Dem,6058,1,68316,3806,0,Jonathan,Realz,Lib,6256,3,71673,4186,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,206634,99,330,1127067,True,20221108AL1374,2022-11-08,AL,5826,Barry,Moore,True,GOP,5826,2,66781,3320,0,Phyllis,Harvey-Hall,Hrvy-Hll,Dem,6058,1,68316,3806,0,Jonathan,Realz,Lib,6256,3,71673,4186,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,206634,99,1184,1127067,True,20221108AL1374,2022-11-08,AL,5826,Barry,Moore,True,GOP,5826,2,66781,3320,0,Phyllis,Harvey-Hall,Hrvy-Hll,Dem,6058,1,68316,3806,0,Jonathan,Realz,Lib,6256,3,71673,4186,0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,206634,99,5708,1127067,True,20221108AL1374,2022-11-08,AL,5826,Barry,Moore,True,GOP,5826,2,66781,3320,0,Phyllis,Harvey-Hall,Hrvy-Hll,Dem,6058,1,68316,3806,0,Jonathan,Realz,Lib,6256,3,71673,4186,0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,206634,99,21202,1127067,True,20221108AL1374,2022-11-08,AL,5826,Barry,Moore,True,GOP,5826,2,66781,3320,0,Phyllis,Harvey-Hall,Hrvy-Hll,Dem,6058,1,68316,3806,0,Jonathan,Realz,Lib,6256,3,71673,4186,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,206634,99,26730,1127067,True,20221108AL1374,2022-11-08,AL,5826,Barry,Moore,True,GOP,5826,2,66781,3320,0,Phyllis,Harvey-Hall,Hrvy-Hll,Dem,6058,1,68316,3806,0,Jonathan,Realz,Lib,6256,3,71673,4186,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,206634,99,26975,1127067,True,20221108AL1374,2022-11-08,AL,5826,Barry,Moore,True,GOP,5826,2,66781,3320,0,Phyllis,Harvey-Hall,Hrvy-Hll,Dem,6058,1,68316,3806,0,Jonathan,Realz,Lib,6256,3,71673,4186,0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,206734,99,32926,1127067,True,20221108AL1374,2022-11-08,AL,5826,Barry,Moore,True,GOP,5826,2,66781,3320,0,Phyllis,Harvey-Hall,Hrvy-Hll,Dem,6058,1,68316,3806,0,Jonathan,Realz,Lib,6256,3,71673,4186,0,2022-11-09T02:20:56.493Z,
