captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.winner,candidates.0.calledAt,candidates.0.colorIndex,candidates.1.winner,candidates.1.calledAt,candidates.1.colorIndex
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108AR5626,live,0.0,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-07T22:52:31.117Z,0,2573,0.0,13959,0,0.0,14274,0,0.0,13962,0,0.0,968000,99,0,1765681,0,0,,,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108AR5626,live,0.0,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-08T20:50:13.709Z,0,2573,0.0,13959,0,0.0,14274,0,0.0,13962,0,0.0,968000,99,0,1765681,0,0,,,,,,
1667949842,2022-11-08 23:24:02 +0000,e733c733b3b3c33f13905f9501db69cb94a55a64,20221108AR5626,live,0.0,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-08T23:15:13.742Z,0,2573,0.0,13959,0,0.0,14274,0,0.0,13962,0,0.0,968000,99,0,1765681,0,0,,,,,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,20221108AR5626,live,0.0,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T00:42:38.375Z,0,2573,0.0,13959,0,0.0,14274,0,0.0,13962,0,0.0,968000,99,0,1765681,0,0,,,,,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,20221108AR5626,live,0.0,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T01:30:05.108Z,0,2573,0.0,13962,0,0.0,13959,0,0.0,14274,0,0.0,968000,99,0,1765681,0,0,X,2022-11-09T01:30:03.718Z,0.0,,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,20221108AR5626,live,0.0,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T01:31:49.014Z,0,2573,0.0,13962,0,0.0,13959,0,0.0,14274,0,0.0,968000,99,0,1765681,0,0,X,2022-11-09T01:30:03.718Z,0.0,,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,20221108AR5626,live,0.24,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T01:39:44.913Z,0,2573,0.0,13962,1589,68.58,13959,702,30.3,14274,26,1.12,968000,99,2317,1765681,0,6,X,2022-11-09T01:30:03.718Z,0.0,,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,20221108AR5626,live,0.84,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T01:43:01.680Z,0,2573,0.0,13962,5895,72.69,13959,2103,25.93,14274,112,1.38,968000,99,8110,1765681,0,22,X,2022-11-09T01:30:03.718Z,0.0,,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,20221108AR5626,live,2.34,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T01:46:47.901Z,0,2573,0.0,13962,16865,74.48,13959,5434,24.0,14274,346,1.53,968000,99,22645,1765681,0,60,X,2022-11-09T01:30:03.718Z,0.0,,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,20221108AR5626,live,3.53,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T01:52:47.654Z,0,2573,0.0,13962,24486,71.59,13959,9197,26.89,14274,518,1.51,968000,99,34201,1765681,0,91,X,2022-11-09T01:30:03.718Z,0.0,,,
