captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.13959.first,candidates.13959.last,candidates.13959.party,candidates.13959.candidateID,candidates.13959.ballotOrder,candidates.13959.polID,candidates.13959.polNum,candidates.13959.electWon,candidates.13962.first,candidates.13962.last,candidates.13962.abbrv,candidates.13962.party,candidates.13962.candidateID,candidates.13962.ballotOrder,candidates.13962.polID,candidates.13962.polNum,candidates.13962.electWon,candidates.14274.first,candidates.14274.last,candidates.14274.abbrv,candidates.14274.party,candidates.14274.candidateID,candidates.14274.ballotOrder,candidates.14274.polID,candidates.14274.polNum,candidates.14274.electWon,candidates.13962.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,AR-20221108_Eday80,4,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Asa,Hutchinson,HutchiA,GOP,12182,5956,8195,True,True,True,968000,99,0,1765681,True,20221108AR5626,2022-11-08,AR,Chris,Jones,Dem,13959,3,70529,8603,0,Sarah,Huckabee Sanders,HckbSnd,GOP,13962,2,70516,8902,0,Ricky,Harrington,Harrngtn,Lib,14274,1,69521,8726,0,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,AR-20221108_Eday80,4,General,G,Polls Closed/Waiting First Report,Called,G,Governor,Asa,Hutchinson,HutchiA,GOP,12182,5956,8195,True,True,True,968000,99,0,1765681,True,20221108AR5626,2022-11-08,AR,Chris,Jones,Dem,13959,3,70529,8603,0,Sarah,Huckabee Sanders,HckbSnd,GOP,13962,2,70516,8902,0,Ricky,Harrington,Harrngtn,Lib,14274,1,69521,8726,0,2022-11-09T01:30:03.718Z
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,G,Governor,Asa,Hutchinson,HutchiA,GOP,12182,5956,8195,True,True,True,968000,99,8110,1765681,True,20221108AR5626,2022-11-08,AR,Chris,Jones,Dem,13959,3,70529,8603,0,Sarah,Huckabee Sanders,HckbSnd,GOP,13962,2,70516,8902,0,Ricky,Harrington,Harrngtn,Lib,14274,1,69521,8726,0,2022-11-09T01:30:03.718Z
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,G,Governor,Asa,Hutchinson,HutchiA,GOP,12182,5956,8195,True,True,True,968000,99,22645,1765681,True,20221108AR5626,2022-11-08,AR,Chris,Jones,Dem,13959,3,70529,8603,0,Sarah,Huckabee Sanders,HckbSnd,GOP,13962,2,70516,8902,0,Ricky,Harrington,Harrngtn,Lib,14274,1,69521,8726,0,2022-11-09T01:30:03.718Z
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,G,Governor,Asa,Hutchinson,HutchiA,GOP,12182,5956,8195,True,True,True,968000,99,141252,1765681,True,20221108AR5626,2022-11-08,AR,Chris,Jones,Dem,13959,3,70529,8603,0,Sarah,Huckabee Sanders,HckbSnd,GOP,13962,2,70516,8902,0,Ricky,Harrington,Harrngtn,Lib,14274,1,69521,8726,0,2022-11-09T01:30:03.718Z
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,G,Governor,Asa,Hutchinson,HutchiA,GOP,12182,5956,8195,True,True,True,968000,99,112483,1765681,True,20221108AR5626,2022-11-08,AR,Chris,Jones,Dem,13959,3,70529,8603,0,Sarah,Huckabee Sanders,HckbSnd,GOP,13962,2,70516,8902,0,Ricky,Harrington,Harrngtn,Lib,14274,1,69521,8726,0,2022-11-09T01:30:03.718Z
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,G,Governor,Asa,Hutchinson,HutchiA,GOP,12182,5956,8195,True,True,True,968000,99,148053,1765681,True,20221108AR5626,2022-11-08,AR,Chris,Jones,Dem,13959,3,70529,8603,0,Sarah,Huckabee Sanders,HckbSnd,GOP,13962,2,70516,8902,0,Ricky,Harrington,Harrngtn,Lib,14274,1,69521,8726,0,2022-11-09T01:30:03.718Z
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,G,Governor,Asa,Hutchinson,HutchiA,GOP,12182,5956,8195,True,True,True,968000,99,171224,1765681,True,20221108AR5626,2022-11-08,AR,Chris,Jones,Dem,13959,3,70529,8603,0,Sarah,Huckabee Sanders,HckbSnd,GOP,13962,2,70516,8902,0,Ricky,Harrington,Harrngtn,Lib,14274,1,69521,8726,0,2022-11-09T01:30:03.718Z
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,G,Governor,Asa,Hutchinson,HutchiA,GOP,12182,5956,8195,True,True,True,968000,99,242073,1765681,True,20221108AR5626,2022-11-08,AR,Chris,Jones,Dem,13959,3,70529,8603,0,Sarah,Huckabee Sanders,HckbSnd,GOP,13962,2,70516,8902,0,Ricky,Harrington,Harrngtn,Lib,14274,1,69521,8726,0,2022-11-09T01:30:03.718Z
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,G,Governor,Asa,Hutchinson,HutchiA,GOP,12182,5956,8195,True,True,True,968000,99,209394,1765681,True,20221108AR5626,2022-11-08,AR,Chris,Jones,Dem,13959,3,70529,8603,0,Sarah,Huckabee Sanders,HckbSnd,GOP,13962,2,70516,8902,0,Ricky,Harrington,Harrngtn,Lib,14274,1,69521,8726,0,2022-11-09T01:30:03.718Z
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,G,Governor,Asa,Hutchinson,HutchiA,GOP,12182,5956,8195,True,True,True,968000,99,260900,1765681,True,20221108AR5626,2022-11-08,AR,Chris,Jones,Dem,13959,3,70529,8603,0,Sarah,Huckabee Sanders,HckbSnd,GOP,13962,2,70516,8902,0,Ricky,Harrington,Harrngtn,Lib,14274,1,69521,8726,0,2022-11-09T01:30:03.718Z
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,G,Governor,Asa,Hutchinson,HutchiA,GOP,12182,5956,8195,True,True,True,968000,99,350865,1765681,True,20221108AR5626,2022-11-08,AR,Chris,Jones,Dem,13959,3,70529,8603,0,Sarah,Huckabee Sanders,HckbSnd,GOP,13962,2,70516,8902,0,Ricky,Harrington,Harrngtn,Lib,14274,1,69521,8726,0,2022-11-09T01:30:03.718Z
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,G,Governor,Asa,Hutchinson,HutchiA,GOP,12182,5956,8195,True,True,True,968000,99,378917,1765681,True,20221108AR5626,2022-11-08,AR,Chris,Jones,Dem,13959,3,70529,8603,0,Sarah,Huckabee Sanders,HckbSnd,GOP,13962,2,70516,8902,0,Ricky,Harrington,Harrngtn,Lib,14274,1,69521,8726,0,2022-11-09T01:30:03.718Z
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,G,Governor,Asa,Hutchinson,HutchiA,GOP,12182,5956,8195,True,True,True,968000,99,479553,1765681,True,20221108AR5626,2022-11-08,AR,Chris,Jones,Dem,13959,3,70529,8603,0,Sarah,Huckabee Sanders,HckbSnd,GOP,13962,2,70516,8902,0,Ricky,Harrington,Harrngtn,Lib,14274,1,69521,8726,0,2022-11-09T01:30:03.718Z
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,G,Governor,Asa,Hutchinson,HutchiA,GOP,12182,5956,8195,True,True,True,968000,99,542001,1765681,True,20221108AR5626,2022-11-08,AR,Chris,Jones,Dem,13959,3,70529,8603,0,Sarah,Huckabee Sanders,HckbSnd,GOP,13962,2,70516,8902,0,Ricky,Harrington,Harrngtn,Lib,14274,1,69521,8726,0,2022-11-09T01:30:03.718Z
