captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.23224.first,candidates.23224.last,candidates.23224.party,candidates.23224.candidateID,candidates.23224.polID,candidates.23224.ballotOrder,candidates.23224.polNum,candidates.23224.electWon,candidates.23235.first,candidates.23235.last,candidates.23235.party,candidates.23235.candidateID,candidates.23235.polID,candidates.23235.ballotOrder,candidates.23235.polNum,candidates.23235.electWon,candidates.23721.first,candidates.23721.last,candidates.23721.party,candidates.23721.candidateID,candidates.23721.polID,candidates.23721.ballotOrder,candidates.23721.polNum,candidates.23721.electWon,candidates.23722.first,candidates.23722.last,candidates.23722.party,candidates.23722.candidateID,candidates.23722.polID,candidates.23722.ballotOrder,candidates.23722.polNum,candidates.23722.electWon,candidates.23224.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,FL-20221108_Eday62,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 10,10,240908,99,0,714995,True,20221108FL10025,2022-11-08,FL,Maxwell,Frost,Dem,23224,71568,1,15710,0,Calvin,Wimbish,GOP,23235,71579,4,15718,0,Jason,Holic,NPA,23721,71772,2,15979,0,Usha,Jain,NPA,23722,71771,3,15980,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,FL-20221108_Eday80,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 10,10,259004,99,0,714995,True,20221108FL10025,2022-11-08,FL,Maxwell,Frost,Dem,23224,71568,1,15710,0,Calvin,Wimbish,GOP,23235,71579,4,15718,0,Jason,Holic,NPA,23721,71772,2,15979,0,Usha,Jain,NPA,23722,71771,3,15980,0,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,FL-20221108_Eday80,10,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 10,10,204904,99,0,714995,True,20221108FL10025,2022-11-08,FL,Maxwell,Frost,Dem,23224,71568,1,15710,0,Calvin,Wimbish,GOP,23235,71579,4,15718,0,Jason,Holic,NPA,23721,71772,2,15979,0,Usha,Jain,NPA,23722,71771,3,15980,0,
1667953790,2022-11-09 00:29:50 +0000,6070b11d4c3c0a9b2acaa63cc75a94579377e299,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 10,10,204904,99,123732,714995,True,20221108FL10025,2022-11-08,FL,Maxwell,Frost,Dem,23224,71568,1,15710,0,Calvin,Wimbish,GOP,23235,71579,4,15718,0,Jason,Holic,NPA,23721,71772,2,15979,0,Usha,Jain,NPA,23722,71771,3,15980,0,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 10,10,192580,99,177731,714995,True,20221108FL10025,2022-11-08,FL,Maxwell,Frost,Dem,23224,71568,1,15710,0,Calvin,Wimbish,GOP,23235,71579,4,15718,0,Jason,Holic,NPA,23721,71772,2,15979,0,Usha,Jain,NPA,23722,71771,3,15980,0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 10,10,192580,99,177731,714995,True,20221108FL10025,2022-11-08,FL,Maxwell,Frost,Dem,23224,71568,1,15710,0,Calvin,Wimbish,GOP,23235,71579,4,15718,0,Jason,Holic,NPA,23721,71772,2,15979,0,Usha,Jain,NPA,23722,71771,3,15980,0,2022-11-09T00:28:52.119Z
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 10,10,194808,99,190953,714995,True,20221108FL10025,2022-11-08,FL,Maxwell,Frost,Dem,23224,71568,1,15710,0,Calvin,Wimbish,GOP,23235,71579,4,15718,0,Jason,Holic,NPA,23721,71772,2,15979,0,Usha,Jain,NPA,23722,71771,3,15980,0,2022-11-09T00:28:52.119Z
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 10,10,194808,99,191426,714995,True,20221108FL10025,2022-11-08,FL,Maxwell,Frost,Dem,23224,71568,1,15710,0,Calvin,Wimbish,GOP,23235,71579,4,15718,0,Jason,Holic,NPA,23721,71772,2,15979,0,Usha,Jain,NPA,23722,71771,3,15980,0,2022-11-09T00:28:52.119Z
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 10,10,194316,99,191426,714995,True,20221108FL10025,2022-11-08,FL,Maxwell,Frost,Dem,23224,71568,1,15710,0,Calvin,Wimbish,GOP,23235,71579,4,15718,0,Jason,Holic,NPA,23721,71772,2,15979,0,Usha,Jain,NPA,23722,71771,3,15980,0,2022-11-09T00:28:52.119Z
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 10,10,194104,99,191691,714995,True,20221108FL10025,2022-11-08,FL,Maxwell,Frost,Dem,23224,71568,1,15710,0,Calvin,Wimbish,GOP,23235,71579,4,15718,0,Jason,Holic,NPA,23721,71772,2,15979,0,Usha,Jain,NPA,23722,71771,3,15980,0,2022-11-09T00:28:52.119Z
