captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.10871.first,candidates.10871.last,candidates.10871.party,candidates.10871.candidateID,candidates.10871.ballotOrder,candidates.10871.polID,candidates.10871.polNum,candidates.10871.electWon,candidates.10875.first,candidates.10875.last,candidates.10875.party,candidates.10875.candidateID,candidates.10875.ballotOrder,candidates.10875.polID,candidates.10875.polNum,candidates.10875.electWon,candidates.11177.first,candidates.11177.last,candidates.11177.abbrv,candidates.11177.party,candidates.11177.candidateID,candidates.11177.ballotOrder,candidates.11177.polID,candidates.11177.polNum,candidates.11177.electWon,candidates.10875.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MO-20221108_Eday80,26,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 4,4,432430,99,0,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,432430,99,0,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,432430,99,2198,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,432430,99,5193,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,432430,99,2198,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,432430,99,5193,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,432430,99,10946,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,432430,99,64979,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,432430,99,92823,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,432430,99,160389,756426,True,20221108MO26027,2022-11-08,MO,Jack,Truman,Dem,10871,1,50435,30849,0,Mark,Alford,GOP,10875,2,71342,31723,0,Randy,Langkraehr,Lngkrhr,Lib,11177,3,50430,30229,0,
