captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,candidates.4.candidateID,candidates.4.voteCount,candidates.4.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.winner,candidates.0.calledAt,candidates.0.colorIndex,candidates.1.colorIndex
1667968361,2022-11-08 22:32:41 -0600,0b888fe41bc653990f05b2c6fe09da530560e7a3,20221108ID13676,live,14.28,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:31:31.965Z,99,982,10.08,18860,54398,58.6,19546,28836,31.06,19822,8168,8.8,19732,884,0.95,19733,545,0.59,650000,99,92831,999384,99,140,X,2022-11-09T04:00:13.484Z,0.0,
1667968406,2022-11-08 22:33:26 -0600,9894c9990b429281fa1911dc561355d202f43cc4,20221108ID13676,live,14.28,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:32:30.488Z,99,982,10.08,18860,54398,58.6,19546,28836,31.06,19822,8168,8.8,19732,884,0.95,19733,545,0.59,650000,99,92831,999384,99,140,X,2022-11-09T04:00:13.484Z,0.0,
1667968494,2022-11-08 22:34:54 -0600,cfbd241bb06919184c9a5ad42a24eb60bc59879a,20221108ID13676,live,14.28,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:33:31.115Z,99,982,10.08,18860,54398,58.6,19546,28836,31.06,19822,8168,8.8,19732,884,0.95,19733,545,0.59,650000,99,92831,999384,99,140,X,2022-11-09T04:00:13.484Z,0.0,
1667968667,2022-11-08 22:37:47 -0600,a013d457c641e43c359ed7cf524810962213905d,20221108ID13676,live,14.28,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:34:58.465Z,99,982,10.08,18860,54398,58.6,19546,28836,31.06,19822,8168,8.8,19732,884,0.95,19733,545,0.59,650000,99,92831,999384,99,140,X,2022-11-09T04:00:13.484Z,0.0,
1667968757,2022-11-08 22:39:17 -0600,444e7baf756125a86bedac9f7455307c41fed63a,20221108ID13676,live,14.36,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:37:14.875Z,101,982,10.29,18860,54735,58.64,19546,28897,30.96,19822,8272,8.86,19732,892,0.96,19733,552,0.59,650000,99,93348,999384,101,141,X,2022-11-09T04:00:13.484Z,0.0,
1667968931,2022-11-08 22:42:11 -0600,cca40a484cb23456c0df129e9bd1750068cb4880,20221108ID13676,live,14.36,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:40:23.478Z,101,982,10.29,18860,54735,58.64,19546,28897,30.96,19822,8272,8.86,19732,892,0.96,19733,552,0.59,650000,99,93348,999384,101,141,X,2022-11-09T04:00:13.484Z,0.0,
1667968974,2022-11-08 22:42:54 -0600,6782d2843c55794bd70cb628b0a71e22fe48f3f5,20221108ID13676,live,14.94,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:41:29.433Z,101,982,10.29,18860,57166,58.86,19546,30027,30.92,19822,8436,8.69,19732,920,0.95,19733,575,0.59,650000,99,97124,999384,101,147,X,2022-11-09T04:00:13.484Z,0.0,
1667969292,2022-11-08 22:48:12 -0600,27c0128769cb9950dd2d2f7b010376c6821eb8bd,20221108ID13676,live,14.94,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:47:21.148Z,101,982,10.29,18860,57166,58.86,19546,30027,30.92,19822,8436,8.69,19732,920,0.95,19733,575,0.59,650000,99,97124,999384,101,147,X,2022-11-09T04:00:13.484Z,0.0,
1667969376,2022-11-08 22:49:36 -0600,4ac813ba060ccffdf02cdf61aae9dd9c0b214438,20221108ID13676,live,16.92,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:48:32.584Z,124,982,12.63,18860,64627,58.76,19546,33178,30.17,19822,10383,9.44,19732,1113,1.01,19733,675,0.61,650000,99,109976,999384,124,166,X,2022-11-09T04:00:13.484Z,0.0,
1667969463,2022-11-08 22:51:03 -0600,33a57724ad86936b636ee9df9a6a905b84cec6b3,20221108ID13676,live,17.18,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:49:33.076Z,130,982,13.24,18860,65846,58.95,19546,33289,29.8,19822,10724,9.6,19732,1137,1.02,19733,696,0.62,650000,99,111692,999384,130,169,X,2022-11-09T04:00:13.484Z,0.0,
1667969636,2022-11-08 22:53:56 -0600,343edcc3a5440ed7e985b5b1b439acfe9dc3a7bb,20221108ID13676,live,17.18,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:52:03.113Z,130,982,13.24,18860,65846,58.95,19546,33289,29.8,19822,10724,9.6,19732,1137,1.02,19733,696,0.62,650000,99,111692,999384,130,169,X,2022-11-09T04:00:13.484Z,0.0,
1667969681,2022-11-08 22:54:41 -0600,4488651d53a6ff54750765f807b5aba2e7544f5e,20221108ID13676,live,17.82,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:53:16.179Z,140,982,14.26,18860,68782,59.38,19546,33626,29.03,19822,11479,9.91,19732,1186,1.02,19733,759,0.66,650000,99,115832,999384,140,175,X,2022-11-09T04:00:13.484Z,0.0,
1667969810,2022-11-08 22:56:50 -0600,b4af1c5ed222b2aca51b198a04f7adfc76d9c4e9,20221108ID13676,live,18.16,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:55:07.611Z,142,982,14.46,18860,70389,59.64,19546,33861,28.69,19822,11782,9.98,19732,1205,1.02,19733,790,0.67,650000,99,118027,999384,142,178,X,2022-11-09T04:00:13.484Z,0.0,
1667969855,2022-11-08 22:57:35 -0600,8c3f41d4804fda622cab89f365a05518b70e5a91,20221108ID13676,live,18.48,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:56:25.318Z,151,982,15.38,18860,71884,59.83,19546,34003,28.3,19822,12218,10.17,19732,1227,1.02,19733,815,0.68,650000,99,120147,999384,151,182,X,2022-11-09T04:00:13.484Z,0.0,
1667970071,2022-11-08 23:01:11 -0600,dbae837cbbaf1f3aaf9390e6aaa3521af778ad97,20221108ID13676,live,18.98,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:59:46.947Z,151,982,15.38,18860,74056,60.02,19546,34373,27.86,19822,12866,10.43,19732,1254,1.02,19733,831,0.67,650000,99,123380,999384,151,186,X,2022-11-09T04:00:13.484Z,0.0,
1667970156,2022-11-08 23:02:36 -0600,84ea53799ae0036a04ac85127e62d719394c963e,20221108ID13676,live,18.98,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T05:00:44.027Z,151,982,15.38,18860,74056,60.02,19546,34373,27.86,19822,12866,10.43,19732,1254,1.02,19733,831,0.67,650000,99,123380,999384,151,186,X,2022-11-09T04:00:13.484Z,0.0,
1667970327,2022-11-08 23:05:27 -0600,1b6c4725cf9e59e40e1d6792336f8520d5b10b5b,20221108ID13676,live,21.55,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T05:04:02.393Z,167,982,17.01,18860,84388,60.25,19546,38048,27.17,19822,15208,10.86,19732,1446,1.03,19733,969,0.69,650000,99,140059,999384,167,212,X,2022-11-09T04:00:13.484Z,0.0,
1667970373,2022-11-08 23:06:13 -0600,3ea973c74a9585b2e944f9dd59e390b2b951b2cd,20221108ID13676,live,21.55,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T05:04:36.147Z,167,982,17.01,18860,84388,60.25,19546,38048,27.17,19822,15208,10.86,19732,1446,1.03,19733,969,0.69,650000,99,140059,999384,167,212,X,2022-11-09T04:00:13.484Z,0.0,
1667970415,2022-11-08 23:06:55 -0600,f1d4e9736f94ffa7aa7ebd5da07699c9a419c5df,20221108ID13676,live,21.55,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T05:05:21.700Z,167,982,17.01,18860,84388,60.25,19546,38048,27.17,19822,15208,10.86,19732,1446,1.03,19733,969,0.69,650000,99,140059,999384,167,212,X,2022-11-09T04:00:13.484Z,0.0,
1667970637,2022-11-08 23:10:37 -0600,879713b6aae904f8cc55b1a8c3ce99346dd39ab3,20221108ID13676,live,21.85,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T05:09:40.888Z,173,982,17.62,18860,85795,60.41,19546,38345,27.0,19822,15416,10.85,19732,1470,1.04,19733,999,0.7,650000,99,142025,999384,173,215,X,2022-11-09T04:00:13.484Z,0.0,
1667970856,2022-11-08 23:14:16 -0600,ff06f2de4e569cd29ca92d25039a935917deb88f,20221108ID13676,live,22.47,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T05:11:16.512Z,179,982,18.23,18860,88253,60.42,19546,38775,26.54,19822,16491,11.29,19732,1510,1.03,19733,1046,0.72,650000,99,146075,999384,179,221,X,2022-11-09T04:00:13.484Z,0.0,
1667971032,2022-11-08 23:17:12 -0600,84fafb476f7846131500489058ff24997434ed54,20221108ID13676,live,26.42,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T05:14:59.283Z,195,982,19.86,18860,106185,61.83,19546,41791,24.33,19822,20525,11.95,19732,1865,1.09,19733,1370,0.8,650000,99,171736,999384,195,259,X,2022-11-09T04:00:13.484Z,0.0,
1667971079,2022-11-08 23:17:59 -0600,1cf7281bce65e8581e70a1164dc3589ed87371d4,20221108ID13676,live,28.17,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T05:17:04.701Z,214,982,21.79,18860,112852,61.63,19546,44377,24.23,19822,22409,12.24,19732,2016,1.1,19733,1469,0.8,650000,99,183123,999384,214,277,X,2022-11-09T04:00:13.484Z,0.0,
1667971350,2022-11-08 23:22:30 -0600,4e8d6a153dbb49007925da1747ddadcd1394934d,20221108ID13676,live,28.83,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T05:21:23.141Z,227,982,23.12,18860,115925,61.86,19546,44724,23.87,19822,23146,12.35,19732,2057,1.1,19733,1533,0.82,650000,99,187385,999384,227,283,X,2022-11-09T04:00:13.484Z,0.0,
1667971395,2022-11-08 23:23:15 -0600,d97519c7c3720d6e80913290b35064b53dd231cc,20221108ID13676,live,29.19,ID,Idaho,13,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T05:22:30.420Z,228,982,23.22,18860,117587,61.97,19546,45090,23.76,19822,23417,12.34,19732,2096,1.1,19733,1553,0.82,650000,99,189743,999384,228,287,X,2022-11-09T04:00:13.484Z,0.0,
