captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.22964.first,candidates.22964.last,candidates.22964.party,candidates.22964.candidateID,candidates.22964.polID,candidates.22964.ballotOrder,candidates.22964.polNum,candidates.22964.electWon,candidates.22967.first,candidates.22967.last,candidates.22967.party,candidates.22967.incumbent,candidates.22967.candidateID,candidates.22967.polID,candidates.22967.ballotOrder,candidates.22967.polNum,candidates.22967.electWon,candidates.22967.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CA-20221108_Eday62,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 22,22,118448,99,0,925888,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,CA-20221108_Eday80,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 22,22,146288,99,0,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667950106,2022-11-08 23:28:26 +0000,03bd9b09dc6ae9d95766d3877a273fc07c395a68,CA-20221108_Eday80,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 22,22,146288,90,0,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667950634,2022-11-08 23:37:14 +0000,ecdc17be694dba1a9d92600c132ccefe80ac0642,CA-20221108_Eday80,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 22,22,146288,99,0,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667950906,2022-11-08 23:41:46 +0000,e16ff5d831c790d2a4ca6ae54f46d1aa82402f94,CA-20221108_Eday80,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 22,22,146288,90,0,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667968494,2022-11-08 22:34:54 -0600,cfbd241bb06919184c9a5ad42a24eb60bc59879a,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,146288,90,16817,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667971079,2022-11-08 23:17:59 -0600,1cf7281bce65e8581e70a1164dc3589ed87371d4,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,146288,90,30796,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667971921,2022-11-08 23:32:01 -0600,1ebecb55cb747fea463c7459ee81768ba8fae636,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,146288,90,30896,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667974664,2022-11-09 00:17:44 -0600,d987a91643923201706646f74ed6cc4da6a088a6,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,146288,90,30898,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667975484,2022-11-09 00:31:24 -0600,81d3631081e4e7b24b990567f86cc67079a95e6c,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,146288,90,33245,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667978704,2022-11-09 01:25:04 -0600,063886ef628b03936d6bad5059dd21f00c0a4b43,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,146288,90,35518,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667979514,2022-11-09 01:38:34 -0600,3beafacc3bafd5d436073bbd9a0ee742070d2376,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,146288,90,35545,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667981242,2022-11-09 02:07:22 -0600,cf751ccf5a467e68d03bb00a59a524242998a7c9,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,146288,90,39345,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667984243,2022-11-09 02:57:23 -0600,7115c058bcd3ff51a93d48244a4b79656d48a186,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,146288,90,42487,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667988483,2022-11-09 04:08:03 -0600,b99ee37363001dc42795606d7cbfeb6079fbcce4,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,136389,90,42487,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667988522,2022-11-09 04:08:42 -0600,a01f68425c1328f1fac7d3f1deda54233c1e0fe0,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,146288,90,42487,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667988564,2022-11-09 04:09:24 -0600,2aeef9544d1832238b865b50255c72fd72952396,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,136389,90,42487,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667988603,2022-11-09 04:10:03 -0600,c57fd67b0b96993b9f7c98a49335fed712bca534,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,146288,90,42487,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
1667988643,2022-11-09 04:10:43 -0600,591a6073b04ab0ebd3abfd9fecd162fe68e47757,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 22,22,136389,90,42487,925675,True,20221108CA5712,2022-11-08,CA,22967,Rudy,Salas,Dem,22964,70573,2,11893,0.0,David,Valadao,GOP,True,22967,62229,1,11468,0.0,,
