captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,numRunoff,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.22499.first,candidates.22499.last,candidates.22499.party,candidates.22499.incumbent,candidates.22499.candidateID,candidates.22499.polID,candidates.22499.ballotOrder,candidates.22499.polNum,candidates.22499.electWon,candidates.22554.first,candidates.22554.last,candidates.22554.party,candidates.22554.candidateID,candidates.22554.polID,candidates.22554.ballotOrder,candidates.22554.polNum,candidates.22554.electWon,candidates.23069.first,candidates.23069.last,candidates.23069.party,candidates.23069.candidateID,candidates.23069.polID,candidates.23069.ballotOrder,candidates.23069.polNum,candidates.23069.electWon,candidates.22499.winnerDateTime,candidates.22554.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,GA-20221108_Eday62,11,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Raphael,Warnock,Dem,22499,69478,15940,True,True,True,2,4686221,99,0,7000459,True,20221108GA12588,2022-11-08,GA,22499,Raphael,Warnock,Dem,True,22499,69478,2,15940,0,Herschel,Walker,GOP,22554,70374,1,15960,0,Chase,Oliver,Lib,23069,69459,3,16263,0,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,GA-20221108_Eday81,11,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Raphael,Warnock,Dem,22499,69478,15940,True,True,True,2,4700000,99,0,7054135,True,20221108GA12588,2022-11-08,GA,22499,Raphael,Warnock,Dem,True,22499,69478,2,15940,0,Herschel,Walker,GOP,22554,70374,1,15960,0,Chase,Oliver,Lib,23069,69459,3,16263,0,,,
1667952827,2022-11-09 00:13:47 +0000,e67364b5505081c4cca0f28ef8e8d84768d1cc02,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Raphael,Warnock,Dem,22499,69478,15940,True,True,True,2,4700000,99,60224,7054135,True,20221108GA12588,2022-11-08,GA,22499,Raphael,Warnock,Dem,True,22499,69478,2,15940,0,Herschel,Walker,GOP,22554,70374,1,15960,0,Chase,Oliver,Lib,23069,69459,3,16263,0,,,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Raphael,Warnock,Dem,22499,69478,15940,True,True,True,2,4700000,99,61635,7054135,True,20221108GA12588,2022-11-08,GA,22499,Raphael,Warnock,Dem,True,22499,69478,2,15940,0,Herschel,Walker,GOP,22554,70374,1,15960,0,Chase,Oliver,Lib,23069,69459,3,16263,0,,,
1667953518,2022-11-09 00:25:18 +0000,c5fd4e03c2339afc5fd044a64f91f261b7e7cfa1,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Raphael,Warnock,Dem,22499,69478,15940,True,True,True,2,4700000,99,60224,7054135,True,20221108GA12588,2022-11-08,GA,22499,Raphael,Warnock,Dem,True,22499,69478,2,15940,0,Herschel,Walker,GOP,22554,70374,1,15960,0,Chase,Oliver,Lib,23069,69459,3,16263,0,,,
1667953790,2022-11-09 00:29:50 +0000,6070b11d4c3c0a9b2acaa63cc75a94579377e299,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Raphael,Warnock,Dem,22499,69478,15940,True,True,True,2,4700000,99,419175,7054135,True,20221108GA12588,2022-11-08,GA,22499,Raphael,Warnock,Dem,True,22499,69478,2,15940,0,Herschel,Walker,GOP,22554,70374,1,15960,0,Chase,Oliver,Lib,23069,69459,3,16263,0,,,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Raphael,Warnock,Dem,22499,69478,15940,True,True,True,2,4700000,99,539113,7054135,True,20221108GA12588,2022-11-08,GA,22499,Raphael,Warnock,Dem,True,22499,69478,2,15940,0,Herschel,Walker,GOP,22554,70374,1,15960,0,Chase,Oliver,Lib,23069,69459,3,16263,0,,,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Raphael,Warnock,Dem,22499,69478,15940,True,True,True,2,4700000,99,821661,7054135,True,20221108GA12588,2022-11-08,GA,22499,Raphael,Warnock,Dem,True,22499,69478,2,15940,0,Herschel,Walker,GOP,22554,70374,1,15960,0,Chase,Oliver,Lib,23069,69459,3,16263,0,,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Raphael,Warnock,Dem,22499,69478,15940,True,True,True,2,4700000,99,1143714,7054135,True,20221108GA12588,2022-11-08,GA,22499,Raphael,Warnock,Dem,True,22499,69478,2,15940,0,Herschel,Walker,GOP,22554,70374,1,15960,0,Chase,Oliver,Lib,23069,69459,3,16263,0,,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Raphael,Warnock,Dem,22499,69478,15940,True,True,True,2,4700000,99,1120935,7054135,True,20221108GA12588,2022-11-08,GA,22499,Raphael,Warnock,Dem,True,22499,69478,2,15940,0,Herschel,Walker,GOP,22554,70374,1,15960,0,Chase,Oliver,Lib,23069,69459,3,16263,0,,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Raphael,Warnock,Dem,22499,69478,15940,True,True,True,2,4700000,99,1346417,7054135,True,20221108GA12588,2022-11-08,GA,22499,Raphael,Warnock,Dem,True,22499,69478,2,15940,0,Herschel,Walker,GOP,22554,70374,1,15960,0,Chase,Oliver,Lib,23069,69459,3,16263,0,,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Raphael,Warnock,Dem,22499,69478,15940,True,True,True,2,4700000,99,1427633,7054135,True,20221108GA12588,2022-11-08,GA,22499,Raphael,Warnock,Dem,True,22499,69478,2,15940,0,Herschel,Walker,GOP,22554,70374,1,15960,0,Chase,Oliver,Lib,23069,69459,3,16263,0,,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Raphael,Warnock,Dem,22499,69478,15940,True,True,True,2,4700000,99,1568643,7054135,True,20221108GA12588,2022-11-08,GA,22499,Raphael,Warnock,Dem,True,22499,69478,2,15940,0,Herschel,Walker,GOP,22554,70374,1,15960,0,Chase,Oliver,Lib,23069,69459,3,16263,0,,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Raphael,Warnock,Dem,22499,69478,15940,True,True,True,2,4700000,99,1720035,7054135,True,20221108GA12588,2022-11-08,GA,22499,Raphael,Warnock,Dem,True,22499,69478,2,15940,0,Herschel,Walker,GOP,22554,70374,1,15960,0,Chase,Oliver,Lib,23069,69459,3,16263,0,,,
