captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.45634.first,candidates.45634.last,candidates.45634.party,candidates.45634.candidateID,candidates.45634.polID,candidates.45634.ballotOrder,candidates.45634.polNum,candidates.45634.electWon,candidates.45639.first,candidates.45639.last,candidates.45639.party,candidates.45639.candidateID,candidates.45639.polID,candidates.45639.ballotOrder,candidates.45639.polNum,candidates.45639.electWon,candidates.45634.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NC-20221108_Eday62,34,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 13,13,266330,99,0,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NC-20221108_Eday80,34,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 13,13,314716,99,0,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,314716,99,103645,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,314716,99,0,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,314716,99,117842,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,314716,99,159053,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,314716,99,160482,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,314716,99,164217,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,314716,99,166957,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,314716,99,174803,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,314716,99,176703,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,314716,99,174803,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,314716,99,176703,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,314716,99,180453,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,314716,99,185536,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,314716,99,187421,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,314716,99,192533,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,314716,99,201425,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,314716,99,192533,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,314716,99,201425,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,314716,99,203436,675455,True,20221108NC35753,2022-11-08,NC,Wiley,Nickel,Dem,45634,70298,2,38340,0,Bo,Hines,GOP,45639,70306,1,38854,0,,
