captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.22552.first,candidates.22552.last,candidates.22552.party,candidates.22552.candidateID,candidates.22552.ballotOrder,candidates.22552.polID,candidates.22552.polNum,candidates.22552.electWon,candidates.22762.first,candidates.22762.last,candidates.22762.party,candidates.22762.candidateID,candidates.22762.ballotOrder,candidates.22762.polID,candidates.22762.polNum,candidates.22762.electWon,candidates.22804.first,candidates.22804.last,candidates.22804.party,candidates.22804.candidateID,candidates.22804.ballotOrder,candidates.22804.polID,candidates.22804.polNum,candidates.22804.electWon,candidates.22804.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,IN-20221108_Eday64,15,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,191485,99,0,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,IN-20221108_Eday80,15,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,191485,99,0,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,,
1667949299,2022-11-08 23:14:59 +0000,b334f05b75bafb94958f7797e615fb57e746d9de,IN-20221108_Eday80,15,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 2,2,191485,99,0,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,,
1667949573,2022-11-08 23:19:33 +0000,2891155c76df951385c61df78f71bb7f4a65a56b,IN-20221108_Eday80,15,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,191485,99,0,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,,
1667949842,2022-11-08 23:24:02 +0000,e733c733b3b3c33f13905f9501db69cb94a55a64,IN-20221108_Eday80,15,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 2,2,191485,99,0,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,,
1667950106,2022-11-08 23:28:26 +0000,03bd9b09dc6ae9d95766d3877a273fc07c395a68,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,191485,99,0,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,191485,99,4096,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,191485,99,9561,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,191485,99,13069,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,191485,99,9561,957880,True,20221108IN15017,2022-11-08,IN,Paul,Steury,Dem,22552,2,70026,18625,0.0,William,Henry,Lib,22762,3,71635,18769,0.0,Rudy,Yakym,GOP,22804,1,71760,18796,0.0,,
