captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.48048.first,candidates.48048.last,candidates.48048.party,candidates.48048.incumbent,candidates.48048.candidateID,candidates.48048.polID,candidates.48048.ballotOrder,candidates.48048.polNum,candidates.48048.electWon,candidates.49617.first,candidates.49617.last,candidates.49617.party,candidates.49617.candidateID,candidates.49617.polID,candidates.49617.ballotOrder,candidates.49617.polNum,candidates.49617.electWon,candidates.48048.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,SC-20221108_Eday62,41,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,2010662,99,0,3317279,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,SC-20221108_Eday80,41,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,0,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,
1667952515,2022-11-09 00:08:35 +0000,b696a55e80164ecdcb71059e68ae6204a1f65e5b,SC-20221108_Eday80,41,General,G,Polls Closed/Waiting First Report,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,0,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667953518,2022-11-09 00:25:18 +0000,c5fd4e03c2339afc5fd044a64f91f261b7e7cfa1,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,4390,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667954061,2022-11-09 00:34:21 +0000,f42b15f4268586407ce223466d2394d526a81df4,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,20959,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,44789,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,41567,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,44789,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,41567,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,89182,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,94100,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,126404,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,155268,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,244825,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,S,U.S. Senate,Tim,Scott,GOP,48048,60345,43498,True,True,True,1900000,99,336358,2850000,True,20221108SC41849,2022-11-08,SC,48048,Tim,Scott,GOP,True,48048,60345,2,43498,0,Krystle,Matthews,Dem,49617,70911,1,44559,0,2022-11-09T00:00:02.636Z
